service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1901,0,0,0,0,0,0,0,20191219,20200229
1911,0,0,0,0,0,0,0,20191219,20200229
62701,1,1,1,1,1,0,0,20191219,20191221
62702,1,1,1,1,0,0,0,20191219,20191221
62703,0,1,1,1,1,0,0,20191219,20191221
62704,0,1,1,1,1,0,0,20191219,20191221
62705,0,0,0,0,1,0,0,20191219,20191221
62706,0,0,0,0,0,1,0,20191219,20191221
62707,0,0,0,0,0,1,0,20191219,20191221
62708,0,0,0,0,0,0,1,20191219,20191221
62709,0,0,0,0,0,0,1,20191219,20191221
62710,0,0,1,1,1,1,0,20191219,20191221
62711,0,1,1,1,1,1,0,20191219,20191221
62712,0,1,1,1,1,1,0,20191219,20191221
62713,1,0,0,0,0,0,0,20191219,20191221
62714,1,0,0,0,0,0,0,20191219,20191221
62715,1,0,0,0,0,0,0,20191219,20191221
62716,0,1,0,0,0,0,0,20191219,20191221
62717,0,1,0,0,0,0,0,20191219,20191221
62718,1,0,1,1,1,0,0,20191219,20191221
62719,1,0,1,1,1,0,0,20191219,20191221
62720,0,0,1,0,0,0,0,20191219,20191221
62721,0,0,1,0,0,0,0,20191219,20191221
62722,1,1,0,1,1,0,0,20191219,20191221
62723,1,1,0,1,1,0,0,20191219,20191221
62724,0,0,0,1,0,0,0,20191219,20191221
62725,0,0,0,1,0,0,0,20191219,20191221
62726,1,1,1,0,1,0,0,20191219,20191221
62727,1,1,1,0,1,0,0,20191219,20191221
62728,0,1,1,0,0,0,0,20191219,20191221
62729,0,1,1,0,0,0,0,20191219,20191221
62730,1,0,0,1,1,0,0,20191219,20191221
62731,1,0,0,1,1,0,0,20191219,20191221
62732,1,1,0,0,1,0,0,20191219,20191221
62733,1,1,0,0,1,0,0,20191219,20191221
62734,1,1,1,1,1,0,1,20191219,20191221
62735,1,1,1,1,1,0,1,20191219,20191221
62736,1,1,1,1,1,1,0,20191219,20191221
62737,1,1,1,1,1,1,0,20191219,20191221
62738,1,1,1,1,1,1,0,20191219,20191221
62739,1,1,1,1,1,0,0,20191219,20191221
62740,1,1,1,1,0,0,1,20191219,20191221
62741,0,1,1,0,1,0,0,20191219,20191221
62742,0,1,1,0,1,0,0,20191219,20191221
62801,1,1,1,1,1,0,0,20191222,20200229
62802,1,1,1,1,0,0,0,20191222,20200229
62803,0,1,1,1,1,0,0,20191222,20200229
62804,0,1,1,1,1,0,0,20191222,20200229
62805,0,0,0,0,1,0,0,20191222,20200229
62806,0,0,0,0,0,1,0,20191222,20200229
62807,0,0,0,0,0,1,0,20191222,20200229
62808,0,0,0,0,0,0,1,20191222,20200229
62809,0,0,0,0,0,0,1,20191222,20200229
62810,0,0,1,1,1,1,0,20191222,20200229
62811,0,1,1,1,1,1,0,20191222,20200229
62812,0,1,1,1,1,1,0,20191222,20200229
62813,1,0,0,0,0,0,0,20191222,20200229
62814,1,0,0,0,0,0,0,20191222,20200229
62815,1,0,0,0,0,0,0,20191222,20200229
62816,0,1,0,0,0,0,0,20191222,20200229
62817,0,1,0,0,0,0,0,20191222,20200229
62818,1,0,1,1,1,0,0,20191222,20200229
62819,1,0,1,1,1,0,0,20191222,20200229
62820,0,0,1,0,0,0,0,20191222,20200229
62821,0,0,1,0,0,0,0,20191222,20200229
62822,1,1,0,1,1,0,0,20191222,20200229
62823,1,1,0,1,1,0,0,20191222,20200229
62824,0,0,0,1,0,0,0,20191222,20200229
62825,0,0,0,1,0,0,0,20191222,20200229
62826,1,1,1,0,1,0,0,20191222,20200229
62827,1,1,1,0,1,0,0,20191222,20200229
62828,0,1,1,0,0,0,0,20191222,20200229
62829,0,1,1,0,0,0,0,20191222,20200229
62830,1,0,0,1,1,0,0,20191222,20200229
62831,1,0,0,1,1,0,0,20191222,20200229
62832,1,1,0,0,1,0,0,20191222,20200229
62833,1,1,0,0,1,0,0,20191222,20200229
62834,1,1,1,1,1,0,1,20191222,20200229
62835,1,1,1,1,1,0,1,20191222,20200229
62836,1,1,1,1,1,1,0,20191222,20200229
62837,1,1,1,1,1,1,0,20191222,20200229
62838,1,1,1,1,1,1,0,20191222,20200229
62839,1,1,1,1,1,0,0,20191222,20200229
62840,1,1,1,1,0,0,1,20191222,20200229
62841,0,1,1,0,1,0,0,20191222,20200229
62842,0,1,1,0,1,0,0,20191222,20200229
106001,1,1,1,1,1,0,0,20191219,20200229
106002,1,1,1,1,0,0,0,20191219,20200229
106003,0,1,1,1,1,0,0,20191219,20200229
106004,0,1,1,1,1,0,0,20191219,20200229
106005,0,0,0,0,1,0,0,20191219,20200229
106006,0,0,0,0,0,1,0,20191219,20200229
106007,0,0,0,0,0,1,0,20191219,20200229
106008,0,0,0,0,0,0,1,20191219,20200229
106009,0,0,0,0,0,0,1,20191219,20200229
106010,0,0,1,1,1,1,0,20191219,20200229
106011,0,1,1,1,1,1,0,20191219,20200229
106012,0,1,1,1,1,1,0,20191219,20200229
106013,1,0,0,0,0,0,0,20191219,20200229
106014,1,0,0,0,0,0,0,20191219,20200229
106015,1,0,0,0,0,0,0,20191219,20200229
106016,0,1,0,0,0,0,0,20191219,20200229
106017,0,1,0,0,0,0,0,20191219,20200229
106018,1,0,1,1,1,0,0,20191219,20200229
106019,1,0,1,1,1,0,0,20191219,20200229
106020,0,0,1,0,0,0,0,20191219,20200229
106021,0,0,1,0,0,0,0,20191219,20200229
106022,1,1,0,1,1,0,0,20191219,20200229
106023,1,1,0,1,1,0,0,20191219,20200229
106024,0,0,0,1,0,0,0,20191219,20200229
106025,0,0,0,1,0,0,0,20191219,20200229
106026,1,1,1,0,1,0,0,20191219,20200229
106027,1,1,1,0,1,0,0,20191219,20200229
106028,0,1,1,0,0,0,0,20191219,20200229
106029,0,1,1,0,0,0,0,20191219,20200229
106030,1,0,0,1,1,0,0,20191219,20200229
106031,1,0,0,1,1,0,0,20191219,20200229
106032,1,1,0,0,1,0,0,20191219,20200229
106033,1,1,0,0,1,0,0,20191219,20200229
106034,1,1,1,1,1,0,1,20191219,20200229
106035,1,1,1,1,1,0,1,20191219,20200229
106036,1,1,1,1,1,1,0,20191219,20200229
106037,1,1,1,1,1,1,0,20191219,20200229
106038,1,1,1,1,1,1,0,20191219,20200229
106039,1,1,1,1,1,0,0,20191219,20200229
106040,1,1,1,1,0,0,1,20191219,20200229
106041,0,1,1,0,1,0,0,20191219,20200229
106042,0,1,1,0,1,0,0,20191219,20200229
206001,1,1,1,1,1,0,0,20191219,20200229
