service_id,date,exception_type
1901,20191223,1
1901,20191227,1
1901,20191228,1
1911,20191220,1
1911,20191230,1
62801,20191225,2
62801,20200101,2
62802,20191225,2
62802,20200101,2
62803,20191225,2
62803,20200101,2
62804,20191226,2
62804,20200102,2
62805,20191225,2
62805,20200101,2
62806,20191225,2
62806,20200101,2
62807,20191226,2
62807,20200102,2
62808,20191226,2
62808,20200102,2
62809,20191225,1
62809,20200101,1
62810,20191226,2
62810,20200102,2
62811,20191225,2
62811,20200101,2
62812,20191226,2
62812,20200102,2
62813,20191225,2
62813,20200101,2
62814,20191226,2
62814,20200102,2
62815,20191226,1
62815,20200102,1
62816,20191225,2
62816,20200101,2
62817,20191226,2
62817,20200102,2
62818,20191225,2
62818,20200101,2
62819,20191226,2
62819,20200102,2
62820,20191225,2
62820,20200101,2
62821,20191226,2
62821,20200102,2
62822,20191225,2
62822,20200101,2
62823,20191226,2
62823,20200102,2
62824,20191225,2
62824,20200101,2
62825,20191226,2
62825,20200102,2
62826,20191225,2
62826,20200101,2
62827,20191226,2
62827,20200102,2
62828,20191225,2
62828,20200101,2
62829,20191226,2
62829,20200102,2
62830,20191225,2
62830,20200101,2
62831,20191226,2
62831,20200102,2
62832,20191225,2
62832,20200101,2
62833,20191226,2
62833,20200102,2
62834,20191225,2
62834,20200101,2
62835,20191226,2
62835,20200102,2
62836,20191225,2
62836,20200101,2
62837,20191226,2
62837,20200102,2
62838,20191226,1
62838,20200102,1
62839,20191226,1
62839,20200102,1
62840,20191225,1
62840,20200101,1
62841,20191225,2
62841,20200101,2
62842,20191226,2
62842,20200102,2
106001,20191225,2
106001,20200101,2
106002,20191225,2
106002,20200101,2
106003,20191225,2
106003,20200101,2
106004,20191226,2
106004,20200102,2
106005,20191225,2
106005,20200101,2
106006,20191225,2
106006,20200101,2
106007,20191226,2
106007,20200102,2
106008,20191226,2
106008,20200102,2
106009,20191225,1
106009,20200101,1
106010,20191226,2
106010,20200102,2
106011,20191225,2
106011,20200101,2
106012,20191226,2
106012,20200102,2
106013,20191225,2
106013,20200101,2
106014,20191226,2
106014,20200102,2
106015,20191226,1
106015,20200102,1
106016,20191225,2
106016,20200101,2
106017,20191226,2
106017,20200102,2
106018,20191225,2
106018,20200101,2
106019,20191226,2
106019,20200102,2
106020,20191225,2
106020,20200101,2
106021,20191226,2
106021,20200102,2
106022,20191225,2
106022,20200101,2
106023,20191226,2
106023,20200102,2
106024,20191225,2
106024,20200101,2
106025,20191226,2
106025,20200102,2
106026,20191225,2
106026,20200101,2
106027,20191226,2
106027,20200102,2
106028,20191225,2
106028,20200101,2
106029,20191226,2
106029,20200102,2
106030,20191225,2
106030,20200101,2
106031,20191226,2
106031,20200102,2
106032,20191225,2
106032,20200101,2
106033,20191226,2
106033,20200102,2
106034,20191225,2
106034,20200101,2
106035,20191226,2
106035,20200102,2
106036,20191225,2
106036,20200101,2
106037,20191226,2
106037,20200102,2
106038,20191226,1
106038,20200102,1
106039,20191226,1
106039,20200102,1
106040,20191225,1
106040,20200101,1
106041,20191225,2
106041,20200101,2
106042,20191226,2
106042,20200102,2
206001,20191225,2
206001,20200101,2
