route_id,route_short_name,route_long_name,route_desc,route_type,route_url
182-0,182,"NORTH Naperville Evening Service",,3,
183-0,183,"SOUTHWEST Naperville Evening Service",,3,
184-0,184,"SOUTH Naperville Evening Service",,3,
185-0,185,"SOUTHEAST Naperville Evening Service",,3,
186-0,186,"East Lisle combination service",,3,
187-0,187,"West Lisle combination service",,3,
208-273,208,"Golf Road",,3,
209-273,209,"Busse Highway",,3,
210-273,210,"Lincoln Avenue",,3,
213-273,213,"Green Bay Road",,3,
215-273,215,"Crawford-Howard",,3,
221-273,221,"Wolf Road",,3,
223-273,223,"Elk Grove - Rosemont CTA Station",,3,
225-273,225,"Central - Howard",,3,
226-273,226,"Oakton Street",,3,
230-273,230,"South Des Plaines",,3,
234-273,234,"Wheeling - Des Plaines",,3,
240-273,240,"Dee Road",,3,
241-273,241,"Greenwood - Talcott",,3,
250-273,250,"Dempster Street",,3,
270-273,270,"Milwaukee Avenue",,3,
272-273,272,"Milwaukee Avenue North",,3,
290-273,290,"Touhy Avenue",,3,
301-251,301,"Roosevelt Road",,3,
302-251,302,"Ogden - Stanley",,3,
303-251,303,"Forest Park - Rosemont",,3,
304-251,304,"North Riverside - LaGrange",,3,
305-251,305,"East Roosevelt",,3,
307-251,307,"Harlem",,3,
308-251,308,"Medical Center",,3,
309-251,309,"Lake Street",,3,
310-251,310,"West Madison - Hillside",,3,
311-251,311,"Oak Park Avenue",,3,
313-251,313,"St. Charles Rd.",,3,
314-251,314,"Ridgeland",,3,
315-251,315,"Austin",,3,
316-251,316,"Laramie",,3,
317-251,317,"Westchester",,3,
318-251,318,"West North Avenue",,3,
319-251,319,"Grand Avenue",,3,
320-251,320,"Madison Street",,3,
322-251,322,"Cermak Road - 22nd St.",,3,
326-273,326,"WEST IRVING PARK",,3,
327-251,327,"Industrial Drive",,3,
330-251,330,"Mannheim - LaGrange Road",,3,
331-251,331,"Cumberland - 5th Avenue",,3,
332-251,332,"River - York Roads",,3,
348-251,348,"Harvey - Riverdale - Blue Island",,3,
349-251,349,"SOUTH WESTERN",,3,
350-251,350,"Sibley",,3,
352-251,352,"Halsted",,3,
353-251,353,"95th - River Oaks",,3,
354-251,354,"Harvey - Oak Forest Loop",,3,
355-251,355,"Wentworth Limited",,3,
356-251,356,"Harvey - Homewood - Tinley Park",,3,
357-251,357,"Lincoln Highway",,3,
358-251,358,"Torrence",,3,
359-251,359,"Robbins / South Kedzie Avenue",,3,
360-251,360,"Harvey-Amazon Monee",,3,
361-251,361,"Harvey - Laraway Crossings Express",,3,
362-251,362,"South Park forest",,3,
364-251,364,"159th Street",,3,
366-251,366,"Park Forest - Chicago Heights",,3,
367-251,367,"University Park - Park Forest",,3,
372-251,372,"Dixie Highway",,3,
379-251,379,"Midway - Orland Square",,3,
381-251,381,"95th Street",,3,
382-251,382,"Central / Clearing",,3,
383-251,383,"South Cicero",,3,
384-251,384,"Narragansett - Ridgeland",,3,
385-251,385,"87th / 111th / 127th",,3,
386-251,386,"South Harlem",,3,
390-251,390,"Midway CTA - UPS Hodgkins",,3,
392-251,392,"Green Line Cicero CTA - UPS Hodgkins Limited",,3,
395-251,395,"95th/Dan RyanCTA  - UPS Hodgkins Limited",,3,
410-220,410,"East Niles Local",,3,
411-220,411,"West Niles Local",,3,
412-220,412,"Niles Shopper's Special",,3,
421-273,421,"Wilmette Avenue",,3,
422-273,422,"Linden CTA/Glenview/Northbrook Court",,3,
423-273,423,"Linden CTA - The Glen - Harleml CTA",,3,
461-0,461,"N462orth Downers Grove",,3,
462-0,462,"Southwest Downers Grove",,3,
463-0,463,"Southeast Downers Grove",,3,
465-0,465,"Esplanade",,3,
471-0,471,"Highland Park-Northbrook Court",,3,
472-0,472,"Highland Park - Highwood",,3,
501-273,501,"West Jefferson",,3,
504-273,504,"South Joliet",,3,
505-273,505,"West Joliet Loop",,3,
507-273,507,"Plainfield",,3,
508-273,508,"East Joliet",,3,
509-273,509,"Forest Park",,3,
511-273,511,"Joliet- Elwood -Centerpoint",,3,
512-273,512,"JOLIET - CENTERPOINT",,3,
524-249,524,"West Aurora",,3,
530-249,530,"West Galena- Westfield Fox Valley Center",,3,
532-249,532,"Illinois Avenue",,3,
533-249,533,"Northeast Aurora",,3,
534-249,534,"Fox Valley Villages / Rt 59",,3,
540-249,540,"Farnsworth Avenue",,3,
541-273,541,"Northeast Elgin",,3,
542-273,542,"Bluff City",,3,
543-273,543,"Dundee-Carpentersville",,3,
546-273,546,"Orange-Walnut",,3,
547-273,547,"Wing Park",,3,
548-273,548,"Highland",,3,
549-273,549,"South Randall",,3,
550-273,550,"Big Timber-North Randall",,3,
552-273,552,"North State - Spring Hill Mall",,3,
554-273,554,"Elgin Woodfield",,3,
559-249,559,"Illinois Rt 59",,3,
561-273,561,"Castlecrest via McAree",,3,
562-273,562,"Gurnee via Sunset",,3,
563-273,563,"Great Lakes Naval Station",,3,
564-273,564,"Jackson / 14th",,3,
565-273,565,"Grand Avenue",,3,
566-273,566,"McAREE - KELLER",,3,
568-273,568,"Belvidere",,3,
569-273,569,"Lewis",,3,
570-273,570,"Fox Lake - CLC",,3,
571-273,571,"Zion",,3,
572-273,572,"Washington",,3,
573-273,573,"Green Bay Road",,3,
574-273,574,"CLC - Westfield Hawthorn",,3,
600-273,600,"Northwest Express",,3,
602-172,602,"Higgins - Salem - Cedarcrest",,3,
603-273,603,"Elgin Terminal  - Rosemont Express",,3,
604-273,604,"Dundee Road to Schaumburg",,3,
605-273,605,"I-90/Randall Road Park-N-Ride - Roesmont  Express",,3,
606-273,606,"Rosemont - Schaumburg  Limited",,3,
607-273,607,"Randall - Schaumburg Express",,3,
608-251,608,"Roselle - Schaumburg",,3,
610-273,610,"Rosemont  - Prairie Stone Express",,3,
611-273,611,"North Schaumburg",,3,
612-273,612,"Barrington Rd Circulator",,3,
616-273,616,"Rosemont - Itasca Limited",,3,
619-273,619,"Des Plaines Station - Willow Rd Corridor",,3,
620-273,620,"YELLOW LINE - NORTHBROOK",,3,
623-273,623,"Glen of N. Glenview Station - Willow Road Corridor",,3,
626-273,626,"Skokie Valley Limited",,3,
627-273,627,"Discover - Takeda Shuttle Bug",,3,
628-0,628,"Shuttle Bug 8",,3,
629-0,629,"Shuttle Bug 9",,3,
631-273,631,"Shuttle Bug 1",,3,
632-273,632,"Shuttle Bug 2",,3,
633-273,633,"Shuttle Bug 3",,3,
634-273,634,"Shuttle Bug 4",,3,
635-273,635,"Lake Cook Shuttle Bug 5",,3,
638-273,638,"VAN SHUTTLE HSBC",,3,
640-273,640,"BRAESIDE - COMMERCIAL",,3,
661-200,661,"Southwest Westmont",,3,
662-200,662,"South Central Westmont",,3,
663-200,663,"Darien-Clarendon",,3,
664-200,664,"Willowbrook-Clarendon Hills",,3,
665-200,665,"Darien-Westmont",,3,
668-200,668,"Burr Ridge-Hinsdale",,3,
669-200,669,"Western Springs-Indian Head Park",,3,
672-0,672,"95th Park-n-Ride Express-Rt 59 Metra Direct",,3,
673-0,673,"Community Christian Park-n-Ride-Rt 59 Metra Direct",,3,
674-0,674,"Southwest Lombard",,3,
675-0,675,"Wheatland Salem Park-n-Ride-Rt 59 Metra Direct",,3,
676-249,676,"Warrenville-Naperville Metra",,3,
677-0,677,"Brighton Ridge-Naperville Metra",,3,
678-0,678,"River Woods - Naperville Metra",,3,
680-0,680,"Brookwood Trace - Naperville Metra",,3,
681-0,681,"Lincoln Park - Naperville Metra",,3,
682-0,682,"Brookdale - Naperville Metra",,3,
683-0,683,"Ashbury - Naperville Metra",,3,
684-0,684,"Winchester Place - Naperville Metra",,3,
685-249,685,"Ivy Ridge-Naperville Metra",,3,
687-0,687,"Maplebrook East - Naperville Metra",,3,
689-0,689,"Century Hill - Naperville Metra",,3,
694-273,694,"Central Road-Mt. Prospect Station",,3,
696-273,696,"Randhurst/Woodfield/Harper College",,3,
709-0,709,"Carol Stream-North Wheaton",,3,
711-0,711,"Wheaton-Addison",,3,
714-249,714,"College of DuPage-Naperville-Wheaton Connector",,3,
715-0,715,"Central DuPage",,3,
722-249,722,"Ogden Avenue",,3,
