stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id,geo_node_id
182n0005,"Washington/School",,41.7775918,-88.1473181,,,,,,,32186
183s0005,"Washington/School",,41.7774673,-88.147536,,,,,,,32187
183s0010,"Rt. 59/Naperville Garage",,41.7237658,-88.2300768,,,,,,,32188
184s0005,"Washington/School",,41.7774726,-88.1475296,,,,,,,32189
184s0010,"Rt. 59/Naperville Garage",,41.7237801,-88.2300035,,,,,,,32190
185s0005,"Washington/School",,41.777476,-88.1475473,,,,,,,32191
185s0010,"Rt. 59/Naperville Garage",,41.7237721,-88.2300051,,,,,,,32192
204n0285,"Oak Davis",,42.0469133,-87.6867965,,,,,,,105
204n0290,"Oak Church",,42.0483556,-87.686757,,,,,,,106
208e0005,"Milwaukee/Golf",,42.0542718,-87.8375983,,,,,,,21664
208e0010,"8361 Golf Rd",,42.0545423,-87.8362411,,,,,,,21665
208e0015,"8331 W Golf Rd",,42.0545945,-87.8340431,,,,,,,21666
208e0020,"8203 W Golf Rd",,42.0546236,-87.8323393,,,,,,,21667
208e0025,"Golf Rd & Michael Manor",,42.0547246,-87.8288751,,,,,,,21668
208e0030,"Golf Rd & Washington Rd",,42.0548064,-87.8257626,,,,,,,21669
208e0035,"Golf Rd & Washington Rd",,42.0548168,-87.8246678,,,,,,,21670
208e0045,"Golf Rd & Ozanam Ave/ Julie Dr",,42.0549051,-87.8198716,,,,,,,21672
208e0050,"Golf Rd & Stacy Ct",,42.0550058,-87.8163748,,,,,,,21673
208e0055,"Golf Rd & Oleander Ave",,42.055034,-87.8155171,,,,,,,21674
208e0060,"Golf Rd & Shermer Rd",,42.0551188,-87.8111071,,,,,,,21675
208e0070,"Golf Rd & Parkview Rd",,42.0551428,-87.8096356,,,,,,,21677
208e0075,"Golf Rd & Lincoln St",,42.0551165,-87.8085028,,,,,,,21678
208e0080,"Golf Rd & Washington St",,42.0551021,-87.8072705,,,,,,,21679
208e0085,"Golf/Harlem",,42.055105,-87.8054003,,,,,,,21680
208e0090,"Golf/Traffic Signal/Kraft",,42.0551141,-87.8031383,,,,,,,21681
208e0095,"Golf/Sayre",,42.0551205,-87.8016326,,,,,,,21682
208e0100,"Golf/Waukegan",,42.0551113,-87.8004384,,,,,,,21683
208e0105,"Golf/Pace Shelter/Avon",,42.0551193,-87.7979576,,,,,,,21684
208e0110,"Golf/Normandy",,42.0551989,-87.793111,,,,,,,21685
208e0115,"Golf/Nashville",,42.0551886,-87.7908036,,,,,,,21686
208e0120,"Golf/Overlook",,42.0551858,-87.7859163,,,,,,,21687
208e0125,"Golf/Traffic Signal/Glen View Club",,42.055215,-87.7833701,,,,,,,21688
208e0145,"Old Orchard Rd./Mid-Block/CTA Sign",,42.062585,-87.7635595,,,,,,,21692
208e0147,"Old Orchard Rd./Woods Dr.",,42.0625499,-87.7611971,,,,,,,21693
208e0160,"Old Orchard Rd./Traffic Signal/Hampton Inn",,42.0624606,-87.7579228,,,,,,,21696
208e0165,"Old Orchard Rd./Lawler",,42.0624228,-87.7529311,,,,,,,21697
208e0170,"Old Orchard Rd./Lavergne",,42.0623988,-87.7518746,,,,,,,21698
208e0330,"Golf/Harms",,42.0553301,-87.7658421,,,,,,,22410
208e0335,"Golf/Woods Dr.",,42.0553186,-87.7629826,,,,,,,22411
208e0340,"Golf/Lockwood",,42.0552735,-87.7590211,,,,,,,22412
208e0345,"Golf/Terminal",,42.0552815,-87.7578093,,,,,,,22413
208e0350,"Golf/Laramie",,42.055274,-87.7565213,,,,,,,22414
208e0355,"Golf/Leamington",,42.0552706,-87.7553485,,,,,,,22415
208e0360,"Golf/Le Claire",,42.0552671,-87.7542071,,,,,,,22416
208e0365,"Golf/Lawler",,42.055227,-87.7529666,,,,,,,22417
208e0370,"Golf/Lavergne",,42.0556705,-87.7514455,,,,,,,22418
