service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
FX0819-fx0819mf-Weekday-00,1,1,1,1,1,0,0,20191209,20200228
FX0819-fx0819sa-Saturday-00,0,0,0,0,0,1,0,20191214,20200229
HR1219-hr1219wk-Weekday-02,1,1,1,1,1,0,0,20191209,20200228
HR1219-hr1219sa-Saturday-02,0,0,0,0,0,1,0,20191214,20200229
NS1019-ns1019wk-Weekday-01,1,1,1,1,1,0,0,20191209,20200228
NS1019-ns1019wk-Weekday-01-0000100,0,0,0,0,1,0,0,20191209,20200228
NS1019-ns1019sa-Saturday-01,0,0,0,0,0,1,0,20191214,20200229
NO1219-no1219su-Sunday-01,0,0,0,0,0,0,1,20191208,20200223
NO1219-no1219wk-Weekday-01,1,1,1,1,1,0,0,20191209,20200228
NO1219-no1219sa-Saturday-01,0,0,0,0,0,1,0,20191214,20200229
NW1219-nw1219su-Sunday-01,0,0,0,0,0,0,1,20191208,20200223
NW1219-nw1219mf-Weekday-01,1,1,1,1,1,0,0,20191209,20200228
NW1219-nw1219mf-Weekday-01-1111000,1,1,1,1,0,0,0,20191209,20200228
NW1219-nw1219sa-Saturday-01,0,0,0,0,0,1,0,20191214,20200229
RV1219-rv1219mf-Weekday-01,1,1,1,1,1,0,0,20191209,20200228
RV1219-rv1219sa-Saturday-01,0,0,0,0,0,1,0,20191214,20200229
STHD19-sun-Sunday-11,0,0,0,0,0,0,1,20191208,20200223
STHD19-wk-Weekday-13,1,1,1,1,1,0,0,20191209,20200228
STHD19-wk-Weekday-13-0111100,0,1,1,1,1,0,0,20191209,20200228
STHD19-wk-Weekday-13-1111000,1,1,1,1,0,0,0,20191209,20200228
STHD19-wk-Weekday-13-0000100,0,0,0,0,1,0,0,20191209,20200228
STHD19-sat-Saturday-11,0,0,0,0,0,1,0,20191214,20200229
SW1219-su0819sw-Sunday-00,0,0,0,0,0,0,1,20191208,20200223
SW1219-mf0819sw-Weekday-00,1,1,1,1,1,0,0,20191209,20200228
SW1219-mf0819sw-Weekday-00-0111100,0,1,1,1,1,0,0,20191209,20200228
SW1219-sa1219sw-Saturday-01,0,0,0,0,0,1,0,20191214,20200229
WESD19-rmb-Sunday-02,0,0,0,0,0,0,1,20191208,20200223
WESD19-RMBcopt3-Weekday-20,1,1,1,1,1,0,0,20191209,20200228
WESD19-RMBcopt3-Weekday-20-0111100,0,1,1,1,1,0,0,20191209,20200228
WESD19-rmb-Saturday-02,0,0,0,0,0,1,0,20191214,20200229
BATAV-Oct19MV-Weekday-00,1,1,1,1,1,0,0,20191209,20200228
GLENVW-glenvw-Sunday-00,0,0,0,0,0,0,1,20191208,20200223
GLENVW-glenvw-Weekday-00,1,1,1,1,1,0,0,20191209,20200228
GLENVW-glenvw-Weekday-00-1111000,1,1,1,1,0,0,0,20191209,20200228
GLENVW-glenvw-Weekday-00-0000100,0,0,0,0,1,0,0,20191209,20200228
GLENVW-glenvw-Saturday-00,0,0,0,0,0,1,0,20191214,20200229
HIGHPK-HighPk-Weekday-00,1,1,1,1,1,0,0,20191209,20200228
HIGHPK-HighPk-Saturday-00,0,0,0,0,0,1,0,20191214,20200229
MCHENRY-MFmchenr-Weekday-00,1,1,1,1,1,0,0,20191209,20200228
L-NAPR-napr0619-Weekday-00,1,1,1,1,1,0,0,20191209,20200228
NILES-niles-Sunday-17,0,0,0,0,0,0,1,20191208,20200223
NILES-niles-Weekday-17,1,1,1,1,1,0,0,20191209,20200228
NILES-niles-Saturday-17,0,0,0,0,0,1,0,20191214,20200229
ACTIVE-905su-Sunday-01,0,0,0,0,0,0,1,20191208,20200223
ACTIVE-905mf-Weekday-01,1,1,1,1,1,0,0,20191209,20200228
ACTIVE-905sa-Saturday-01,0,0,0,0,0,1,0,20191214,20200229
WSTMNT-wstmnt19-Weekday-01,1,1,1,1,1,0,0,20191209,20200228
