"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17031","0","10","70","0","2017","1","","Cook County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",135326,2518634,2525004,2543074,44914095150,17566221047,494706332,1366,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12400,-8.4,9450,0.4,14022,0.6,19391,0.8,3170085024,7.6,691135412,4.1,-24555118,-4.7,89,7.0
"17031","0","10","70","0","2017","2","","Cook County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",136898,2553636,2576347,2599913,39477236682,5816933416,158456604,1179,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12642,-8.5,3452,0.1,11127,0.4,10569,0.4,1333561897,3.5,-164217336,-2.7,-21729482,-12.1,37,3.2
"17031","0","10","70","0","2017","3","","Cook County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",137517,2572008,2585037,2587611,38787273994,3457280371,95240055,1156,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13216,-8.8,1322,0.1,3921,0.2,7720,0.3,99315311,0.3,-150694467,-4.2,-13451292,-12.4,1,0.1
"17031","0","10","70","0","2017","4","","Cook County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",138678,2594441,2604146,2606439,43424648408,2805177059,78091609,1284,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13446,-8.8,12856,0.5,14373,0.6,15018,0.6,1412283072,3.4,113391558,4.2,-3409348,-4.2,35,2.8
"17031","1","10","71","0","2017","1","","Cook County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",285,38102,38129,38017,790252953,0,0,1596,"",0.34,0.76,0.76,0.76,0.65,0.00,0.00,0.85,"",-3,-1.0,371,1.0,366,1.0,205,0.5,19955385,2.6,0,0.0,0,0.0,27,1.7
"17031","1","10","71","0","2017","2","","Cook County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",283,38168,37931,37955,784303482,0,0,1587,"",0.34,0.77,0.76,0.75,0.68,0.00,0.00,0.90,"",-4,-1.4,251,0.7,-53,-0.1,-104,-0.3,73413967,10.3,0,0.0,0,0.0,147,10.2
"17031","1","10","71","0","2017","3","","Cook County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",281,37913,37875,37782,782209895,0,0,1589,"",0.34,0.75,0.75,0.75,0.68,0.00,0.00,0.91,"",-7,-2.4,-158,-0.4,-133,-0.3,-280,-0.7,-41015077,-5.0,0,0.0,0,0.0,-75,-4.5
"17031","1","10","71","0","2017","4","","Cook County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",281,37991,38129,38932,816077960,0,0,1637,"",0.34,0.76,0.77,0.78,0.68,0.00,0.00,0.89,"",-6,-2.1,-183,-0.5,-174,-0.5,-403,-1.0,15538025,1.9,0,0.0,0,0.0,42,2.6
"17031","1","101","72","0","2017","1","","Cook County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,9,10,8,239747,0,0,2049,"",0.61,0.01,0.01,0.01,0.01,0.00,0.00,1.10,"",0,0.0,1,12.5,2,25.0,0,0.0,16148,7.2,0,0.0,0,0.0,-101,-4.7
"17031","1","101","72","0","2017","2","","Cook County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,9,9,9,195939,0,0,1675,"",0.61,0.01,0.01,0.01,0.01,0.00,0.00,0.89,"",0,0.0,1,12.5,1,12.5,-1,-10.0,16089,8.9,0,0.0,0,0.0,79,4.9
