"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25001","0","10","70","0","2017","1","","Barnstable County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9386,85269,84750,86193,1006620832,548537455,15086621,907,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",147,1.6,1250,1.5,1211,1.4,604,0.7,75904851,8.2,34137985,6.6,682671,4.7,59,7.0
"25001","0","10","70","0","2017","2","","Barnstable County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9458,91658,97651,108832,1120326240,355196281,12050760,867,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",80,0.9,1006,1.1,1012,1.0,2554,2.4,58337935,5.5,6060279,1.7,175524,1.5,32,3.8
"25001","0","10","70","0","2017","3","","Barnstable County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9525,114252,113591,102374,1213790923,299595881,11138981,848,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",103,1.1,717,0.6,865,0.8,509,0.5,-3048520,-0.3,-8586523,-2.8,-825731,-6.9,-8,-0.9
"25001","0","10","70","0","2017","4","","Barnstable County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9504,97599,93120,91852,1177500761,169728948,3900750,962,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",58,0.6,695,0.7,608,0.7,856,0.9,32349487,2.8,985208,0.6,-169918,-4.2,20,2.1
"25001","1","10","71","0","2017","1","","Barnstable County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",86,1597,1583,1588,28703155,0,0,1389,"",1.49,0.94,0.95,0.94,1.05,0.00,0.00,1.11,"",4,4.9,1,0.1,11,0.7,0,0.0,756006,2.7,0,0.0,0,0.0,33,2.4
"25001","1","10","71","0","2017","2","","Barnstable County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",86,1592,1614,1640,28607328,0,0,1362,"",1.49,0.89,0.85,0.78,0.88,0.00,0.00,1.05,"",3,3.6,8,0.5,-7,-0.4,-57,-3.4,2522591,9.7,0,0.0,0,0.0,134,10.9
"25001","1","10","71","0","2017","3","","Barnstable County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",87,1708,1706,1650,29983797,0,0,1366,"",1.51,0.76,0.77,0.83,0.84,0.00,0.00,1.07,"",2,2.4,-34,-2.0,-49,-2.8,-33,-2.0,-1586495,-5.0,0,0.0,0,0.0,-40,-2.8
"25001","1","10","71","0","2017","4","","Barnstable County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",87,1629,1580,1595,29299910,0,0,1407,"",1.53,0.87,0.89,0.90,0.91,0.00,0.00,1.02,"",1,1.2,-4,-0.2,-66,-4.0,-45,-2.7,152008,0.5,0,0.0,0,0.0,40,2.9
"25001","1","102","72","0","2017","1","","Barnstable County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",86,1597,1583,1588,28703155,0,0,1389,"",1.49,0.96,0.96,0.96,1.07,0.00,0.00,1.11,"",4,4.9,1,0.1,11,0.7,0,0.0,756006,2.7,0,0.0,0,0.0,33,2.4
"25001","1","102","72","0","2017","2","","Barnstable County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",86,1592,1614,1640,28607328,0,0,1362,"",1.50,0.91,0.87,0.79,0.89,0.00,0.00,1.05,"",3,3.6,8,0.5,-7,-0.4,-57,-3.4,2522591,9.7,0,0.0,0,0.0,134,10.9
