"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25013","0","10","70","0","2017","1","","Hampden County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",17940,202899,203858,205541,2559716144,1295937157,36662467,965,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",530,3.0,1182,0.6,1290,0.6,928,0.5,136702178,5.6,57390407,4.6,1638183,4.7,47,5.1
"25013","0","10","70","0","2017","2","","Hampden County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",18070,209139,210729,210356,2453694677,681560415,17912480,898,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",380,2.1,1524,0.7,2264,1.1,1629,0.8,60201289,2.5,924773,0.1,-162978,-0.9,14,1.6
"25013","0","10","70","0","2017","3","","Hampden County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",18397,206401,206125,210410,2469008581,443971453,10549270,915,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",458,2.6,1220,0.6,1631,0.8,127,0.1,-30662733,-1.2,-10185246,-2.2,-171703,-1.6,-15,-1.6
"25013","0","10","70","0","2017","4","","Hampden County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",18275,211832,211625,211777,2665187478,387729690,7899967,968,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",116,0.6,1358,0.6,968,0.5,1480,0.7,60915827,2.3,-2269949,-0.6,371532,4.9,16,1.7
"25013","1","10","71","0","2017","1","","Hampden County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,3757,3778,3773,62755994,0,0,1281,"",0.62,0.93,0.94,0.94,0.90,0.00,0.00,0.96,"",0,0.0,-6,-0.2,-47,-1.2,-67,-1.7,125122,0.2,0,0.0,0,0.0,16,1.3
"25013","1","10","71","0","2017","2","","Hampden County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,3782,3792,3784,68731470,0,0,1396,"",0.63,0.93,0.93,0.93,0.96,0.00,0.00,1.04,"",0,0.0,89,2.4,55,1.5,56,1.5,9727118,16.5,0,0.0,0,0.0,176,14.4
"25013","1","10","71","0","2017","3","","Hampden County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,3798,3747,3733,61055783,0,0,1249,"",0.62,0.93,0.93,0.91,0.84,0.00,0.00,0.90,"",0,0.0,100,2.7,-44,-1.2,-59,-1.6,-7756623,-11.3,0,0.0,0,0.0,-159,-11.3
"25013","1","10","71","0","2017","4","","Hampden County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,3778,3772,4107,71983158,0,0,1425,"",0.63,0.93,0.93,1.01,0.98,0.00,0.00,1.03,"",0,0.0,-24,-0.6,-38,-1.0,-27,-0.7,714893,1.0,0,0.0,0,0.0,25,1.8
"25013","1","102","72","0","2017","1","","Hampden County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",69,3757,3778,3773,62755994,0,0,1281,"",0.63,0.95,0.95,0.95,0.92,0.00,0.00,0.96,"",0,0.0,-6,-0.2,-47,-1.2,-67,-1.7,125122,0.2,0,0.0,0,0.0,16,1.3
"25013","1","102","72","0","2017","2","","Hampden County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",69,3782,3792,3784,68731470,0,0,1396,"",0.63,0.95,0.94,0.94,0.98,0.00,0.00,1.04,"",0,0.0,89,2.4,55,1.5,56,1.5,9727118,16.5,0,0.0,0,0.0,176,14.4
"25013","1","102","72","0","2017","3","","Hampden County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",69,3798,3747,3733,61055783,0,0,1249,"",0.62,0.95,0.95,0.93,0.85,0.00,0.00,0.90,"",0,0.0,100,2.7,-44,-1.2,-59,-1.6,-7756623,-11.3,0,0.0,0,0.0,-159,-11.3
"25013","1","102","72","0","2017","4","","Hampden County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",69,3778,3772,4107,71983158,0,0,1425,"",0.63,0.94,0.95,1.03,1.00,0.00,0.00,1.03,"",0,0.0,-24,-0.6,-38,-1.0,-27,-0.7,714893,1.0,0,0.0,0,0.0,25,1.8
"25013","1","1021","73","0","2017","1","","Hampden County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",31,2284,2320,2319,34995069,0,0,1167,"",0.56,2.33,2.35,2.34,2.95,0.00,0.00,1.26,"",0,0.0,62,2.8,39,1.7,38,1.7,775256,2.3,0,0.0,0,0.0,3,0.3
"25013","1","1021","73","0","2017","2","","Hampden County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",31,2329,2340,2315,38641004,0,0,1277,"",0.56,2.34,2.34,2.33,2.85,0.00,0.00,1.22,"",0,0.0,75,3.3,31,1.3,-1,0.0,5264132,15.8,0,0.0,0,0.0,157,14.0
"25013","1","1021","73","0","2017","3","","Hampden County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",31,2332,2292,2280,33040911,0,0,1104,"",0.55,2.36,2.35,2.30,2.70,0.00,0.00,1.16,"",0,0.0,37,1.6,1,0.0,-13,-0.6,-5823419,-15.0,0,0.0,0,0.0,-200,-15.3
"25013","1","1021","73","0","2017","4","","Hampden County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",31,2306,2289,2613,41744114,0,0,1336,"",0.56,2.31,2.31,2.57,2.88,0.00,0.00,1.20,"",0,0.0,-16,-0.7,-35,-1.5,-43,-1.6,-354352,-0.8,0,0.0,0,0.0,6,0.5
