"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25015","0","10","70","0","2017","1","","Hampshire County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4831,62649,63581,63639,713076622,427042517,8418813,867,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",37,0.8,883,1.4,1160,1.9,785,1.2,56753850,8.6,27184366,6.8,393466,4.9,57,7.0
"25015","0","10","70","0","2017","2","","Hampshire County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4833,64841,65020,67259,783158381,324259896,4649289,917,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.1,518,0.8,508,0.8,2836,4.4,78425572,11.1,31323712,10.7,-236411,-4.8,75,8.9
"25015","0","10","70","0","2017","3","","Hampshire County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4884,65271,65030,65341,761051304,251344358,2837290,898,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",33,0.7,556,0.9,901,1.4,1107,1.7,12711865,1.7,-4623399,-1.8,-212928,-7.0,4,0.4
"25015","0","10","70","0","2017","4","","Hampshire County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4880,66491,66443,66117,823461576,240768789,2157068,955,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,0.6,1346,2.1,1298,2.0,1138,1.8,53122118,6.9,8847785,3.8,-179128,-7.7,45,4.9
"25015","1","10","71","0","2017","1","","Hampshire County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",44,1403,1422,1425,25487524,0,0,1384,"",1.48,1.13,1.13,1.14,1.31,0.00,0.00,1.16,"",1,2.3,61,4.5,72,5.3,81,6.0,1696995,7.1,0,0.0,0,0.0,24,1.8
"25015","1","10","71","0","2017","2","","Hampshire County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",44,1415,1461,1469,27237723,0,0,1447,"",1.49,1.12,1.16,1.13,1.19,0.00,0.00,1.05,"",0,0.0,66,4.9,104,7.7,107,7.9,5131502,23.2,0,0.0,0,0.0,193,15.4
"25015","1","10","71","0","2017","3","","Hampshire County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",44,1463,1465,1474,26013180,0,0,1364,"",1.49,1.14,1.15,1.16,1.16,0.00,0.00,1.01,"",0,0.0,84,6.1,75,5.4,85,6.1,-577717,-2.2,0,0.0,0,0.0,-112,-7.6
"25015","1","10","71","0","2017","4","","Hampshire County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",42,1455,1446,1444,27878934,0,0,1481,"",1.43,1.14,1.14,1.13,1.23,0.00,0.00,1.08,"",-2,-4.5,75,5.4,41,2.9,24,1.7,1593944,6.1,0,0.0,0,0.0,38,2.6
"25015","1","102","72","0","2017","1","","Hampshire County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",44,1403,1422,1425,25487524,0,0,1384,"",1.48,1.15,1.15,1.16,1.34,0.00,0.00,1.16,"",1,2.3,61,4.5,72,5.3,81,6.0,1696995,7.1,0,0.0,0,0.0,24,1.8
"25015","1","102","72","0","2017","2","","Hampshire County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",44,1415,1461,1469,27237723,0,0,1447,"",1.50,1.14,1.18,1.15,1.22,0.00,0.00,1.05,"",0,0.0,66,4.9,104,7.7,107,7.9,5131502,23.2,0,0.0,0,0.0,193,15.4
