"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25017","0","10","70","0","2017","1","","Middlesex County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",54613,884515,882620,887244,19784207469,7739317641,231413910,1720,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1288,2.4,13814,1.6,12084,1.4,11620,1.3,1977847976,11.1,345445940,4.7,8559611,3.8,150,9.6
"25017","0","10","70","0","2017","2","","Middlesex County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",54854,895894,901970,912848,17863394980,2485485235,67476644,1521,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",821,1.5,11520,1.3,12401,1.4,16590,1.9,843288854,5.0,-15611518,-0.6,-1768680,-2.6,50,3.4
"25017","0","10","70","0","2017","3","","Middlesex County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",55330,902432,896680,904319,17530163139,1669800102,42433858,1496,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1118,2.1,12634,1.4,11535,1.3,11587,1.3,-448258875,-2.5,-7509171,-0.4,-871870,-2.0,-59,-3.8
"25017","0","10","70","0","2017","4","","Middlesex County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",55207,910700,914408,915359,19145770307,1413403653,32999135,1612,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",743,1.4,13470,1.5,12387,1.4,12475,1.4,1226955663,6.8,46703987,3.4,793710,2.5,82,5.4
"25017","1","10","71","0","2017","1","","Middlesex County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",189,11512,11531,11508,239968637,0,0,1603,"",0.56,0.65,0.66,0.66,0.45,0.00,0.00,0.68,"",1,0.5,228,2.0,198,1.7,142,1.2,8957440,3.9,0,0.0,0,0.0,34,2.2
"25017","1","10","71","0","2017","2","","Middlesex County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",190,11435,11439,11585,242932739,0,0,1627,"",0.57,0.66,0.65,0.65,0.47,0.00,0.00,0.71,"",3,1.6,76,0.7,29,0.3,88,0.8,26376612,12.2,0,0.0,0,0.0,169,11.6
"25017","1","10","71","0","2017","3","","Middlesex County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",191,11628,11553,11581,240598354,0,0,1597,"",0.57,0.65,0.66,0.66,0.47,0.00,0.00,0.71,"",4,2.1,96,0.8,-42,-0.4,-76,-0.7,-14675077,-5.7,0,0.0,0,0.0,-97,-5.7
"25017","1","10","71","0","2017","4","","Middlesex County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",189,11525,11506,11488,246079301,0,0,1645,"",0.57,0.66,0.66,0.65,0.47,0.00,0.00,0.71,"",2,1.1,12,0.1,-11,-0.1,-85,-0.7,3938769,1.6,0,0.0,0,0.0,30,1.9
"25017","1","102","72","0","2017","1","","Middlesex County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",189,11512,11531,11508,239968637,0,0,1603,"",0.56,0.67,0.67,0.67,0.45,0.00,0.00,0.68,"",1,0.5,228,2.0,198,1.7,142,1.2,8957440,3.9,0,0.0,0,0.0,34,2.2
"25017","1","102","72","0","2017","2","","Middlesex County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",190,11435,11439,11585,242932739,0,0,1627,"",0.57,0.67,0.67,0.67,0.48,0.00,0.00,0.71,"",3,1.6,76,0.7,29,0.3,88,0.8,26376612,12.2,0,0.0,0,0.0,169,11.6
