"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25021","0","10","70","0","2017","1","","Norfolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25224,346847,342872,345672,5691710098,2788960568,84208405,1269,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",565,2.3,2369,0.7,1954,0.6,719,0.2,393037855,7.4,98722000,3.7,1285398,1.6,82,6.9
"25021","0","10","70","0","2017","2","","Norfolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25281,349934,353713,358910,5430225905,1052062018,29367140,1179,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",342,1.4,1274,0.4,1438,0.4,2551,0.7,116997562,2.2,-19966956,-1.9,-1252227,-4.1,19,1.6
"25021","0","10","70","0","2017","3","","Norfolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25432,352261,352688,353286,5228370031,671258558,18094876,1140,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",376,1.5,2299,0.7,4087,1.2,2470,0.7,30899463,0.6,-752049,-0.1,131909,0.7,-3,-0.3
"25021","0","10","70","0","2017","4","","Norfolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25293,354476,356803,357242,6280394079,567772323,13593446,1356,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",56,0.2,2611,0.7,3322,0.9,2851,0.8,283694834,4.7,17622542,3.2,67780,0.5,50,3.8
"25021","1","10","71","0","2017","1","","Norfolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,1541,1543,1545,27406428,0,0,1366,"",0.39,0.22,0.23,0.23,0.18,0.00,0.00,0.78,"",0,0.0,41,2.7,37,2.5,24,1.6,-87195,-0.3,0,0.0,0,0.0,-36,-2.6
"25021","1","10","71","0","2017","2","","Norfolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,1533,1558,1575,28904064,0,0,1430,"",0.40,0.22,0.23,0.23,0.18,0.00,0.00,0.81,"",0,0.0,18,1.2,27,1.8,31,2.0,3159240,12.3,0,0.0,0,0.0,136,10.5
"25021","1","10","71","0","2017","3","","Norfolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",60,1582,1575,1585,27578767,0,0,1342,"",0.39,0.23,0.23,0.23,0.18,0.00,0.00,0.78,"",-1,-1.6,17,1.1,13,0.8,29,1.9,-3197659,-10.4,0,0.0,0,0.0,-175,-11.5
"25021","1","10","71","0","2017","4","","Norfolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",60,1585,1548,1547,30519467,0,0,1505,"",0.40,0.23,0.23,0.22,0.18,0.00,0.00,0.78,"",-1,-1.6,33,2.1,-22,-1.4,-8,-0.5,-306882,-1.0,0,0.0,0,0.0,-16,-1.1
"25021","1","102","72","0","2017","1","","Norfolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",61,1541,1543,1545,27406428,0,0,1366,"",0.39,0.23,0.23,0.23,0.18,0.00,0.00,0.78,"",0,0.0,41,2.7,37,2.5,24,1.6,-87195,-0.3,0,0.0,0,0.0,-36,-2.6
"25021","1","102","72","0","2017","2","","Norfolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",61,1533,1558,1575,28904064,0,0,1430,"",0.40,0.23,0.23,0.23,0.19,0.00,0.00,0.81,"",0,0.0,18,1.2,27,1.8,31,2.0,3159240,12.3,0,0.0,0,0.0,136,10.5
"25021","1","102","72","0","2017","3","","Norfolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",60,1582,1575,1585,27578767,0,0,1342,"",0.39,0.23,0.23,0.24,0.18,0.00,0.00,0.78,"",-1,-1.6,17,1.1,13,0.8,29,1.9,-3197659,-10.4,0,0.0,0,0.0,-175,-11.5
"25021","1","102","72","0","2017","4","","Norfolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",60,1585,1548,1547,30519467,0,0,1505,"",0.40,0.24,0.23,0.23,0.18,0.00,0.00,0.78,"",-1,-1.6,33,2.1,-22,-1.4,-8,-0.5,-306882,-1.0,0,0.0,0,0.0,-16,-1.1
"25021","1","1021","73","0","2017","1","","Norfolk County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",41,1238,1244,1251,18549206,0,0,1147,"",0.52,0.74,0.75,0.75,0.70,0.00,0.00,0.94,"",0,0.0,31,2.6,33,2.7,23,1.9,-335859,-1.8,0,0.0,0,0.0,-48,-4.0
"25021","1","1021","73","0","2017","2","","Norfolk County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",41,1232,1250,1253,20879396,0,0,1290,"",0.53,0.74,0.74,0.74,0.70,0.00,0.00,0.94,"",0,0.0,17,1.4,29,2.4,32,2.6,2764800,15.3,0,0.0,0,0.0,147,12.9
