"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25005","0","10","70","0","2018","1","","Bristol County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",17717,224148,223624,224645,2778292241,1592274902,51164035,953,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",310,1.8,2108,0.9,2809,1.3,2297,1.0,-15589614,-0.6,43351730,2.8,5711339,12.6,-16,-1.7
"25005","0","10","70","0","2018","2","","Bristol County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",17878,228577,230633,234148,2908379108,808406048,25414330,968,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",389,2.2,3134,1.4,2726,1.2,3179,1.4,94755039,3.4,6758825,0.8,3037769,13.6,19,2.0
"25005","0","10","70","0","2018","3","","Bristol County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",17804,227281,225725,229255,2746024233,496829630,14011538,929,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",120,0.7,2468,1.1,1265,0.6,1305,0.6,104278972,3.9,-4140210,-0.8,1159798,9.0,29,3.2
"25005","0","10","70","0","2018","4","","Bristol County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",17961,230728,231773,232244,3075375376,427962988,10222860,1022,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",336,1.9,1500,0.7,1718,0.7,2621,1.1,153358124,5.2,11699265,2.8,1205353,13.4,43,4.4
"25005","1","10","71","0","2018","1","","Bristol County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",56,1138,1117,1119,18469926,0,0,1263,"",0.53,0.26,0.26,0.26,0.25,0.00,0.00,0.98,"",-1,-1.8,-22,-1.9,-34,-3.0,-40,-3.5,367368,2.0,0,0.0,0,0.0,59,4.9
"25005","1","10","71","0","2018","2","","Bristol County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,1123,1133,1127,19888361,0,0,1357,"",0.54,0.26,0.26,0.25,0.24,0.00,0.00,0.93,"",0,0.0,-25,-2.2,-12,-1.0,-25,-2.2,690966,3.6,0,0.0,0,0.0,71,5.5
"25005","1","10","71","0","2018","3","","Bristol County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,1110,1119,1127,18730293,0,0,1288,"",0.55,0.25,0.26,0.26,0.24,0.00,0.00,0.93,"",0,0.0,-45,-3.9,-18,-1.6,-23,-2.0,708793,3.9,0,0.0,0,0.0,80,6.6
"25005","1","10","71","0","2018","4","","Bristol County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",56,1137,1144,1150,22116439,0,0,1488,"",0.54,0.26,0.26,0.26,0.25,0.00,0.00,0.97,"",-1,-1.8,-1,-0.1,-3,-0.3,7,0.6,1578016,7.7,0,0.0,0,0.0,105,7.6
"25005","1","102","72","0","2018","1","","Bristol County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",56,1138,1117,1119,18469926,0,0,1263,"",0.53,0.27,0.26,0.26,0.26,0.00,0.00,0.98,"",-1,-1.8,-22,-1.9,-34,-3.0,-40,-3.5,367368,2.0,0,0.0,0,0.0,59,4.9
"25005","1","102","72","0","2018","2","","Bristol County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",57,1123,1133,1127,19888361,0,0,1357,"",0.54,0.26,0.26,0.26,0.24,0.00,0.00,0.93,"",0,0.0,-25,-2.2,-12,-1.0,-25,-2.2,690966,3.6,0,0.0,0,0.0,71,5.5
"25005","1","102","72","0","2018","3","","Bristol County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",57,1110,1119,1127,18730293,0,0,1288,"",0.55,0.26,0.26,0.26,0.24,0.00,0.00,0.93,"",0,0.0,-45,-3.9,-18,-1.6,-23,-2.0,708793,3.9,0,0.0,0,0.0,80,6.6
"25005","1","102","72","0","2018","4","","Bristol County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",56,1137,1144,1150,22116439,0,0,1488,"",0.54,0.27,0.27,0.26,0.26,0.00,0.00,0.97,"",-1,-1.8,-1,-0.1,-3,-0.3,7,0.6,1578016,7.7,0,0.0,0,0.0,105,7.6
"25005","1","1021","73","0","2018","1","","Bristol County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,859,839,838,11926982,0,0,1085,"",0.62,0.80,0.80,0.80,0.95,0.00,0.00,1.18,"",0,0.0,-15,-1.7,-24,-2.8,-33,-3.8,190777,1.6,0,0.0,0,0.0,47,4.5
"25005","1","1021","73","0","2018","2","","Bristol County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,841,848,844,13728236,0,0,1251,"",0.61,0.79,0.80,0.79,0.86,0.00,0.00,1.09,"",0,0.0,-25,-2.9,-16,-1.9,-21,-2.4,559146,4.2,0,0.0,0,0.0,80,6.8
"25005","1","1021","73","0","2018","3","","Bristol County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,829,839,846,12224955,0,0,1122,"",0.62,0.79,0.81,0.80,0.92,0.00,0.00,1.16,"",0,0.0,-34,-3.9,-11,-1.3,-20,-2.3,761719,6.6,0,0.0,0,0.0,96,9.4
"25005","1","1021","73","0","2018","4","","Bristol County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,844,851,858,15012962,0,0,1357,"",0.62,0.80,0.79,0.78,0.90,0.00,0.00,1.13,"",0,0.0,-6,-0.7,-11,-1.3,-2,-0.2,757240,5.3,0,0.0,0,0.0,78,6.1
"25005","1","1024","73","0","2018","1","","Bristol County, Massachusetts","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,56,56,56,1721934,0,0,2365,"",1.15,0.55,0.56,0.55,0.94,0.00,0.00,1.69,"",0,0.0,0,0.0,1,1.8,1,1.8,80685,4.9,0,0.0,0,0.0,83,3.6
"25005","1","1024","73","0","2018","2","","Bristol County, Massachusetts","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,56,56,55,1478501,0,0,2043,"",1.15,0.55,0.54,0.52,0.72,0.00,0.00,1.34,"",0,0.0,2,3.7,2,3.7,1,1.9,99799,7.2,0,0.0,0,0.0,79,4.0
"25005","1","1024","73","0","2018","3","","Bristol County, Massachusetts","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,56,57,56,1732565,0,0,2366,"",1.15,0.53,0.55,0.54,0.81,0.00,0.00,1.49,"",0,0.0,1,1.8,2,3.6,5,9.8,35435,2.1,0,0.0,0,0.0,-67,-2.8
"25005","1","1024","73","0","2018","4","","Bristol County, Massachusetts","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,56,56,56,1715083,0,0,2356,"",1.16,0.54,0.54,0.53,0.83,0.00,0.00,1.54,"",0,0.0,1,1.8,0,0.0,0,0.0,219394,14.7,0,0.0,0,0.0,289,14.0
"25005","1","1025","73","0","2018","1","","Bristol County, Massachusetts","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,32,31,33,638355,0,0,1535,"",0.41,0.05,0.05,0.05,0.06,0.00,0.00,1.27,"",0,0.0,-3,-8.6,-8,-20.5,-4,-10.8,-100889,-13.6,0,0.0,0,0.0,-2,-0.1
"25005","1","1025","73","0","2018","2","","Bristol County, Massachusetts","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,35,35,33,794899,0,0,1781,"",0.41,0.05,0.05,0.05,0.06,0.00,0.00,1.19,"",0,0.0,-3,-7.9,-3,-7.9,-7,-17.5,-71061,-8.2,0,0.0,0,0.0,58,3.4
"25005","1","1025","73","0","2018","3","","Bristol County, Massachusetts","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,32,32,35,638912,0,0,1489,"",0.41,0.05,0.05,0.05,0.06,0.00,0.00,1.16,"",0,0.0,-9,-22.0,-6,-15.8,-2,-5.4,-104112,-14.0,0,0.0,0,0.0,11,0.7
"25005","1","1025","73","0","2018","4","","Bristol County, Massachusetts","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,37,40,39,883820,0,0,1758,"",0.41,0.06,0.06,0.06,0.07,0.00,0.00,1.18,"",0,0.0,0,0.0,8,25.0,6,18.2,81799,10.2,0,0.0,0,0.0,-57,-3.1
"25005","1","1026","73","0","2018","1","","Bristol County, Massachusetts","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,12,225013,0,0,1527,"",0.36,0.16,0.15,0.17,0.30,0.00,0.00,1.91,"",0,0.0,1,10.0,1,10.0,2,20.0,48731,27.6,0,0.0,0,0.0,171,12.6
"25005","1","1026","73","0","2018","2","","Bristol County, Massachusetts","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,154782,0,0,992,"",0.36,0.16,0.15,0.14,0.19,0.00,0.00,1.26,"",0,0.0,2,20.0,2,20.0,0,0.0,-24354,-13.6,0,0.0,0,0.0,-300,-23.2
"25005","1","1026","73","0","2018","3","","Bristol County, Massachusetts","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,12,196377,0,0,1193,"",0.37,0.15,0.16,0.15,0.22,0.00,0.00,1.41,"",0,0.0,0,0.0,-1,-7.1,-2,-14.3,-44098,-18.3,0,0.0,0,0.0,-161,-11.9
"25005","1","1026","73","0","2018","4","","Bristol County, Massachusetts","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,10,197341,0,0,1339,"",0.37,0.16,0.17,0.14,0.24,0.00,0.00,1.53,"",0,0.0,1,9.1,1,9.1,-1,-9.1,25076,14.6,0,0.0,0,0.0,134,11.1
