"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25007","0","10","70","0","2018","1","","Dukes County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1287,6976,6956,7051,96582261,60279073,1650305,1062,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,1.7,108,1.6,132,1.9,108,1.6,3456397,3.7,2192466,3.8,170361,11.5,21,2.0
"25007","0","10","70","0","2018","2","","Dukes County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1299,7670,8923,11256,113842115,46331786,1771231,943,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,1.7,35,0.5,187,2.1,-55,-0.5,3301805,3.0,914377,2.0,252491,16.6,21,2.3
"25007","0","10","70","0","2018","3","","Dukes County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1303,12475,12374,10127,142871069,52860116,2212244,943,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.5,-36,-0.3,-83,-0.7,-193,-1.9,5048540,3.7,868821,1.7,238253,12.1,42,4.7
"25007","0","10","70","0","2018","4","","Dukes County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1308,8831,7903,7649,116369579,24290241,443478,1101,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,0.8,85,1.0,145,1.9,-64,-0.8,2856463,2.5,581803,2.5,55108,14.2,19,1.8
"25007","1","10","71","0","2018","1","","Dukes County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,47,46,45,629862,0,0,1053,"",1.04,0.35,0.34,0.33,0.25,0.00,0.00,0.73,"",0,0.0,0,0.0,1,2.2,-1,-2.2,-9776,-1.5,0,0.0,0,0.0,-17,-1.6
"25007","1","10","71","0","2018","2","","Dukes County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,45,44,40,668473,0,0,1196,"",1.04,0.31,0.26,0.19,0.20,0.00,0.00,0.84,"",0,0.0,0,0.0,-3,-6.4,-7,-14.9,-17942,-2.6,0,0.0,0,0.0,56,4.9
"25007","1","10","71","0","2018","3","","Dukes County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,41,43,42,672403,0,0,1232,"",1.05,0.17,0.18,0.22,0.16,0.00,0.00,0.87,"",0,0.0,-6,-12.8,-4,-8.5,-5,-10.6,-19450,-2.8,0,0.0,0,0.0,100,8.8
"25007","1","10","71","0","2018","4","","Dukes County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,41,48,46,743472,0,0,1271,"",1.05,0.25,0.32,0.32,0.23,0.00,0.00,0.77,"",0,0.0,-7,-14.6,2,4.3,-1,-2.1,-21008,-2.7,0,0.0,0,0.0,20,1.6
"25007","1","102","72","0","2018","1","","Dukes County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,47,46,45,629862,0,0,1053,"",1.04,0.35,0.35,0.34,0.25,0.00,0.00,0.73,"",0,0.0,0,0.0,1,2.2,-1,-2.2,-9776,-1.5,0,0.0,0,0.0,-17,-1.6
"25007","1","102","72","0","2018","2","","Dukes County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,45,44,40,668473,0,0,1196,"",1.04,0.31,0.26,0.19,0.21,0.00,0.00,0.84,"",0,0.0,0,0.0,-3,-6.4,-7,-14.9,-17942,-2.6,0,0.0,0,0.0,56,4.9
"25007","1","102","72","0","2018","3","","Dukes County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,41,43,42,672403,0,0,1232,"",1.05,0.17,0.19,0.22,0.17,0.00,0.00,0.87,"",0,0.0,-6,-12.8,-4,-8.5,-5,-10.6,-19450,-2.8,0,0.0,0,0.0,100,8.8
"25007","1","102","72","0","2018","4","","Dukes County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,41,48,46,743472,0,0,1271,"",1.06,0.25,0.33,0.32,0.23,0.00,0.00,0.77,"",0,0.0,-7,-14.6,2,4.3,-1,-2.1,-21008,-2.7,0,0.0,0,0.0,20,1.6
"25007","1","1021","73","0","2018","1","","Dukes County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,34,33,32,418032,0,0,974,"",1.54,1.02,1.01,0.97,0.95,0.00,0.00,0.95,"",0,0.0,2,6.2,1,3.1,0,0.0,-6698,-1.6,0,0.0,0,0.0,-47,-4.6
"25007","1","1021","73","0","2018","2","","Dukes County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,33,32,29,499005,0,0,1225,"",1.54,0.92,0.78,0.56,0.80,0.00,0.00,1.10,"",0,0.0,1,3.1,-2,-5.9,-5,-14.7,-4160,-0.8,0,0.0,0,0.0,64,5.5
"25007","1","1021","73","0","2018","3","","Dukes County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,30,32,32,470239,0,0,1154,"",1.55,0.52,0.56,0.69,0.68,0.00,0.00,1.17,"",0,0.0,-4,-11.8,-2,-5.9,-2,-5.9,-5549,-1.2,0,0.0,0,0.0,78,7.2
"25007","1","1021","73","0","2018","4","","Dukes County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,30,35,34,546269,0,0,1273,"",1.56,0.75,0.96,0.94,0.86,0.00,0.00,0.98,"",0,0.0,-5,-14.3,2,6.1,0,0.0,1191,0.2,0,0.0,0,0.0,40,3.2
"25007","1","1028","73","0","2018","1","","Dukes County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,13,13,13,211830,0,0,1253,"",0.65,0.18,0.18,0.18,0.13,0.00,0.00,0.76,"",0,0.0,-2,-13.3,0,0.0,-1,-7.1,-3078,-1.4,0,0.0,0,0.0,72,6.1
"25007","1","1028","73","0","2018","2","","Dukes County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,12,12,11,169468,0,0,1117,"",0.65,0.15,0.13,0.09,0.09,0.00,0.00,0.72,"",0,0.0,-1,-7.7,-1,-7.7,-2,-15.4,-13782,-7.5,0,0.0,0,0.0,33,3.0
"25007","1","1028","73","0","2018","3","","Dukes County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,11,11,10,202164,0,0,1458,"",0.66,0.08,0.09,0.10,0.08,0.00,0.00,0.89,"",0,0.0,-2,-15.4,-2,-15.4,-3,-23.1,-13901,-6.4,0,0.0,0,0.0,180,14.1
"25007","1","1028","73","0","2018","4","","Dukes County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,11,13,12,197203,0,0,1264,"",0.66,0.12,0.16,0.15,0.10,0.00,0.00,0.69,"",0,0.0,-2,-15.4,0,0.0,-1,-7.7,-22199,-10.1,0,0.0,0,0.0,-34,-2.6
"25007","1","48-49","74","0","2018","1","","Dukes County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,34,33,32,418032,0,0,974,"",1.59,1.11,1.10,1.06,1.03,0.00,0.00,0.94,"",0,0.0,2,6.2,1,3.1,0,0.0,-6698,-1.6,0,0.0,0,0.0,-47,-4.6
"25007","1","48-49","74","0","2018","2","","Dukes County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,33,32,29,499005,0,0,1225,"",1.58,1.01,0.85,0.62,0.86,0.00,0.00,1.07,"",0,0.0,1,3.1,-2,-5.9,-5,-14.7,-4160,-0.8,0,0.0,0,0.0,64,5.5
"25007","1","48-49","74","0","2018","3","","Dukes County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,30,32,32,470239,0,0,1154,"",1.59,0.57,0.61,0.75,0.74,0.00,0.00,1.16,"",0,0.0,-4,-11.8,-2,-5.9,-2,-5.9,-5549,-1.2,0,0.0,0,0.0,78,7.2
"25007","1","48-49","74","0","2018","4","","Dukes County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,30,35,34,546269,0,0,1273,"",1.60,0.81,1.04,1.03,0.93,0.00,0.00,0.97,"",0,0.0,-5,-14.3,2,6.1,0,0.0,1191,0.2,0,0.0,0,0.0,40,3.2
"25007","1","491","75","0","2018","1","","Dukes County, Massachusetts","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,34,33,32,418032,0,0,974,"",1.60,1.14,1.13,1.08,1.08,0.00,0.00,0.97,"",0,0.0,2,6.2,1,3.1,0,0.0,-6698,-1.6,0,0.0,0,0.0,-47,-4.6
"25007","1","491","75","0","2018","2","","Dukes County, Massachusetts","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,33,32,29,499005,0,0,1225,"",1.59,1.03,0.87,0.63,0.89,0.00,0.00,1.09,"",0,0.0,1,3.1,-2,-5.9,-5,-14.7,-4160,-0.8,0,0.0,0,0.0,64,5.5
"25007","1","491","75","0","2018","3","","Dukes County, Massachusetts","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,30,32,32,470239,0,0,1154,"",1.60,0.58,0.63,0.77,0.77,0.00,0.00,1.19,"",0,0.0,-4,-11.8,-2,-5.9,-2,-5.9,-5549,-1.2,0,0.0,0,0.0,78,7.2
"25007","1","491","75","0","2018","4","","Dukes County, Massachusetts","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,30,35,34,546269,0,0,1273,"",1.61,0.83,1.07,1.05,0.97,0.00,0.00,0.99,"",0,0.0,-5,-14.3,2,6.1,0,0.0,1191,0.2,0,0.0,0,0.0,40,3.2
"25007","1","4911","76","0","2018","1","","Dukes County, Massachusetts","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,34,33,32,418032,0,0,974,"",1.60,1.14,1.13,1.08,1.08,0.00,0.00,0.97,"",0,0.0,2,6.2,1,3.1,0,0.0,-6698,-1.6,0,0.0,0,0.0,-47,-4.6
"25007","1","4911","76","0","2018","2","","Dukes County, Massachusetts","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,33,32,29,499005,0,0,1225,"",1.59,1.03,0.87,0.63,0.89,0.00,0.00,1.09,"",0,0.0,1,3.1,-2,-5.9,-5,-14.7,-4160,-0.8,0,0.0,0,0.0,64,5.5
