"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25025","0","10","70","0","2018","1","","Suffolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",30254,661865,668482,670550,19644591082,5524821344,172358104,2266,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1078,3.7,3369,0.5,6695,1.0,6336,1.0,2254901618,13.0,199332141,3.7,27427340,18.9,244,12.1
"25025","0","10","70","0","2018","2","","Suffolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",30629,675722,676674,685571,15098949785,1905839242,46336430,1710,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1197,4.1,6114,0.9,5517,0.8,7684,1.1,644882137,4.5,51323956,2.8,6831484,17.3,58,3.5
"25025","0","10","70","0","2018","3","","Suffolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",30771,685221,681282,684136,15150713571,1414382180,32065203,1705,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",879,2.9,9292,1.4,8419,1.3,7632,1.1,323748345,2.2,57793703,4.3,5812640,22.1,16,0.9
"25025","0","10","70","0","2018","4","","Suffolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",31275,688696,690804,691249,18457374471,1346099463,27128306,2057,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1307,4.4,10426,1.5,10111,1.5,10766,1.6,899441849,5.1,107471815,8.7,5577439,25.9,70,3.5
"25025","1","10","71","0","2018","1","","Suffolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",135,14189,14109,14065,325749365,0,0,1774,"",0.75,1.10,1.09,1.09,0.64,0.00,0.00,0.58,"",-2,-1.5,-140,-1.0,-228,-1.6,-252,-1.8,6070544,1.9,0,0.0,0,0.0,58,3.4
"25025","1","10","71","0","2018","2","","Suffolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",134,14053,14027,14183,321944305,0,0,1758,"",0.74,1.09,1.09,1.09,0.74,0.00,0.00,0.68,"",-3,-2.2,-266,-1.9,-375,-2.6,-266,-1.8,5758082,1.8,0,0.0,0,0.0,68,4.0
"25025","1","10","71","0","2018","3","","Suffolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",132,14192,14102,14025,324329922,0,0,1769,"",0.73,1.07,1.08,1.08,0.75,0.00,0.00,0.69,"",-5,-3.6,-226,-1.6,-278,-1.9,-342,-2.4,6078482,1.9,0,0.0,0,0.0,68,4.0
"25025","1","10","71","0","2018","4","","Suffolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",132,14080,14100,14126,355972151,0,0,1942,"",0.73,1.08,1.08,1.07,0.68,0.00,0.00,0.63,"",-5,-3.6,-261,-1.8,-135,-0.9,-152,-1.1,29056279,8.9,0,0.0,0,0.0,182,10.3
"25025","1","102","72","0","2018","1","","Suffolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",135,14189,14109,14065,325749365,0,0,1774,"",0.75,1.12,1.11,1.11,0.65,0.00,0.00,0.58,"",-2,-1.5,-140,-1.0,-228,-1.6,-252,-1.8,6070544,1.9,0,0.0,0,0.0,58,3.4
"25025","1","102","72","0","2018","2","","Suffolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",134,14053,14027,14183,321944305,0,0,1758,"",0.74,1.11,1.11,1.11,0.76,0.00,0.00,0.68,"",-3,-2.2,-266,-1.9,-375,-2.6,-266,-1.8,5758082,1.8,0,0.0,0,0.0,68,4.0
