"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25023","0","10","70","0","2019","1","","Plymouth County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16399,191761,191187,192289,2634397227,1423747187,51081350,1057,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",333,2.1,2060,1.1,2706,1.4,2660,1.4,168226698,6.8,60679140,4.5,6491940,14.6,55,5.5
"25023","0","10","70","0","2019","2","","Plymouth County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16512,196360,200555,203680,2693921152,680710943,22697778,1035,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",247,1.5,2679,1.4,3008,1.5,2985,1.5,111521930,4.3,6984607,1.0,1827088,8.8,28,2.8
"25023","0","10","70","0","2019","3","","Plymouth County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16469,198604,198296,198321,2664822266,446942073,13118109,1033,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",227,1.4,1691,0.9,2565,1.3,2324,1.2,179193219,7.2,8664710,2.0,1108993,9.2,59,6.1
"25023","0","10","70","0","2019","4","","Plymouth County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16471,198526,198231,197918,2817468883,382390588,9049194,1093,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",138,0.8,1650,0.8,2035,1.0,1764,0.9,90427872,3.3,660818,0.2,194360,2.2,25,2.3
"25023","1","10","71","0","2019","1","","Plymouth County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",64,2903,2907,2925,49423217,0,0,1306,"",0.66,0.79,0.79,0.80,0.76,0.00,0.00,0.96,"",0,0.0,11,0.4,26,0.9,63,2.2,-710709,-1.4,0,0.0,0,0.0,-34,-2.5
"25023","1","10","71","0","2019","2","","Plymouth County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",64,2920,2919,2932,56242690,0,0,1480,"",0.66,0.78,0.77,0.76,0.74,0.00,0.00,0.96,"",0,0.0,32,1.1,70,2.5,83,2.9,1424515,2.6,0,0.0,0,0.0,7,0.5
"25023","1","10","71","0","2019","3","","Plymouth County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",64,2968,2985,2936,50324978,0,0,1306,"",0.65,0.78,0.78,0.77,0.67,0.00,0.00,0.86,"",0,0.0,88,3.1,129,4.5,52,1.8,1414854,2.9,0,0.0,0,0.0,-3,-0.2
"25023","1","10","71","0","2019","4","","Plymouth County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",64,2930,2973,2968,58674146,0,0,1526,"",0.66,0.78,0.79,0.79,0.75,0.00,0.00,0.96,"",0,0.0,41,1.4,57,2.0,13,0.4,220402,0.4,0,0.0,0,0.0,-14,-0.9
"25023","1","102","72","0","2019","1","","Plymouth County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",64,2903,2907,2925,49423217,0,0,1306,"",0.66,0.81,0.81,0.81,0.77,0.00,0.00,0.96,"",0,0.0,11,0.4,26,0.9,63,2.2,-710709,-1.4,0,0.0,0,0.0,-34,-2.5
"25023","1","102","72","0","2019","2","","Plymouth County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",64,2920,2919,2932,56242690,0,0,1480,"",0.66,0.80,0.78,0.77,0.75,0.00,0.00,0.96,"",0,0.0,32,1.1,70,2.5,83,2.9,1424515,2.6,0,0.0,0,0.0,7,0.5
