"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25019","0","10","70","0","2020","1","","Nantucket County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1178,5397,5410,5473,85985441,61529379,1676899,1219,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",34,3.0,104,2.0,95,1.8,-128,-2.3,2703658,3.2,1576962,2.6,-49066,-2.8,33,2.8
"25019","0","10","70","0","2020","2","","Nantucket County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1198,4028,5749,7185,90012942,38507781,1551206,1225,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,1.6,-2419,-37.5,-2097,-26.7,-2650,-26.9,-19303088,-17.7,-12755418,-24.9,-878797,-36.2,179,17.1
"25019","1","10","71","0","2020","1","","Nantucket County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,48,52,49,873321,0,0,1353,"",0.43,0.46,0.50,0.46,0.42,0.00,0.00,0.88,"",0,0.0,-3,-5.9,2,4.0,-2,-3.9,-63613,-6.8,0,0.0,0,0.0,-69,-4.9
"25019","1","10","71","0","2020","2","","Nantucket County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,49,49,49,1019878,0,0,1601,"",0.43,0.54,0.39,0.32,0.35,0.00,0.00,0.90,"",0,0.0,-3,-5.8,-3,-5.8,-1,-2.0,92447,10.0,0,0.0,0,0.0,211,15.2
"25019","1","102","72","0","2020","1","","Nantucket County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,48,52,49,873321,0,0,1353,"",0.44,0.47,0.51,0.47,0.43,0.00,0.00,0.88,"",0,0.0,-3,-5.9,2,4.0,-2,-3.9,-63613,-6.8,0,0.0,0,0.0,-69,-4.9
"25019","1","102","72","0","2020","2","","Nantucket County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,49,49,49,1019878,0,0,1601,"",0.43,0.55,0.40,0.33,0.36,0.00,0.00,0.90,"",0,0.0,-3,-5.8,-3,-5.8,-1,-2.0,92447,10.0,0,0.0,0,0.0,211,15.2
"25019","1","1021","73","0","2020","1","","Nantucket County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,23,26,24,342414,0,0,1082,"",0.29,0.94,1.07,0.97,0.95,0.00,0.00,0.95,"",0,0.0,-3,-11.5,1,4.0,-1,-4.0,-12550,-3.5,0,0.0,0,0.0,4,0.4
"25019","1","1021","73","0","2020","2","","Nantucket County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,25,26,25,443284,0,0,1346,"",0.29,1.19,0.88,0.70,0.88,0.00,0.00,1.00,"",0,0.0,0,0.0,-1,-3.7,0,0.0,45272,11.4,0,0.0,0,0.0,153,12.8
"25019","1","1028","73","0","2020","1","","Nantucket County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,25,26,25,530907,0,0,1612,"",0.70,0.44,0.45,0.42,0.42,0.00,0.00,0.95,"",0,0.0,0,0.0,1,4.0,-1,-3.8,-51063,-8.8,0,0.0,0,0.0,-155,-8.8
"25019","1","1028","73","0","2020","2","","Nantucket County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,24,23,24,576594,0,0,1874,"",0.69,0.48,0.33,0.28,0.33,0.00,0.00,0.95,"",0,0.0,-3,-11.1,-2,-8.0,-1,-4.0,47175,8.9,0,0.0,0,0.0,287,18.1
