"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25027","0","10","70","0","2020","1","","Worcester County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",26395,349885,350177,348622,5260026128,2728474413,82462621,1158,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-116,-0.4,2317,0.7,1710,0.5,-1309,-0.4,194660597,3.8,82529228,3.1,-3863804,-4.5,40,3.6
"25027","0","10","70","0","2020","2","","Worcester County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",26499,293842,302964,312665,4725267519,1102325661,26491521,1199,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-47,-0.2,-59027,-16.7,-52924,-14.9,-44691,-12.5,-190312373,-3.9,-152179670,-12.1,-9420760,-26.2,135,12.7
"25027","1","10","71","0","2020","1","","Worcester County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",127,2934,2969,2974,47811032,0,0,1243,"",0.82,0.44,0.44,0.44,0.38,0.00,0.00,0.86,"",0,0.0,0,0.0,44,1.5,54,1.8,-16310,0.0,0,0.0,0,0.0,-14,-1.1
"25027","1","10","71","0","2020","2","","Worcester County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",127,2987,2969,2997,55687329,0,0,1435,"",0.82,0.45,0.45,0.45,0.37,0.00,0.00,0.82,"",0,0.0,69,2.4,51,1.7,115,4.0,4527836,8.9,0,0.0,0,0.0,81,6.0
"25027","1","102","72","0","2020","1","","Worcester County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",127,2934,2969,2974,47811032,0,0,1243,"",0.82,0.44,0.45,0.45,0.38,0.00,0.00,0.86,"",0,0.0,0,0.0,44,1.5,54,1.8,-16310,0.0,0,0.0,0,0.0,-14,-1.1
"25027","1","102","72","0","2020","2","","Worcester County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",127,2987,2969,2997,55687329,0,0,1435,"",0.82,0.46,0.46,0.46,0.38,0.00,0.00,0.82,"",0,0.0,69,2.4,51,1.7,115,4.0,4527836,8.9,0,0.0,0,0.0,81,6.0
"25027","1","1021","73","0","2020","1","","Worcester County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",84,1823,1805,1806,25564178,0,0,1086,"",1.10,1.15,1.15,1.15,1.15,0.00,0.00,1.00,"",0,0.0,-18,-1.0,-18,-1.0,-13,-0.7,-298914,-1.2,0,0.0,0,0.0,-3,-0.3
"25027","1","1021","73","0","2020","2","","Worcester County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",84,1797,1798,1804,29950433,0,0,1280,"",1.09,1.17,1.16,1.16,1.13,0.00,0.00,0.97,"",0,0.0,-9,-0.5,-5,-0.3,5,0.3,1031478,3.6,0,0.0,0,0.0,46,3.7
"25027","1","1023","73","0","2020","1","","Worcester County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,5,140809,0,0,2166,"",1.02,0.18,0.18,0.18,0.18,0.00,0.00,0.99,"",0,0.0,1,25.0,1,25.0,0,0.0,8867,6.7,0,0.0,0,0.0,-176,-7.5
"25027","1","1023","73","0","2020","2","","Worcester County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,5,161947,0,0,2491,"",1.02,0.18,0.18,0.18,0.18,0.00,0.00,0.98,"",0,0.0,0,0.0,0,0.0,-1,-16.7,17459,12.1,0,0.0,0,0.0,407,19.5
