YEAR,MONTH,TOD,SHARED_TRIPS,PRIVATE_TRIPS,ALL_TRIPS
2018,11,1,2931.619640775568,9361.695665959827,12293.31530673541
2018,11,2,6553.3911662857145,11822.150961627154,18375.54212791286
2018,11,3,7784.200795224971,18093.42907109403,25877.629866318974
2018,11,4,4716.586785354965,11834.841412667074,16551.42819802204
2018,11,5,3493.4082368661084,11267.344204701427,14760.752441567562
2018,12,1,2698.1742043119234,8787.87816539008,11486.052369701998
2018,12,2,6243.615548409121,11800.824901509355,18044.44044991861
2018,12,3,7301.969968377462,17493.933035480768,24795.90300385844
2018,12,4,4479.9352313634645,11616.139384291906,16096.07461565546
2018,12,5,3295.642015505635,10896.909831880552,14192.551847386261
2019,1,1,2863.0024450849864,9081.105255213672,11944.107700298686
2019,1,2,6996.473887551926,12551.031249234893,19547.50513678691
2019,1,3,8197.75951809838,17583.241225630692,25781.000743728997
2019,1,4,4799.312080913193,10548.536437009216,15347.848517922332
2019,1,5,3378.736612818862,9763.985255955755,13142.721868774623
2019,2,1,2802.3013455779383,8711.701708631908,11514.003054209901
2019,2,2,6713.146326353173,13240.053855498227,19953.200181851378
2019,2,3,7995.493236676526,19104.23476838448,27099.72800506096
2019,2,4,4619.836021385802,11703.369507628327,16323.205529014225
2019,2,5,3452.8151839852317,11352.830746567182,14805.645930552417
2019,3,1,3014.9584579987386,9554.538586481009,12569.497044479758
2019,3,2,6539.072848106199,14137.449435265107,20676.522283371243
2019,3,3,7887.037793076207,20458.801168842958,28345.83896191912
2019,3,4,4590.6653080756205,12752.144724094014,17342.810032169557
2019,3,5,3515.1849568903717,11979.467080509401,15494.652037399675
2019,4,1,2713.3362219002893,9415.249656899712,12128.585878799962
2019,4,2,6038.381564663018,13575.594313911874,19613.975878574867
2019,4,3,7391.502737489729,20627.139913835723,28018.642651325517
2019,4,4,4214.231143584541,12629.24840254744,16843.47954613192
2019,4,5,3145.236989644999,11672.123729419418,14817.360719064352
2019,5,1,2654.704560504221,10240.25587842469,12894.960438928902
2019,5,2,5565.24429352153,13392.192904403488,18957.43719792497
2019,5,3,6857.739266173293,21030.8886819165,27888.627948089463
2019,5,4,3917.2374213034414,13622.27233140951,17539.509752712955
2019,5,5,2854.6745086132223,12520.190879180713,15374.865387794
2019,6,1,2190.34103411833,10718.644616198277,12908.985650316612
2019,6,2,4689.5600841762425,13129.812903603,17819.37298777919
2019,6,3,5836.952143272491,21307.41005399686,27144.36219726926
2019,6,4,3243.0266932262207,13182.936330072236,16425.963023298464
2019,6,5,2350.3604423194433,12223.72137143256,14574.081813751996
2019,7,1,1986.1814842254914,11146.940199848545,13133.121684074076
2019,7,2,4136.62508105197,13442.180114746556,17578.805195798508
2019,7,3,5248.14832920104,21709.6060858195,26957.754415020663
2019,7,4,2823.2659149906376,13673.368108254495,16496.634023245108
2019,7,5,2177.391160019514,12907.588123719022,15084.979283738556
2019,8,1,1879.8377696171162,11198.261563711667,13078.099333328742
2019,8,2,3830.3847473267047,14243.381842514247,18073.76658984095
2019,8,3,4969.542230471255,22689.14090508024,27658.68313555161
2019,8,4,2613.181332405822,13879.837334196734,16493.018666602587
2019,8,5,2022.2486918482164,13030.91577733093,15053.16446917915
2019,9,1,1654.179249470353,11038.976310360284,12693.155559830619
2019,9,2,3565.4587685843953,14105.579666526171,17671.03843511054
2019,9,3,4354.383304132698,21704.69083616535,26059.07414029802
2019,9,4,2330.475027447622,13570.04901831509,15900.52404576273
2019,9,5,1801.3596145273896,12980.789484958652,14782.14909948601
2019,10,1,1540.4631656904603,10589.800365357154,12130.263531047605
2019,10,2,3043.382945826947,15464.914996078769,18508.29794190572
2019,10,3,4097.349907441739,23218.52543396755,27315.87534140924
2019,10,4,2146.164648573751,14263.680626076737,16409.84527465059
2019,10,5,1682.8258330132765,13187.380076357447,14870.205909370812
2019,11,1,1527.7571481975792,10968.247269413847,12496.004417611368
2019,11,2,2882.12797137009,15553.120790886587,18435.248762256644
2019,11,3,4033.4289772710968,22708.408934419134,26741.837911690276
2019,11,4,2175.114015516972,14825.65030765463,17000.76432317167
2019,11,5,1741.7734392480525,13294.199973592695,15035.973412840724
2019,12,1,1653.5173840785446,11394.407469689953,13047.924853768505
2019,12,2,2853.4837114219063,15075.084051764232,17928.56776318609
2019,12,3,4184.690816039543,22542.417648694292,26727.10846473384
2019,12,4,2336.1193947491693,15160.149259123238,17496.26865387241
2019,12,5,1830.8686298879372,14620.130994614285,16450.999624502234
2020,1,1,1820.9973978021183,10437.192032334528,12258.189430136576
2020,1,2,3636.9096788322495,14495.285383789856,18132.195062622177
2020,1,3,4988.123354175637,20528.733773305772,25516.857127481442
2020,1,4,2661.5072097830516,12682.843141939957,15344.350351722956
2020,1,5,2081.8883378129385,11664.550789312445,13746.43912712541
2020,2,1,1531.5763374272224,10218.868449668218,11750.444787095474
2020,2,2,3515.5918096363866,14884.964200332317,18400.55600996863
2020,2,3,4748.429757404423,21555.314789495253,26303.744546899463
2020,2,4,2593.7889097828124,13442.28768843227,16036.07659821502
2020,2,5,2004.4574779261743,12773.92925810503,14778.386736031289
