YEAR,MONTH,TOD,SHARED_TRIPS,PRIVATE_TRIPS,ALL_TRIPS
2018,11,1,3630.97618246903,14183.924876611223,17814.901059080203
2018,11,2,8137.463156688525,18138.696588476756,26276.159745165303
2018,11,3,10225.428802633924,30948.74373939187,41174.17254202569
2018,11,4,6816.886645110888,20359.05635060951,27175.942995720372
2018,11,5,4851.080507263404,19228.008005212734,24079.088512476148
2018,12,1,3373.2482179872586,13316.752262548585,16690.000480535764
2018,12,2,7628.705918187869,17617.390248804873,25246.09616699287
2018,12,3,9754.395666796117,31065.936795045964,40820.33246184209
2018,12,4,6350.450973987812,20055.914975667387,26406.365949655206
2018,12,5,4609.728504444898,18603.737965124976,23213.466469569812
2019,1,1,3490.244331725013,13309.628854086297,16799.87318581134
2019,1,2,8547.46864317385,19445.589734208927,27993.05837738272
2019,1,3,10806.49324376698,31620.823369502985,42427.316613269875
2019,1,4,6886.87838610272,18631.518542780326,25518.396928882903
2019,1,5,4566.519462782606,16579.068878032496,21145.588340815044
2019,2,1,3450.771778572686,13192.734244142228,16643.50602271489
2019,2,2,8373.730637847995,20970.1239363756,29343.854574223707
2019,2,3,10752.261385718588,35033.748110448396,45786.00949616705
2019,2,4,6796.4146876791365,20616.012532163484,27412.42721984264
2019,2,5,4860.013618052985,19657.578472840774,24517.59209089376
2019,3,1,3678.6155439474387,14479.345988412428,18157.961532359932
2019,3,2,8082.487585734393,22014.025078838018,30096.51266457228
2019,3,3,10219.773043274696,35447.63798076021,45667.41102403478
2019,3,4,6531.70816975775,21927.492130067778,28459.2002998255
2019,3,5,4769.997661463618,20475.705688773625,25245.7033502371
2019,4,1,3277.3741651659648,14072.232088934481,17349.60625410045
2019,4,2,7362.019887131333,20906.29091250481,28268.310799636147
2019,4,3,9417.932426059122,34895.12117381323,44313.05359987202
2019,4,4,5842.1122789937035,21083.430199542592,26925.54247853647
2019,4,5,4226.9508091831085,20126.96151821507,24353.912327398248
2019,5,1,3166.340908233344,15591.69361356691,18758.034521800233
2019,5,2,6645.087521081698,20374.605611545994,27019.69313262767
2019,5,3,8706.96270915095,37041.910578333875,45748.87328748523
2019,5,4,5358.952391802057,22993.206336635114,28352.158728436934
2019,5,5,3726.894938420002,21223.48291673663,24950.377855156567
2019,6,1,2632.9422778985095,16330.052330826742,18962.99460872533
2019,6,2,5626.885236026982,20329.280354624323,25956.165590651202
2019,6,3,7381.794881830019,37320.2450877341,44702.03996956424
2019,6,4,4441.66628226437,22707.304975857678,27148.971258121986
2019,6,5,3136.2338716695417,21514.008923300513,24650.242794970214
2019,7,1,2365.632048597449,16527.86970625352,18893.501754850993
2019,7,2,4960.878305140731,20274.788637089594,25235.666942230273
2019,7,3,6513.992851245325,36505.20981435318,43019.20266559804
2019,7,4,3739.2888998327403,22722.359501347837,26461.648401180493
2019,7,5,2801.1236455402777,21152.450138445165,23953.573783985383
2019,8,1,2237.044734713642,16609.95990175015,18847.004636463713
2019,8,2,4623.8529629391405,21156.180915821693,25780.03387876099
2019,8,3,6196.460627514903,37488.82849242586,43685.28911994067
2019,8,4,3580.514355425495,23473.78253460023,27054.296890025566
2019,8,5,2654.6352299686127,21798.56180081778,24453.197030786403
2019,9,1,1962.6275065289733,16125.901762433157,18088.529268962076
2019,9,2,4295.161065066492,20926.18432559914,25221.345390665672
2019,9,3,5427.9380809846325,35714.07515689049,41142.01323787544
2019,9,4,3149.249368279118,21983.867877001256,25133.117245280213
2019,9,5,2337.4441901660743,20966.896645377394,23304.340835543408
2019,10,1,1849.76635911202,15574.40597894494,17424.172338056993
2019,10,2,3686.508557850337,23156.299054004543,26842.807611854798
2019,10,3,5212.606474073241,38404.65387441399,43617.26034848735
2019,10,4,2962.9153880369254,23943.02702842723,26905.942416463982
2019,10,5,2260.036988985761,21973.527748979865,24233.56473796574
2019,11,1,1839.4753441189182,16208.897957665733,18048.373301784635
2019,11,2,3492.7173596944044,22947.697148965366,26440.414508659833
2019,11,3,5181.227641853729,37849.98024214883,43031.20788400273
2019,11,4,3027.0208701486977,24827.82607746408,27854.846947612758
2019,11,5,2324.0341831342075,22158.381448183765,24482.415631318047
2019,12,1,1963.317195925169,16819.548094961716,18782.86529088684
2019,12,2,3407.5188146343676,21758.041624184574,25165.560438818837
2019,12,3,5352.68151407401,39093.5824620287,44446.263976103015
2019,12,4,3120.205266839312,25364.735781538886,28484.94104837844
2019,12,5,2371.096859995931,23552.329475551913,25923.426335547836
2020,1,1,2200.079498136676,15240.343117401444,17440.422615538115
2020,1,2,4482.347987583115,21275.459174955104,25757.807162538145
2020,1,3,6490.99922355203,33514.70458008979,40005.70380364181
2020,1,4,3776.271477526499,21137.71481999321,24913.98629751965
2020,1,5,2848.3641776977593,19038.92346730283,21887.287645000604
2020,2,1,1885.6262418767749,15263.518301971968,17149.144543848826
2020,2,2,4433.771155596433,22349.320659733785,26783.091815330085
2020,2,3,6573.853026519371,37506.49845461517,44080.35148113455
2020,2,4,3784.6975968238226,22696.239145421157,26480.93674224497
2020,2,5,2871.4596709398925,21381.502198662532,24252.961869602357
