,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,YEAR,MONTH,DOW,HOUR
9133667,2019-01-15 08:30:00,2019-01-15 09:00:00,1679.0,5.2,17031839700.0,17031320100.0,0.0,0.0,0.67,0.67,True,2.0,2019,1,1,8
9134543,2019-02-07 08:30:00,2019-02-07 08:30:00,188.0,1.0,17031833100.0,17031838200.0,0.0,0.0,2.55,2.55,True,3.0,2019,2,3,8
9134795,2019-02-28 07:45:00,2019-02-28 08:30:00,2759.0,6.7,17031062200.0,17031839100.0,0.0,0.0,0.72,0.72,True,3.0,2019,2,3,7
9137188,2019-02-13 07:45:00,2019-02-13 08:15:00,1740.0,5.9,17031070700.0,17031839100.0,0.0,0.0,0.72,0.72,True,3.0,2019,2,2,7
9138120,2019-02-01 08:00:00,2019-02-01 08:00:00,326.0,0.6,17031081202.0,17031081401.0,0.0,0.0,2.55,2.55,True,2.0,2019,2,4,8
9138247,2019-01-16 08:30:00,2019-01-16 08:30:00,300.0,1.0,17031060100.0,17031050600.0,0.0,0.0,0.67,0.67,True,2.0,2019,1,2,8
9139770,2019-01-07 07:00:00,2019-01-07 07:15:00,480.0,1.6,17031081100.0,17031839100.0,0.0,0.0,0.67,0.67,True,1.0,2019,1,0,7
9139835,2019-02-04 07:00:00,2019-02-04 07:00:00,331.0,1.4,17031833100.0,17031838200.0,0.0,0.0,2.55,2.55,True,3.0,2019,2,0,7
9140503,2019-01-15 07:30:00,2019-01-15 07:45:00,1020.0,3.4,17031340400.0,17031839100.0,0.0,0.0,0.67,0.67,True,1.0,2019,1,1,7
9140574,2019-02-01 08:30:00,2019-02-01 08:45:00,508.0,0.7,17031841100.0,17031843200.0,0.0,0.0,2.55,2.55,True,2.0,2019,2,4,8
9140914,2019-01-09 08:15:00,2019-01-09 08:45:00,1379.0,3.7,17031070103.0,17031833000.0,0.0,0.0,0.67,0.67,True,1.0,2019,1,2,8
9141284,2019-02-22 08:00:00,2019-02-22 08:15:00,261.0,1.1,17031650400.0,17031650100.0,0.0,0.0,2.55,2.55,True,5.0,2019,2,4,8
9142495,2019-02-20 08:30:00,2019-02-20 09:00:00,1740.0,5.2,17031062200.0,17031833000.0,0.0,0.0,0.72,0.72,True,3.0,2019,2,2,8
9142761,2019-02-25 07:15:00,2019-02-25 07:30:00,900.0,3.3,17031243000.0,17031081500.0,0.0,0.0,0.72,0.72,True,1.0,2019,2,0,7
9145276,2019-01-08 08:00:00,2019-01-08 08:00:00,420.0,0.9,17031071400.0,17031080201.0,0.0,0.0,0.67,0.67,True,4.0,2019,1,1,8
9145997,2019-02-19 08:30:00,2019-02-19 08:45:00,226.0,1.2,17031834000.0,17031440600.0,0.0,0.0,2.55,2.55,True,3.0,2019,2,1,8
9146702,2019-01-04 08:15:00,2019-01-04 08:15:00,375.0,1.5,17031230900.0,17031230600.0,0.0,0.0,2.55,2.55,True,5.0,2019,1,4,8
9149162,2019-01-03 08:00:00,2019-01-03 08:00:00,600.0,1.5,17031081401.0,17031839100.0,0.0,0.0,0.67,0.67,True,2.0,2019,1,3,8
9150597,2019-01-25 08:45:00,2019-01-25 09:00:00,1139.0,4.0,17031833100.0,17031320600.0,0.0,0.0,0.67,0.67,True,2.0,2019,1,4,8
9151026,2019-01-22 07:15:00,2019-01-22 07:30:00,840.0,3.0,17031071300.0,17031210900.0,0.0,0.0,0.67,0.67,True,1.0,2019,1,1,7
9152990,2019-01-23 07:15:00,2019-01-23 07:30:00,379.0,0.9,17031842300.0,17031280100.0,0.0,0.0,2.55,2.55,True,2.0,2019,1,2,7
9154373,2019-01-03 07:00:00,2019-01-03 07:00:00,389.0,1.2,17031330100.0,17031320400.0,0.0,0.0,2.55,2.55,True,2.0,2019,1,3,7
9154482,2019-02-01 07:45:00,2019-02-01 07:45:00,340.0,1.3,17031242400.0,17031222200.0,0.0,0.0,2.55,2.55,True,4.0,2019,2,4,7
9154877,2019-02-27 07:00:00,2019-02-27 07:00:00,420.0,1.5,17031081600.0,17031320100.0,0.0,0.0,0.72,0.72,True,1.0,2019,2,2,7
9156556,2019-02-19 08:30:00,2019-02-19 09:00:00,1560.0,4.0,17031841000.0,17031833000.0,0.0,0.0,0.72,0.72,True,1.0,2019,2,1,8
9156682,2019-02-15 08:45:00,2019-02-15 08:45:00,592.0,1.1,17031839000.0,17031281900.0,0.0,0.0,2.55,2.55,True,3.0,2019,2,4,8
9157505,2019-02-27 08:15:00,2019-02-27 08:15:00,316.0,1.1,17031410600.0,17031836200.0,0.0,0.0,2.55,2.55,True,3.0,2019,2,2,8
9159050,2019-01-16 08:15:00,2019-01-16 08:45:00,1620.0,3.9,17031070102.0,17031243500.0,0.0,0.0,0.67,0.67,True,3.0,2019,1,2,8
9159481,2019-01-03 08:45:00,2019-01-03 08:45:00,600.0,2.1,17031838200.0,17031833000.0,0.0,0.0,0.67,0.67,True,2.0,2019,1,3,8
9160989,2019-01-15 08:30:00,2019-01-15 08:45:00,1440.0,3.3,17031242100.0,17031839100.0,0.0,0.0,0.67,0.67,True,2.0,2019,1,1,8
9162382,2019-02-06 07:30:00,2019-02-06 07:45:00,1620.0,4.8,17031832500.0,17031839100.0,0.0,0.0,0.72,0.72,True,3.0,2019,2,2,7
9162822,2019-01-22 08:45:00,2019-01-22 09:00:00,840.0,2.1,17031070103.0,17031842200.0,0.0,0.0,0.67,0.67,True,3.0,2019,1,1,8
9164307,2019-02-21 07:00:00,2019-02-21 07:45:00,1980.0,7.2,17031832000.0,17031833100.0,0.0,0.0,0.72,0.72,True,2.0,2019,2,3,7
9166740,2019-01-03 08:45:00,2019-01-03 09:00:00,1499.0,6.1,17031031400.0,17031081800.0,0.0,0.0,0.67,0.67,True,3.0,2019,1,3,8
9166885,2019-02-25 08:15:00,2019-02-25 08:30:00,600.0,2.1,17031838000.0,17031243500.0,0.0,0.0,0.72,0.72,True,1.0,2019,2,0,8
9167124,2019-01-14 07:45:00,2019-01-14 08:00:00,1320.0,9.3,17031430102.0,17031320100.0,0.0,0.0,0.67,0.67,True,1.0,2019,1,0,7
9171877,2019-01-18 08:00:00,2019-01-18 08:30:00,1320.0,4.4,17031051400.0,17031280100.0,0.0,0.0,0.67,0.67,True,2.0,2019,1,4,8
9173051,2019-02-22 08:30:00,2019-02-22 08:45:00,1379.0,3.0,17031071600.0,17031839100.0,0.0,0.0,0.72,0.72,True,3.0,2019,2,4,8
9174148,2019-02-28 08:30:00,2019-02-28 09:00:00,1620.0,4.9,17031210900.0,17031081900.0,0.0,0.0,0.72,0.72,True,3.0,2019,2,3,8
9174502,2019-01-04 08:15:00,2019-01-04 08:45:00,1620.0,6.7,17031030900.0,17031243300.0,0.0,0.0,0.67,0.67,True,2.0,2019,1,4,8
9174993,2019-01-25 08:45:00,2019-01-25 08:45:00,357.0,1.7,17031838600.0,17031292400.0,0.0,0.0,2.55,2.55,True,4.0,2019,1,4,8
9176492,2019-02-12 08:00:00,2019-02-12 08:15:00,572.0,1.5,17031300500.0,17031830500.0,0.0,0.0,2.55,2.55,True,3.0,2019,2,1,8
9180345,2019-02-20 08:45:00,2019-02-20 08:45:00,569.0,0.8,17031841900.0,17031839100.0,0.0,0.0,2.55,2.55,True,3.0,2019,2,2,8
9182572,2019-02-21 07:45:00,2019-02-21 08:00:00,959.0,3.0,17031832500.0,17031081900.0,0.0,0.0,0.72,0.72,True,4.0,2019,2,3,7
9183167,2019-01-31 07:15:00,2019-01-31 07:15:00,477.0,1.1,17031081800.0,17031081800.0,0.0,0.0,2.55,2.55,True,3.0,2019,1,3,7
9184422,2019-01-22 07:45:00,2019-01-22 07:45:00,352.0,0.9,17031081500.0,17031839100.0,0.0,0.0,2.55,2.55,True,3.0,2019,1,1,7
