,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,YEAR,MONTH,DOW,HOUR
15216945,2019-02-06 08:15:00,2019-02-07 06:15:00,78780.0,32.7,17031160700.0,17031081300.0,10.0,0.0,0.72,10.72,True,2.0,2019,2,2,8
17039607,2019-01-21 08:45:00,2019-01-21 15:45:00,25347.0,18.5,17031081403.0,17031020902.0,135.0,0.0,2.55,137.55,False,1.0,2019,1,0,8
27432308,2019-01-16 07:45:00,2019-01-16 19:15:00,41340.0,3.6,17031062700.0,17031842200.0,7.5,0.0,0.67,8.17,False,1.0,2019,1,2,7
27824049,2019-02-06 08:30:00,2019-02-06 20:00:00,41220.0,1.3,17031062500.0,17031070500.0,0.0,0.0,0.72,0.72,True,2.0,2019,2,2,8
33856247,2019-02-07 08:30:00,2019-02-07 17:45:00,33240.0,24.5,17031240600.0,17031281900.0,7.5,0.0,0.72,8.22,True,2.0,2019,2,3,8
76143286,2020-02-04 07:45:00,2020-02-04 16:45:00,32247.0,35.4,17031070101.0,17031330100.0,272.5,0.0,8.08,280.58,False,1.0,2020,2,1,7
103572142,2020-02-04 07:00:00,2020-02-04 13:15:00,23023.0,9.2,17031260900.0,17031251800.0,7.5,0.0,0.0,7.5,True,1.0,2020,2,1,7
109466598,2020-02-18 08:00:00,2020-02-18 16:00:00,28801.0,0.4,17031063302.0,17031063200.0,15.0,0.0,4.83,19.83,False,1.0,2020,2,1,8
114730984,2020-01-30 08:30:00,2020-01-30 19:45:00,40200.0,71.1,17031700301.0,17031700200.0,10.0,0.0,0.72,10.72,False,1.0,2020,1,3,8
114967717,2020-01-28 07:00:00,2020-01-28 16:15:00,33200.0,16.9,17031031700.0,17031020602.0,175.0,0.0,3.08,178.08,False,1.0,2020,1,1,7
115059515,2020-02-04 07:45:00,2020-02-04 17:30:00,34887.0,5.8,17031070700.0,17031320400.0,177.5,0.0,4.83,182.33,False,1.0,2020,2,1,7
115240523,2019-02-14 08:15:00,2019-02-14 17:30:00,33000.0,24.2,17031061901.0,17031320100.0,0.0,0.0,0.72,0.72,True,2.0,2019,2,3,8
115794959,2019-02-14 08:30:00,2019-02-14 17:30:00,32460.0,22.1,17031063200.0,17031081500.0,0.0,0.0,0.72,0.72,True,2.0,2019,2,3,8
120225302,2019-02-15 07:30:00,2019-02-15 13:00:00,19669.0,85.5,17031660600.0,17031980000.0,162.5,0.0,8.59,171.09,False,1.0,2019,2,4,7
