,area_num_1,GEOID
,8,17031081402
54,56,17031980100
74,76,17031980000
8,42,17031843900
58,61,17031843800
47,5,17031843700
3,38,17031843600
31,30,17031843500
29,29,17031843400
29,29,17031843300
32,31,17031843200
29,29,17031843100
29,29,17031843000
28,28,17031842900
56,58,17031842800
58,61,17031842600
66,69,17031842500
39,44,17031842400
36,8,17031842300
36,8,17031842200
23,23,17031842100
0,35,17031842000
28,28,17031841900
66,69,17031841800
31,30,17031841700
29,29,17031841600
29,29,17031841500
29,29,17031841400
32,31,17031841300
32,31,17031841200
34,34,17031841100
33,33,17031841000
31,30,17031840800
31,30,17031840700
43,59,17031840400
43,59,17031840300
57,60,17031840200
57,60,17031840100
57,60,17031840000
57,60,17031839900
57,60,17031839800
57,60,17031839700
0,35,17031839600
0,35,17031839500
0,35,17031839200
37,32,17031839100
37,32,17031839000
49,51,17031838800
29,29,17031838700
29,29,17031838600
36,8,17031838300
28,28,17031838200
28,28,17031838100
28,28,17031838000
28,28,17031837800
27,27,17031837400
27,27,17031837300
27,27,17031837100
27,27,17031837000
27,27,17031836900
27,27,17031836800
23,23,17031836700
23,23,17031836600
1,36,17031836500
9,36,17031836400
7,41,17031836300
7,41,17031836200
6,40,17031836100
3,38,17031836000
3,38,17031835900
3,38,17031835800
3,38,17031835700
2,37,17031835600
2,37,17031835500
54,56,17031835200
60,63,17031835100
63,66,17031835000
64,67,17031834900
65,68,17031834800
65,68,17031834700
65,68,17031834600
6,40,17031834500
8,42,17031834400
40,45,17031834300
38,43,17031834200
46,49,17031834000
41,46,17031833900
28,28,17031833300
28,28,17031833100
28,28,17031833000
28,28,17031832900
67,7,17031832600
67,7,17031832500
22,22,17031832400
22,22,17031832300
22,22,17031832200
44,6,17031832100
44,6,17031832000
44,6,17031831900
12,13,17031831800
14,15,17031831700
17,18,17031831600
18,19,17031831500
25,25,17031831400
25,25,17031831300
20,20,17031831200
21,21,17031831100
22,22,17031831000
22,22,17031830900
5,4,17031830800
30,3,17031830700
9,1,17031830600
31,30,17031830500
1,75,17031823304
0,53,17031821402
13,10,17031810400
12,76,17031770902
11,76,17031770602
74,76,17031760803
74,76,17031760802
74,76,17031760801
73,75,17031750600
73,75,17031750500
73,75,17031750400
73,75,17031750300
73,75,17031750200
73,75,17031750100
72,74,17031740400
72,74,17031740300
72,74,17031740200
72,74,17031740100
71,73,17031730700
71,73,17031730600
71,73,17031730500
71,73,17031730400
71,73,17031730300
71,73,17031730202
71,73,17031730201
71,73,17031730100
70,72,17031720700
70,72,17031720600
70,72,17031720500
70,72,17031720400
70,72,17031720300
70,72,17031720200
70,72,17031720100
69,71,17031711500
69,71,17031711400
69,71,17031711300
69,71,17031711200
69,71,17031711100
69,71,17031711000
69,71,17031710900
69,71,17031710800
69,71,17031710700
69,71,17031710600
69,71,17031710500
69,71,17031710400
69,71,17031710300
69,71,17031710200
69,71,17031710100
68,70,17031700502
68,70,17031700501
68,70,17031700402
68,70,17031700401
68,70,17031700302
68,70,17031700301
68,70,17031700200
68,70,17031700100
66,69,17031691500
66,69,17031691400
66,69,17031691300
66,69,17031691200
66,69,17031691100
66,69,17031691000
66,69,17031690900
66,69,17031690500
66,69,17031690400
66,69,17031690300
65,68,17031681400
65,68,17031681300
65,68,17031681200
65,68,17031681100
65,68,17031681000
65,68,17031680900
65,68,17031680600
65,68,17031680500
64,67,17031672000
64,67,17031671900
64,67,17031671800
64,67,17031671600
64,67,17031671500
64,67,17031671400
64,67,17031671300
64,67,17031671200
64,67,17031671100
64,67,17031670900
64,67,17031670800
64,67,17031670700
64,67,17031670600
64,67,17031670500
64,67,17031670400
64,67,17031670300
64,67,17031670200
64,67,17031670100
63,66,17031661100
63,66,17031661000
63,66,17031660900
63,66,17031660800
63,66,17031660700
63,66,17031660600
63,66,17031660500
63,66,17031660400
63,66,17031660302
63,66,17031660301
62,65,17031650500
62,65,17031650400
62,65,17031650302
62,65,17031650301
62,65,17031650200
62,65,17031650100
61,64,17031640800
61,64,17031640700
61,64,17031640600
61,64,17031640500
61,64,17031640400
61,64,17031640300
61,64,17031640100
60,63,17031630900
60,63,17031630800
60,63,17031630500
60,63,17031630400
60,63,17031630300
60,63,17031630200
60,63,17031630100
59,62,17031620400
59,62,17031620300
59,62,17031620200
59,62,17031620100
58,61,17031612100
58,61,17031612000
58,61,17031611900
58,61,17031611800
58,61,17031611700
58,61,17031611600
58,61,17031611500
58,61,17031611400
58,61,17031611300
58,61,17031611200
58,61,17031611100
58,61,17031611000
58,61,17031610800
58,61,17031610400
58,61,17031610300
57,60,17031600900
57,60,17031600700
57,60,17031600600
57,60,17031600400
43,59,17031590700
43,59,17031590600
43,59,17031590500
56,58,17031580800
56,58,17031580700
56,58,17031580600
56,58,17031580502
56,58,17031580501
56,58,17031580400
56,58,17031580300
56,58,17031580200
56,58,17031580100
55,57,17031570500
55,57,17031570400
55,57,17031570300
55,57,17031570200
55,57,17031570100
54,56,17031561100
54,56,17031561000
54,56,17031560900
54,56,17031560800
54,56,17031560700
54,56,17031560400
54,56,17031560300
54,56,17031560200
54,56,17031560100
53,55,17031550200
53,55,17031550100
52,54,17031540102
52,54,17031540101
51,53,17031530600
51,53,17031530503
51,53,17031530502
51,53,17031530501
51,53,17031530400
51,53,17031530300
51,53,17031530200
51,53,17031530100
50,52,17031520600
50,52,17031520500
50,52,17031520400
50,52,17031520300
50,52,17031520200
50,52,17031520100
49,51,17031510300
49,51,17031510200
49,51,17031510100
48,50,17031500300
48,50,17031500200
48,50,17031500100
46,49,17031491400
46,49,17031491300
46,49,17031491200
46,49,17031491100
46,49,17031491000
46,49,17031490902
46,49,17031490901
46,49,17031490800
46,49,17031490700
46,49,17031490600
46,49,17031490500
46,49,17031490400
46,49,17031490300
45,48,17031480500
45,48,17031480400
45,48,17031480300
45,48,17031480200
45,48,17031480100
42,47,17031470100
41,46,17031461000
41,46,17031460700
41,46,17031460600
41,46,17031460500
41,46,17031460400
41,46,17031460302
41,46,17031460301
41,46,17031460200
41,46,17031460100
40,45,17031450300
39,44,17031440900
39,44,17031440800
39,44,17031440700
39,44,17031440600
39,44,17031440300
39,44,17031440202
39,44,17031440201
39,44,17031440102
39,44,17031440101
2,43,17031431400
38,43,17031431302
38,43,17031431301
38,43,17031431200
38,43,17031430900
38,43,17031430800
3,43,17031430700
38,43,17031430600
38,43,17031430500
38,43,17031430400
38,43,17031430300
38,43,17031430200
4,43,17031430102
38,43,17031430101
8,42,17031421200
8,42,17031420800
8,42,17031420700
8,42,17031420600
8,42,17031420500
8,42,17031420400
8,42,17031420300
8,42,17031420200
8,42,17031420100
7,41,17031411200
7,41,17031411100
6,41,17031411000
7,41,17031410900
7,41,17031410800
7,41,17031410700
7,41,17031410600
7,41,17031410500
7,41,17031410200
8,41,17031410100
6,40,17031400800
6,40,17031400500
6,40,17031400400
6,40,17031400300
5,39,17031390700
4,39,17031390600
4,39,17031390500
4,39,17031390400
4,39,17031390300
4,39,17031390200
4,39,17031390100
3,38,17031381900
3,38,17031381800
3,38,17031381700
3,38,17031381500
3,38,17031381400
3,38,17031381200
3,38,17031380700
3,38,17031380500
3,38,17031380200
3,38,17031380100
1,36,17031360200
0,35,17031351500
0,35,17031351400
0,35,17031351100
0,35,17031351000
0,35,17031350400
0,35,17031350100
34,34,17031340600
34,34,17031340500
34,34,17031340400
34,34,17031340300
33,33,17031330200
33,33,17031330100
37,32,17031320600
37,32,17031320400
37,32,17031320100
32,31,17031310900
32,31,17031310800
32,31,17031310700
32,31,17031310600
32,31,17031310500
32,31,17031310400
32,31,17031310300
32,31,17031310200
31,30,17031301803
31,30,17031301802
31,30,17031301801
31,30,17031301702
31,30,17031301701
31,30,17031301600
31,30,17031301200
31,30,17031301100
31,30,17031300900
31,30,17031300800
31,30,17031300700
31,30,17031300600
31,30,17031300500
29,29,17031292500
29,29,17031292400
29,29,17031292200
29,29,17031291600
29,29,17031291200
29,29,17031290900
28,28,17031283800
28,28,17031283200
28,28,17031283100
28,28,17031282800
28,28,17031282700
28,28,17031281900
28,28,17031280900
28,28,17031280800
28,28,17031280400
28,28,17031280100
27,27,17031271800
27,27,17031271500
27,27,17031271400
27,27,17031271300
27,27,17031271200
27,27,17031270500
26,26,17031261000
26,26,17031260900
26,26,17031260800
26,26,17031260700
26,26,17031260600
26,26,17031260500
26,26,17031260400
26,26,17031260300
26,26,17031260200
26,26,17031260100
25,25,17031252202
25,25,17031252201
25,25,17031252102
25,25,17031252101
25,25,17031252000
25,25,17031251900
25,25,17031251800
25,25,17031251700
25,25,17031251600
25,25,17031251500
25,25,17031251400
25,25,17031251300
25,25,17031251200
25,25,17031251100
25,25,17031251000
25,25,17031250800
25,25,17031250700
25,25,17031250600
25,25,17031250500
25,25,17031250400
25,25,17031250300
25,25,17031250200
24,24,17031243500
24,24,17031243400
24,24,17031243300
24,24,17031243200
24,24,17031243100
24,24,17031243000
24,24,17031242900
24,24,17031242800
24,24,17031242700
24,24,17031242600
24,24,17031242500
24,24,17031242400
24,24,17031242300
24,24,17031242200
24,24,17031242100
24,24,17031242000
24,24,17031241600
24,24,17031241500
24,24,17031241400
24,24,17031241300
24,24,17031241200
24,24,17031241100
24,24,17031241000
24,24,17031240900
24,24,17031240800
24,24,17031240700
24,24,17031240600
24,24,17031240500
24,24,17031240300
24,24,17031240200
23,23,17031231500
23,23,17031231200
23,23,17031231100
23,23,17031230900
23,23,17031230800
23,23,17031230700
23,23,17031230600
23,23,17031230500
23,23,17031230400
23,23,17031230300
23,23,17031230200
23,23,17031230100
22,22,17031222900
22,22,17031222800
22,22,17031222700
22,22,17031222600
22,22,17031222500
22,22,17031222200
22,22,17031221600
22,22,17031221500
22,22,17031221400
22,22,17031221300
22,22,17031221200
22,22,17031221100
22,22,17031221000
22,22,17031220902
22,22,17031220901
22,22,17031220702
22,22,17031220701
22,22,17031220602
22,22,17031220601
22,22,17031220500
