service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1902,0,0,0,0,0,0,0,20181106,20190131
1903,0,0,0,0,0,0,0,20181106,20190131
1909,0,0,0,0,0,0,0,20181106,20190131
1914,0,0,0,0,0,0,0,20181106,20190131
49701,1,1,1,1,1,0,0,20181106,20190131
49702,1,1,1,1,0,0,0,20181106,20190131
49703,0,1,1,1,1,0,0,20181106,20190131
49704,0,1,1,1,1,0,0,20181106,20190131
49705,0,0,0,0,1,0,0,20181106,20190131
49706,0,0,0,0,0,1,0,20181106,20190131
49707,0,0,0,0,0,1,0,20181106,20190131
49708,0,0,0,0,0,0,1,20181106,20190131
49709,0,0,0,0,0,0,1,20181106,20190131
49710,0,0,1,1,1,1,0,20181106,20190131
49711,0,1,1,1,1,1,0,20181106,20190131
49712,0,1,1,1,1,1,0,20181106,20190131
49713,1,0,0,0,0,0,0,20181106,20190131
49714,1,0,0,0,0,0,0,20181106,20190131
49715,1,0,0,0,0,0,0,20181106,20190131
49716,0,1,0,0,0,0,0,20181106,20190131
49717,0,1,0,0,0,0,0,20181106,20190131
49718,1,0,1,1,1,0,0,20181106,20190131
49719,1,0,1,1,1,0,0,20181106,20190131
49720,0,0,1,0,0,0,0,20181106,20190131
49721,0,0,1,0,0,0,0,20181106,20190131
49722,1,1,0,1,1,0,0,20181106,20190131
49723,1,1,0,1,1,0,0,20181106,20190131
49724,0,0,0,1,0,0,0,20181106,20190131
49725,0,0,0,1,0,0,0,20181106,20190131
49726,1,1,1,0,1,0,0,20181106,20190131
49727,1,1,1,0,1,0,0,20181106,20190131
49728,0,1,1,0,0,0,0,20181106,20190131
49729,0,1,1,0,0,0,0,20181106,20190131
49730,1,0,0,1,1,0,0,20181106,20190131
49731,1,0,0,1,1,0,0,20181106,20190131
49732,1,1,0,0,1,0,0,20181106,20190131
49733,1,1,0,0,1,0,0,20181106,20190131
49734,1,1,1,1,1,0,1,20181106,20190131
49735,1,1,1,1,1,0,1,20181106,20190131
49736,1,1,1,1,1,1,0,20181106,20190131
49737,1,1,1,1,1,1,0,20181106,20190131
49738,1,1,1,1,1,1,0,20181106,20190131
49739,1,1,1,1,1,0,0,20181106,20190131
49740,1,1,1,1,0,0,1,20181106,20190131
105801,1,1,1,1,1,0,0,20181106,20190131
105802,1,1,1,1,0,0,0,20181106,20190131
105803,0,1,1,1,1,0,0,20181106,20190131
105804,0,1,1,1,1,0,0,20181106,20190131
105805,0,0,0,0,1,0,0,20181106,20190131
105806,0,0,0,0,0,1,0,20181106,20190131
105807,0,0,0,0,0,1,0,20181106,20190131
105808,0,0,0,0,0,0,1,20181106,20190131
105809,0,0,0,0,0,0,1,20181106,20190131
105810,0,0,1,1,1,1,0,20181106,20190131
105811,0,1,1,1,1,1,0,20181106,20190131
105812,0,1,1,1,1,1,0,20181106,20190131
105813,1,0,0,0,0,0,0,20181106,20190131
105814,1,0,0,0,0,0,0,20181106,20190131
105815,1,0,0,0,0,0,0,20181106,20190131
105816,0,1,0,0,0,0,0,20181106,20190131
105817,0,1,0,0,0,0,0,20181106,20190131
105818,1,0,1,1,1,0,0,20181106,20190131
105819,1,0,1,1,1,0,0,20181106,20190131
105820,0,0,1,0,0,0,0,20181106,20190131
105821,0,0,1,0,0,0,0,20181106,20190131
105822,1,1,0,1,1,0,0,20181106,20190131
105823,1,1,0,1,1,0,0,20181106,20190131
105824,0,0,0,1,0,0,0,20181106,20190131
105825,0,0,0,1,0,0,0,20181106,20190131
105826,1,1,1,0,1,0,0,20181106,20190131
105827,1,1,1,0,1,0,0,20181106,20190131
105828,0,1,1,0,0,0,0,20181106,20190131
105829,0,1,1,0,0,0,0,20181106,20190131
105830,1,0,0,1,1,0,0,20181106,20190131
105831,1,0,0,1,1,0,0,20181106,20190131
105832,1,1,0,0,1,0,0,20181106,20190131
105833,1,1,0,0,1,0,0,20181106,20190131
105834,1,1,1,1,1,0,1,20181106,20190131
105835,1,1,1,1,1,0,1,20181106,20190131
105836,1,1,1,1,1,1,0,20181106,20190131
105837,1,1,1,1,1,1,0,20181106,20190131
105838,1,1,1,1,1,1,0,20181106,20190131
105839,1,1,1,1,1,0,0,20181106,20190131
105840,1,1,1,1,0,0,1,20181106,20190131
205801,1,1,1,1,1,0,0,20181106,20190131
