service_id,date,exception_type
1902,20181108,1
1902,20181116,1
1902,20181124,1
1903,20181106,1
1903,20181111,1
1903,20181130,1
1909,20181118,1
1914,20181110,1
1914,20181112,1
1914,20181114,1
1914,20181117,1
1914,20181121,1
1914,20181123,1
1914,20181126,1
1914,20181127,1
49701,20181122,2
49701,20181225,2
49701,20190101,2
49702,20181122,2
49702,20181225,2
49702,20190101,2
49703,20181122,2
49703,20181225,2
49703,20190101,2
49704,20181123,2
49704,20181226,2
49704,20190102,2
49705,20181122,2
49705,20181225,2
49705,20190101,2
49706,20181122,2
49706,20181225,2
49706,20190101,2
49707,20181123,2
49707,20181226,2
49707,20190102,2
49708,20181123,2
49708,20181226,2
49708,20190102,2
49709,20181122,1
49709,20181225,1
49709,20190101,1
49710,20181123,2
49710,20181226,2
49710,20190102,2
49711,20181122,2
49711,20181225,2
49711,20190101,2
49712,20181123,2
49712,20181226,2
49712,20190102,2
49713,20181122,2
49713,20181225,2
49713,20190101,2
49714,20181123,2
49714,20181226,2
49714,20190102,2
49715,20181123,1
49715,20181226,1
49715,20190102,1
49716,20181122,2
49716,20181225,2
49716,20190101,2
49717,20181123,2
49717,20181226,2
49717,20190102,2
49718,20181122,2
49718,20181225,2
49718,20190101,2
49719,20181123,2
49719,20181226,2
49719,20190102,2
49720,20181122,2
49720,20181225,2
49720,20190101,2
49721,20181123,2
49721,20181226,2
49721,20190102,2
49722,20181122,2
49722,20181225,2
49722,20190101,2
49723,20181123,2
49723,20181226,2
49723,20190102,2
49724,20181122,2
49724,20181225,2
49724,20190101,2
49725,20181123,2
49725,20181226,2
49725,20190102,2
49726,20181122,2
49726,20181225,2
49726,20190101,2
49727,20181123,2
49727,20181226,2
49727,20190102,2
49728,20181122,2
49728,20181225,2
49728,20190101,2
49729,20181123,2
49729,20181226,2
49729,20190102,2
49730,20181122,2
49730,20181225,2
49730,20190101,2
49731,20181123,2
49731,20181226,2
49731,20190102,2
49732,20181122,2
49732,20181225,2
49732,20190101,2
49733,20181123,2
49733,20181226,2
49733,20190102,2
49734,20181122,2
49734,20181225,2
49734,20190101,2
49735,20181123,2
49735,20181226,2
49735,20190102,2
49736,20181122,2
49736,20181225,2
49736,20190101,2
49737,20181123,2
49737,20181226,2
49737,20190102,2
49738,20181123,1
49738,20181226,1
49738,20190102,1
49739,20181123,1
49739,20181226,1
49739,20190102,1
49740,20181122,1
49740,20181225,1
49740,20190101,1
105801,20181122,2
105801,20181225,2
105801,20190101,2
105802,20181122,2
105802,20181225,2
105802,20190101,2
105803,20181122,2
105803,20181225,2
105803,20190101,2
105804,20181123,2
105804,20181226,2
105804,20190102,2
105805,20181122,2
105805,20181225,2
105805,20190101,2
105806,20181122,2
105806,20181225,2
105806,20190101,2
105807,20181123,2
105807,20181226,2
105807,20190102,2
105808,20181123,2
105808,20181226,2
105808,20190102,2
105809,20181122,1
105809,20181225,1
105809,20190101,1
105810,20181123,2
105810,20181226,2
105810,20190102,2
105811,20181122,2
105811,20181225,2
105811,20190101,2
105812,20181123,2
105812,20181226,2
105812,20190102,2
105813,20181122,2
105813,20181225,2
105813,20190101,2
105814,20181123,2
105814,20181226,2
105814,20190102,2
105815,20181123,1
105815,20181226,1
105815,20190102,1
105816,20181122,2
105816,20181225,2
105816,20190101,2
105817,20181123,2
105817,20181226,2
105817,20190102,2
105818,20181122,2
105818,20181225,2
105818,20190101,2
105819,20181123,2
105819,20181226,2
105819,20190102,2
105820,20181122,2
105820,20181225,2
105820,20190101,2
105821,20181123,2
105821,20181226,2
105821,20190102,2
105822,20181122,2
105822,20181225,2
105822,20190101,2
105823,20181123,2
105823,20181226,2
105823,20190102,2
105824,20181122,2
105824,20181225,2
105824,20190101,2
105825,20181123,2
105825,20181226,2
105825,20190102,2
105826,20181122,2
105826,20181225,2
105826,20190101,2
105827,20181123,2
105827,20181226,2
105827,20190102,2
105828,20181122,2
105828,20181225,2
105828,20190101,2
105829,20181123,2
105829,20181226,2
105829,20190102,2
105830,20181122,2
105830,20181225,2
105830,20190101,2
105831,20181123,2
105831,20181226,2
105831,20190102,2
105832,20181122,2
105832,20181225,2
105832,20190101,2
105833,20181123,2
105833,20181226,2
105833,20190102,2
105834,20181122,2
105834,20181225,2
105834,20190101,2
105835,20181123,2
105835,20181226,2
105835,20190102,2
105836,20181122,2
105836,20181225,2
105836,20190101,2
105837,20181123,2
105837,20181226,2
105837,20190102,2
105838,20181123,1
105838,20181226,1
105838,20190102,1
105839,20181123,1
105839,20181226,1
105839,20190102,1
105840,20181122,1
105840,20181225,1
105840,20190101,1
205801,20181122,2
205801,20181225,2
205801,20190101,2
