route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,"1","Bronzeville/Union Station",3,http://www.transitchicago.com/bus/1/,,
2,"2","Hyde Park Express",3,http://www.transitchicago.com/bus/2/,,
3,"3","King Drive",3,http://www.transitchicago.com/bus/3/,,
4,"4","Cottage Grove",3,http://www.transitchicago.com/bus/4/,,
5,"5","South Shore Night Bus",3,http://www.transitchicago.com/bus/5/,,
6,"6","Jackson Park Express",3,http://www.transitchicago.com/bus/6/,,
7,"7","Harrison",3,http://www.transitchicago.com/bus/7/,,
8,"8","Halsted",3,http://www.transitchicago.com/bus/8/,,
8A,"8A","South Halsted",3,http://www.transitchicago.com/bus/8A/,,
9,"9","Ashland",3,http://www.transitchicago.com/bus/9/,,
X9,"X9","Ashland Express",3,http://www.transitchicago.com/bus/X9/,,
10,"10","Museum of Science and Industry",3,http://www.transitchicago.com/bus/10/,,
11,"11","Lincoln",3,http://www.transitchicago.com/bus/11/,,
12,"12","Roosevelt",3,http://www.transitchicago.com/bus/12/,,
J14,"J14","Jeffery Jump",3,http://www.transitchicago.com/bus/J14/,,
15,"15","Jeffery Local",3,http://www.transitchicago.com/bus/15/,,
18,"18","16th-18th",3,http://www.transitchicago.com/bus/18/,,
19,"19","United Center Express",3,http://www.transitchicago.com/bus/19/,,
20,"20","Madison",3,http://www.transitchicago.com/bus/20/,,
21,"21","Cermak",3,http://www.transitchicago.com/bus/21/,,
22,"22","Clark",3,http://www.transitchicago.com/bus/22/,,
24,"24","Wentworth",3,http://www.transitchicago.com/bus/24/,,
26,"26","South Shore Express",3,http://www.transitchicago.com/bus/26/,,
28,"28","Stony Island",3,http://www.transitchicago.com/bus/28/,,
29,"29","State",3,http://www.transitchicago.com/bus/29/,,
31,"31","31st",3,http://www.transitchicago.com/bus/31/,,
30,"30","South Chicago",3,http://www.transitchicago.com/bus/30/,,
34,"34","South Michigan",3,http://www.transitchicago.com/bus/34/,,
35,"35","35th",3,http://www.transitchicago.com/bus/35/,,
36,"36","Broadway",3,http://www.transitchicago.com/bus/36/,,
37,"37","Sedgwick",3,http://www.transitchicago.com/bus/37/,,
39,"39","Pershing",3,http://www.transitchicago.com/bus/39/,,
43,"43","43rd",3,http://www.transitchicago.com/bus/43/,,
44,"44","Wallace-Racine",3,http://www.transitchicago.com/bus/44/,,
47,"47","47th",3,http://www.transitchicago.com/bus/47/,,
48,"48","South Damen",3,http://www.transitchicago.com/bus/48/,,
49,"49","Western",3,http://www.transitchicago.com/bus/49/,,
49B,"49B","North Western",3,http://www.transitchicago.com/bus/49B/,,
X49,"X49","Western Express",3,http://www.transitchicago.com/bus/X49/,,
50,"50","Damen",3,http://www.transitchicago.com/bus/50/,,
51,"51","51st",3,http://www.transitchicago.com/bus/51/,,
52,"52","Kedzie/California",3,http://www.transitchicago.com/bus/52/,,
52A,"52A","South Kedzie",3,http://www.transitchicago.com/bus/52A/,,
53,"53","Pulaski",3,http://www.transitchicago.com/bus/53/,,
53A,"53A","South Pulaski",3,http://www.transitchicago.com/bus/53A/,,
54,"54","Cicero",3,http://www.transitchicago.com/bus/54/,,
