service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1901,0,0,0,0,0,0,0,20190130,20190331
1902,0,0,0,0,0,0,0,20190130,20190331
1903,0,0,0,0,0,0,0,20190130,20190331
1908,0,0,0,0,0,0,0,20190130,20190331
1911,0,0,0,0,0,0,0,20190130,20190331
61201,1,1,1,1,1,0,0,20190130,20190331
61202,1,1,1,1,0,0,0,20190130,20190331
61203,0,1,1,1,1,0,0,20190130,20190331
61204,0,1,1,1,1,0,0,20190130,20190331
61205,0,0,0,0,1,0,0,20190130,20190331
61206,0,0,0,0,0,1,0,20190130,20190331
61207,0,0,0,0,0,1,0,20190130,20190331
61208,0,0,0,0,0,0,1,20190130,20190331
61209,0,0,0,0,0,0,1,20190130,20190331
61210,0,0,1,1,1,1,0,20190130,20190331
61211,0,1,1,1,1,1,0,20190130,20190331
61212,0,1,1,1,1,1,0,20190130,20190331
61213,1,0,0,0,0,0,0,20190130,20190331
61214,1,0,0,0,0,0,0,20190130,20190331
61215,1,0,0,0,0,0,0,20190130,20190331
61216,0,1,0,0,0,0,0,20190130,20190331
61217,0,1,0,0,0,0,0,20190130,20190331
61218,1,0,1,1,1,0,0,20190130,20190331
61219,1,0,1,1,1,0,0,20190130,20190331
61220,0,0,1,0,0,0,0,20190130,20190331
61221,0,0,1,0,0,0,0,20190130,20190331
61222,1,1,0,1,1,0,0,20190130,20190331
61223,1,1,0,1,1,0,0,20190130,20190331
61224,0,0,0,1,0,0,0,20190130,20190331
61225,0,0,0,1,0,0,0,20190130,20190331
61226,1,1,1,0,1,0,0,20190130,20190331
61227,1,1,1,0,1,0,0,20190130,20190331
61228,0,1,1,0,0,0,0,20190130,20190331
61229,0,1,1,0,0,0,0,20190130,20190331
61230,1,0,0,1,1,0,0,20190130,20190331
61231,1,0,0,1,1,0,0,20190130,20190331
61232,1,1,0,0,1,0,0,20190130,20190331
61233,1,1,0,0,1,0,0,20190130,20190331
61234,1,1,1,1,1,0,1,20190130,20190331
61235,1,1,1,1,1,0,1,20190130,20190331
61236,1,1,1,1,1,1,0,20190130,20190331
61237,1,1,1,1,1,1,0,20190130,20190331
61238,1,1,1,1,1,1,0,20190130,20190331
61239,1,1,1,1,1,0,0,20190130,20190331
61240,1,1,1,1,0,0,1,20190130,20190331
105801,1,1,1,1,1,0,0,20190130,20190331
105802,1,1,1,1,0,0,0,20190130,20190331
105803,0,1,1,1,1,0,0,20190130,20190331
105804,0,1,1,1,1,0,0,20190130,20190331
105805,0,0,0,0,1,0,0,20190130,20190331
105806,0,0,0,0,0,1,0,20190130,20190331
105807,0,0,0,0,0,1,0,20190130,20190331
105808,0,0,0,0,0,0,1,20190130,20190331
105809,0,0,0,0,0,0,1,20190130,20190331
105810,0,0,1,1,1,1,0,20190130,20190331
105811,0,1,1,1,1,1,0,20190130,20190331
105812,0,1,1,1,1,1,0,20190130,20190331
105813,1,0,0,0,0,0,0,20190130,20190331
105814,1,0,0,0,0,0,0,20190130,20190331
105815,1,0,0,0,0,0,0,20190130,20190331
105816,0,1,0,0,0,0,0,20190130,20190331
105817,0,1,0,0,0,0,0,20190130,20190331
105818,1,0,1,1,1,0,0,20190130,20190331
105819,1,0,1,1,1,0,0,20190130,20190331
105820,0,0,1,0,0,0,0,20190130,20190331
105821,0,0,1,0,0,0,0,20190130,20190331
105822,1,1,0,1,1,0,0,20190130,20190331
105823,1,1,0,1,1,0,0,20190130,20190331
105824,0,0,0,1,0,0,0,20190130,20190331
105825,0,0,0,1,0,0,0,20190130,20190331
105826,1,1,1,0,1,0,0,20190130,20190331
105827,1,1,1,0,1,0,0,20190130,20190331
105828,0,1,1,0,0,0,0,20190130,20190331
105829,0,1,1,0,0,0,0,20190130,20190331
105830,1,0,0,1,1,0,0,20190130,20190331
105831,1,0,0,1,1,0,0,20190130,20190331
105832,1,1,0,0,1,0,0,20190130,20190331
105833,1,1,0,0,1,0,0,20190130,20190331
105834,1,1,1,1,1,0,1,20190130,20190331
105835,1,1,1,1,1,0,1,20190130,20190331
105836,1,1,1,1,1,1,0,20190130,20190331
105837,1,1,1,1,1,1,0,20190130,20190331
105838,1,1,1,1,1,1,0,20190130,20190331
105839,1,1,1,1,1,0,0,20190130,20190331
105840,1,1,1,1,0,0,1,20190130,20190331
205801,1,1,1,1,1,0,0,20190130,20190331
