service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
62101,1,1,1,1,1,0,0,20190513,20190731
62102,1,1,1,1,0,0,0,20190513,20190731
62103,0,1,1,1,1,0,0,20190513,20190731
62104,0,1,1,1,1,0,0,20190513,20190731
62105,0,0,0,0,1,0,0,20190513,20190731
62106,0,0,0,0,0,1,0,20190513,20190731
62107,0,0,0,0,0,1,0,20190513,20190731
62108,0,0,0,0,0,0,1,20190513,20190731
62109,0,0,0,0,0,0,1,20190513,20190731
62110,0,0,1,1,1,1,0,20190513,20190731
62111,0,1,1,1,1,1,0,20190513,20190731
62112,0,1,1,1,1,1,0,20190513,20190731
62113,1,0,0,0,0,0,0,20190513,20190731
62114,1,0,0,0,0,0,0,20190513,20190731
62115,1,0,0,0,0,0,0,20190513,20190731
62116,0,1,0,0,0,0,0,20190513,20190731
62117,0,1,0,0,0,0,0,20190513,20190731
62118,1,0,1,1,1,0,0,20190513,20190731
62119,1,0,1,1,1,0,0,20190513,20190731
62120,0,0,1,0,0,0,0,20190513,20190731
62121,0,0,1,0,0,0,0,20190513,20190731
62122,1,1,0,1,1,0,0,20190513,20190731
62123,1,1,0,1,1,0,0,20190513,20190731
62124,0,0,0,1,0,0,0,20190513,20190731
62125,0,0,0,1,0,0,0,20190513,20190731
62126,1,1,1,0,1,0,0,20190513,20190731
62127,1,1,1,0,1,0,0,20190513,20190731
62128,0,1,1,0,0,0,0,20190513,20190731
62129,0,1,1,0,0,0,0,20190513,20190731
62130,1,0,0,1,1,0,0,20190513,20190731
62131,1,0,0,1,1,0,0,20190513,20190731
62132,1,1,0,0,1,0,0,20190513,20190731
62133,1,1,0,0,1,0,0,20190513,20190731
62134,1,1,1,1,1,0,1,20190513,20190731
62135,1,1,1,1,1,0,1,20190513,20190731
62136,1,1,1,1,1,1,0,20190513,20190731
62137,1,1,1,1,1,1,0,20190513,20190731
62138,1,1,1,1,1,1,0,20190513,20190731
62139,1,1,1,1,1,0,0,20190513,20190731
62140,1,1,1,1,0,0,1,20190513,20190731
105901,1,1,1,1,1,0,0,20190513,20190731
105902,1,1,1,1,0,0,0,20190513,20190731
105903,0,1,1,1,1,0,0,20190513,20190731
105904,0,1,1,1,1,0,0,20190513,20190731
105905,0,0,0,0,1,0,0,20190513,20190731
105906,0,0,0,0,0,1,0,20190513,20190731
105907,0,0,0,0,0,1,0,20190513,20190731
105908,0,0,0,0,0,0,1,20190513,20190731
105909,0,0,0,0,0,0,1,20190513,20190731
105910,0,0,1,1,1,1,0,20190513,20190731
105911,0,1,1,1,1,1,0,20190513,20190731
105912,0,1,1,1,1,1,0,20190513,20190731
105913,1,0,0,0,0,0,0,20190513,20190731
105914,1,0,0,0,0,0,0,20190513,20190731
105915,1,0,0,0,0,0,0,20190513,20190731
105916,0,1,0,0,0,0,0,20190513,20190731
105917,0,1,0,0,0,0,0,20190513,20190731
105918,1,0,1,1,1,0,0,20190513,20190731
105919,1,0,1,1,1,0,0,20190513,20190731
105920,0,0,1,0,0,0,0,20190513,20190731
105921,0,0,1,0,0,0,0,20190513,20190731
105922,1,1,0,1,1,0,0,20190513,20190731
105923,1,1,0,1,1,0,0,20190513,20190731
105924,0,0,0,1,0,0,0,20190513,20190731
105925,0,0,0,1,0,0,0,20190513,20190731
105926,1,1,1,0,1,0,0,20190513,20190731
105927,1,1,1,0,1,0,0,20190513,20190731
105928,0,1,1,0,0,0,0,20190513,20190731
105929,0,1,1,0,0,0,0,20190513,20190731
105930,1,0,0,1,1,0,0,20190513,20190731
105931,1,0,0,1,1,0,0,20190513,20190731
105932,1,1,0,0,1,0,0,20190513,20190731
105933,1,1,0,0,1,0,0,20190513,20190731
105934,1,1,1,1,1,0,1,20190513,20190731
105935,1,1,1,1,1,0,1,20190513,20190731
105936,1,1,1,1,1,1,0,20190513,20190731
105937,1,1,1,1,1,1,0,20190513,20190731
105938,1,1,1,1,1,1,0,20190513,20190731
105939,1,1,1,1,1,0,0,20190513,20190731
105940,1,1,1,1,0,0,1,20190513,20190731
205901,1,1,1,1,1,0,0,20190513,20190731
