service_id,date,exception_type
62101,20190527,2
62101,20190704,2
62102,20190527,2
62102,20190704,2
62103,20190527,2
62103,20190704,2
62104,20190528,2
62104,20190705,2
62105,20190527,2
62105,20190704,2
62106,20190527,2
62106,20190704,2
62107,20190528,2
62107,20190705,2
62108,20190528,2
62108,20190705,2
62109,20190527,1
62109,20190704,1
62110,20190528,2
62110,20190705,2
62111,20190527,2
62111,20190704,2
62112,20190528,2
62112,20190705,2
62113,20190527,2
62113,20190704,2
62114,20190528,2
62114,20190705,2
62115,20190528,1
62115,20190705,1
62116,20190527,2
62116,20190704,2
62117,20190528,2
62117,20190705,2
62118,20190527,2
62118,20190704,2
62119,20190528,2
62119,20190705,2
62120,20190527,2
62120,20190704,2
62121,20190528,2
62121,20190705,2
62122,20190527,2
62122,20190704,2
62123,20190528,2
62123,20190705,2
62124,20190527,2
62124,20190704,2
62125,20190528,2
62125,20190705,2
62126,20190527,2
62126,20190704,2
62127,20190528,2
62127,20190705,2
62128,20190527,2
62128,20190704,2
62129,20190528,2
62129,20190705,2
62130,20190527,2
62130,20190704,2
62131,20190528,2
62131,20190705,2
62132,20190527,2
62132,20190704,2
62133,20190528,2
62133,20190705,2
62134,20190527,2
62134,20190704,2
62135,20190528,2
62135,20190705,2
62136,20190527,2
62136,20190704,2
62137,20190528,2
62137,20190705,2
62138,20190528,1
62138,20190705,1
62139,20190528,1
62139,20190705,1
62140,20190527,1
62140,20190704,1
105901,20190527,2
105901,20190704,2
105902,20190527,2
105902,20190704,2
105903,20190527,2
105903,20190704,2
105904,20190528,2
105904,20190705,2
105905,20190527,2
105905,20190704,2
105906,20190527,2
105906,20190704,2
105907,20190528,2
105907,20190705,2
105908,20190528,2
105908,20190705,2
105909,20190527,1
105909,20190704,1
105910,20190528,2
105910,20190705,2
105911,20190527,2
105911,20190704,2
105912,20190528,2
105912,20190705,2
105913,20190527,2
105913,20190704,2
105914,20190528,2
105914,20190705,2
105915,20190528,1
105915,20190705,1
105916,20190527,2
105916,20190704,2
105917,20190528,2
105917,20190705,2
105918,20190527,2
105918,20190704,2
105919,20190528,2
105919,20190705,2
105920,20190527,2
105920,20190704,2
105921,20190528,2
105921,20190705,2
105922,20190527,2
105922,20190704,2
105923,20190528,2
105923,20190705,2
105924,20190527,2
105924,20190704,2
105925,20190528,2
105925,20190705,2
105926,20190527,2
105926,20190704,2
105927,20190528,2
105927,20190705,2
105928,20190527,2
105928,20190704,2
105929,20190528,2
105929,20190705,2
105930,20190527,2
105930,20190704,2
105931,20190528,2
105931,20190705,2
105932,20190527,2
105932,20190704,2
105933,20190528,2
105933,20190705,2
105934,20190527,2
105934,20190704,2
105935,20190528,2
105935,20190705,2
105936,20190527,2
105936,20190704,2
105937,20190528,2
105937,20190705,2
105938,20190528,1
105938,20190705,1
105939,20190528,1
105939,20190705,1
105940,20190527,1
105940,20190704,1
205901,20190527,2
205901,20190704,2
