service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
62501,1,1,1,1,1,0,0,20190801,20191031
62502,1,1,1,1,0,0,0,20190801,20191031
62503,0,1,1,1,1,0,0,20190801,20191031
62504,0,1,1,1,1,0,0,20190801,20191031
62505,0,0,0,0,1,0,0,20190801,20191031
62506,0,0,0,0,0,1,0,20190801,20191031
62507,0,0,0,0,0,1,0,20190801,20191031
62508,0,0,0,0,0,0,1,20190801,20191031
62509,0,0,0,0,0,0,1,20190801,20191031
62510,0,0,1,1,1,1,0,20190801,20191031
62511,0,1,1,1,1,1,0,20190801,20191031
62512,0,1,1,1,1,1,0,20190801,20191031
62513,1,0,0,0,0,0,0,20190801,20191031
62514,1,0,0,0,0,0,0,20190801,20191031
62515,1,0,0,0,0,0,0,20190801,20191031
62516,0,1,0,0,0,0,0,20190801,20191031
62517,0,1,0,0,0,0,0,20190801,20191031
62518,1,0,1,1,1,0,0,20190801,20191031
62519,1,0,1,1,1,0,0,20190801,20191031
62520,0,0,1,0,0,0,0,20190801,20191031
62521,0,0,1,0,0,0,0,20190801,20191031
62522,1,1,0,1,1,0,0,20190801,20191031
62523,1,1,0,1,1,0,0,20190801,20191031
62524,0,0,0,1,0,0,0,20190801,20191031
62525,0,0,0,1,0,0,0,20190801,20191031
62526,1,1,1,0,1,0,0,20190801,20191031
62527,1,1,1,0,1,0,0,20190801,20191031
62528,0,1,1,0,0,0,0,20190801,20191031
62529,0,1,1,0,0,0,0,20190801,20191031
62530,1,0,0,1,1,0,0,20190801,20191031
62531,1,0,0,1,1,0,0,20190801,20191031
62532,1,1,0,0,1,0,0,20190801,20191031
62533,1,1,0,0,1,0,0,20190801,20191031
62534,1,1,1,1,1,0,1,20190801,20191031
62535,1,1,1,1,1,0,1,20190801,20191031
62536,1,1,1,1,1,1,0,20190801,20191031
62537,1,1,1,1,1,1,0,20190801,20191031
62538,1,1,1,1,1,1,0,20190801,20191031
62539,1,1,1,1,1,0,0,20190801,20191031
62540,1,1,1,1,0,0,1,20190801,20191031
105901,1,1,1,1,1,0,0,20190801,20191031
105902,1,1,1,1,0,0,0,20190801,20191031
105903,0,1,1,1,1,0,0,20190801,20191031
105904,0,1,1,1,1,0,0,20190801,20191031
105905,0,0,0,0,1,0,0,20190801,20191031
105906,0,0,0,0,0,1,0,20190801,20191031
105907,0,0,0,0,0,1,0,20190801,20191031
105908,0,0,0,0,0,0,1,20190801,20191031
105909,0,0,0,0,0,0,1,20190801,20191031
105910,0,0,1,1,1,1,0,20190801,20191031
105911,0,1,1,1,1,1,0,20190801,20191031
105912,0,1,1,1,1,1,0,20190801,20191031
105913,1,0,0,0,0,0,0,20190801,20191031
105914,1,0,0,0,0,0,0,20190801,20191031
105915,1,0,0,0,0,0,0,20190801,20191031
105916,0,1,0,0,0,0,0,20190801,20191031
105917,0,1,0,0,0,0,0,20190801,20191031
105918,1,0,1,1,1,0,0,20190801,20191031
105919,1,0,1,1,1,0,0,20190801,20191031
105920,0,0,1,0,0,0,0,20190801,20191031
105921,0,0,1,0,0,0,0,20190801,20191031
105922,1,1,0,1,1,0,0,20190801,20191031
105923,1,1,0,1,1,0,0,20190801,20191031
105924,0,0,0,1,0,0,0,20190801,20191031
105925,0,0,0,1,0,0,0,20190801,20191031
105926,1,1,1,0,1,0,0,20190801,20191031
105927,1,1,1,0,1,0,0,20190801,20191031
105928,0,1,1,0,0,0,0,20190801,20191031
105929,0,1,1,0,0,0,0,20190801,20191031
105930,1,0,0,1,1,0,0,20190801,20191031
105931,1,0,0,1,1,0,0,20190801,20191031
105932,1,1,0,0,1,0,0,20190801,20191031
105933,1,1,0,0,1,0,0,20190801,20191031
105934,1,1,1,1,1,0,1,20190801,20191031
105935,1,1,1,1,1,0,1,20190801,20191031
105936,1,1,1,1,1,1,0,20190801,20191031
105937,1,1,1,1,1,1,0,20190801,20191031
105938,1,1,1,1,1,1,0,20190801,20191031
105939,1,1,1,1,1,0,0,20190801,20191031
105940,1,1,1,1,0,0,1,20190801,20191031
205901,1,1,1,1,1,0,0,20190801,20191031
