service_id,date,exception_type
62501,20190902,2
62502,20190902,2
62503,20190902,2
62504,20190903,2
62505,20190902,2
62506,20190902,2
62507,20190903,2
62508,20190903,2
62509,20190902,1
62510,20190903,2
62511,20190902,2
62512,20190903,2
62513,20190902,2
62514,20190903,2
62515,20190903,1
62516,20190902,2
62517,20190903,2
62518,20190902,2
62519,20190903,2
62520,20190902,2
62521,20190903,2
62522,20190902,2
62523,20190903,2
62524,20190902,2
62525,20190903,2
62526,20190902,2
62527,20190903,2
62528,20190902,2
62529,20190903,2
62530,20190902,2
62531,20190903,2
62532,20190902,2
62533,20190903,2
62534,20190902,2
62535,20190903,2
62536,20190902,2
62537,20190903,2
62538,20190903,1
62539,20190903,1
62540,20190902,1
105901,20190902,2
105902,20190902,2
105903,20190902,2
105904,20190903,2
105905,20190902,2
105906,20190902,2
105907,20190903,2
105908,20190903,2
105909,20190902,1
105910,20190903,2
105911,20190902,2
105912,20190903,2
105913,20190902,2
105914,20190903,2
105915,20190903,1
105916,20190902,2
105917,20190903,2
105918,20190902,2
105919,20190903,2
105920,20190902,2
105921,20190903,2
105922,20190902,2
105923,20190903,2
105924,20190902,2
105925,20190903,2
105926,20190902,2
105927,20190903,2
105928,20190902,2
105929,20190903,2
105930,20190902,2
105931,20190903,2
105932,20190902,2
105933,20190903,2
105934,20190902,2
105935,20190903,2
105936,20190902,2
105937,20190903,2
105938,20190903,1
105939,20190903,1
105940,20190902,1
205901,20190902,2
