service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1901,0,0,0,0,0,0,0,20191004,20191231
1903,0,0,0,0,0,0,0,20191004,20191231
1904,0,0,0,0,0,0,0,20191004,20191231
1906,0,0,0,0,0,0,0,20191004,20191231
1911,0,0,0,0,0,0,0,20191004,20191231
1912,0,0,0,0,0,0,0,20191004,20191231
1913,0,0,0,0,0,0,0,20191004,20191231
62601,1,1,1,1,1,0,0,20191004,20191005
62602,1,1,1,1,0,0,0,20191004,20191005
62603,0,1,1,1,1,0,0,20191004,20191005
62604,0,1,1,1,1,0,0,20191004,20191005
62605,0,0,0,0,1,0,0,20191004,20191005
62606,0,0,0,0,0,1,0,20191004,20191005
62607,0,0,0,0,0,1,0,20191004,20191005
62608,0,0,0,0,0,0,1,20191004,20191005
62609,0,0,0,0,0,0,1,20191004,20191005
62610,0,0,1,1,1,1,0,20191004,20191005
62611,0,1,1,1,1,1,0,20191004,20191005
62612,0,1,1,1,1,1,0,20191004,20191005
62613,1,0,0,0,0,0,0,20191004,20191005
62614,1,0,0,0,0,0,0,20191004,20191005
62615,1,0,0,0,0,0,0,20191004,20191005
62616,0,1,0,0,0,0,0,20191004,20191005
62617,0,1,0,0,0,0,0,20191004,20191005
62618,1,0,1,1,1,0,0,20191004,20191005
62619,1,0,1,1,1,0,0,20191004,20191005
62620,0,0,1,0,0,0,0,20191004,20191005
62621,0,0,1,0,0,0,0,20191004,20191005
62622,1,1,0,1,1,0,0,20191004,20191005
62623,1,1,0,1,1,0,0,20191004,20191005
62624,0,0,0,1,0,0,0,20191004,20191005
62625,0,0,0,1,0,0,0,20191004,20191005
62626,1,1,1,0,1,0,0,20191004,20191005
62627,1,1,1,0,1,0,0,20191004,20191005
62628,0,1,1,0,0,0,0,20191004,20191005
62629,0,1,1,0,0,0,0,20191004,20191005
62630,1,0,0,1,1,0,0,20191004,20191005
62631,1,0,0,1,1,0,0,20191004,20191005
62632,1,1,0,0,1,0,0,20191004,20191005
62633,1,1,0,0,1,0,0,20191004,20191005
62634,1,1,1,1,1,0,1,20191004,20191005
62635,1,1,1,1,1,0,1,20191004,20191005
62636,1,1,1,1,1,1,0,20191004,20191005
62637,1,1,1,1,1,1,0,20191004,20191005
62638,1,1,1,1,1,1,0,20191004,20191005
62639,1,1,1,1,1,0,0,20191004,20191005
62640,1,1,1,1,0,0,1,20191004,20191005
62641,0,1,1,0,1,0,0,20191004,20191005
62642,0,1,1,0,1,0,0,20191004,20191005
62701,1,1,1,1,1,0,0,20191006,20191231
62702,1,1,1,1,0,0,0,20191006,20191231
62703,0,1,1,1,1,0,0,20191006,20191231
62704,0,1,1,1,1,0,0,20191006,20191231
