service_id,date,exception_type
1901,20191010,1
1901,20191011,1
1901,20191014,1
1901,20191018,1
1901,20191022,1
1901,20191024,1
1901,20191026,1
1903,20191015,1
1903,20191019,1
1904,20191012,1
1904,20191020,1
1904,20191027,1
1904,20191114,1
1904,20191115,1
1906,20191116,1
1911,20191004,1
1911,20191007,1
1911,20191009,1
1911,20191017,1
1911,20191029,1
1912,20191114,1
1912,20191115,1
1913,20191117,1
62701,20191128,2
62701,20191225,2
62702,20191128,2
62702,20191225,2
62703,20191128,2
62703,20191225,2
62704,20191129,2
62704,20191226,2
62705,20191128,2
62705,20191225,2
62706,20191128,2
62706,20191225,2
62707,20191129,2
62707,20191226,2
62708,20191129,2
62708,20191226,2
62709,20191128,1
62709,20191225,1
62710,20191129,2
62710,20191226,2
62711,20191128,2
62711,20191225,2
62712,20191129,2
62712,20191226,2
62713,20191128,2
62713,20191225,2
62714,20191129,2
62714,20191226,2
62715,20191129,1
62715,20191226,1
62716,20191128,2
62716,20191225,2
62717,20191129,2
62717,20191226,2
62718,20191128,2
62718,20191225,2
62719,20191129,2
62719,20191226,2
62720,20191128,2
62720,20191225,2
62721,20191129,2
62721,20191226,2
62722,20191128,2
62722,20191225,2
62723,20191129,2
62723,20191226,2
62724,20191128,2
62724,20191225,2
62725,20191129,2
62725,20191226,2
62726,20191128,2
62726,20191225,2
62727,20191129,2
62727,20191226,2
62728,20191128,2
62728,20191225,2
62729,20191129,2
62729,20191226,2
62730,20191128,2
62730,20191225,2
62731,20191129,2
62731,20191226,2
62732,20191128,2
62732,20191225,2
62733,20191129,2
62733,20191226,2
62734,20191128,2
62734,20191225,2
62735,20191129,2
62735,20191226,2
62736,20191128,2
62736,20191225,2
62737,20191129,2
62737,20191226,2
62738,20191129,1
62738,20191226,1
62739,20191129,1
62739,20191226,1
62740,20191128,1
62740,20191225,1
62741,20191128,2
62741,20191225,2
62742,20191129,2
62742,20191226,2
105901,20191128,2
105901,20191225,2
105902,20191128,2
105902,20191225,2
105903,20191128,2
105903,20191225,2
105904,20191129,2
105904,20191226,2
105905,20191128,2
105905,20191225,2
105906,20191128,2
105906,20191225,2
105907,20191129,2
105907,20191226,2
105908,20191129,2
105908,20191226,2
105909,20191128,1
105909,20191225,1
105910,20191129,2
105910,20191226,2
105911,20191128,2
105911,20191225,2
105912,20191129,2
105912,20191226,2
105913,20191128,2
105913,20191225,2
105914,20191129,2
105914,20191226,2
105915,20191129,1
105915,20191226,1
105916,20191128,2
105916,20191225,2
105917,20191129,2
105917,20191226,2
105918,20191128,2
105918,20191225,2
105919,20191129,2
105919,20191226,2
105920,20191128,2
105920,20191225,2
105921,20191129,2
105921,20191226,2
105922,20191128,2
105922,20191225,2
105923,20191129,2
105923,20191226,2
105924,20191128,2
105924,20191225,2
105925,20191129,2
105925,20191226,2
105926,20191128,2
105926,20191225,2
105927,20191129,2
105927,20191226,2
105928,20191128,2
105928,20191225,2
105929,20191129,2
105929,20191226,2
105930,20191128,2
105930,20191225,2
105931,20191129,2
105931,20191226,2
105932,20191128,2
105932,20191225,2
105933,20191129,2
105933,20191226,2
105934,20191128,2
105934,20191225,2
105935,20191129,2
105935,20191226,2
105936,20191128,2
105936,20191225,2
105937,20191129,2
105937,20191226,2
105938,20191129,1
105938,20191226,1
105939,20191129,1
105939,20191226,1
105940,20191128,1
105940,20191225,1
105941,20191128,2
105941,20191225,2
105942,20191129,2
105942,20191226,2
205901,20191128,2
205901,20191225,2
