service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20180101, 20190526
A2, 0, 0, 0, 0, 0, 1, 0, 20180101, 20190526
A3, 0, 0, 0, 0, 0, 1, 1, 20180101, 20190526
A4, 0, 0, 0, 0, 0, 0, 1, 20180101, 20190526
B1, 1, 1, 1, 1, 1, 0, 0, 20190527, 20190602
B2, 0, 0, 0, 0, 0, 1, 0, 20190527, 20190602
B3, 0, 0, 0, 0, 0, 0, 1, 20190527, 20190602
B4, 0, 0, 0, 0, 0, 1, 1, 20190527, 20190602
E1, 1, 1, 1, 1, 1, 0, 0, 20190603, 20190609
E2, 0, 0, 0, 0, 0, 1, 0, 20190603, 20190609
E3, 0, 0, 0, 0, 0, 1, 1, 20190603, 20190609
E4, 0, 0, 0, 0, 0, 0, 1, 20190603, 20190609
A1A, 1, 1, 1, 1, 1, 0, 0, 20190610, 20191231
A2A, 0, 0, 0, 0, 0, 1, 0, 20190610, 20191231
A3A, 0, 0, 0, 0, 0, 1, 1, 20190610, 20191231
A4A, 0, 0, 0, 0, 0, 0, 1, 20190610, 20191231
C1, 0, 0, 0, 1, 0, 0, 0, 20190530, 20190530
D1, 0, 0, 0, 0, 1, 0, 0, 20190531, 20190531
F1, 1, 0, 0, 0, 0, 0, 0, 20190603, 20190603
G1, 0, 1, 0, 0, 0, 0, 0, 20190604, 20190604
