service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20190527, 20200223
A2, 0, 0, 0, 0, 0, 1, 0, 20190527, 20200223
A3, 0, 0, 0, 0, 0, 1, 1, 20190527, 20200223
A4, 0, 0, 0, 0, 0, 0, 1, 20190527, 20200223
C1, 1, 1, 1, 1, 1, 0, 0, 20200224, 20200301
C2, 0, 0, 0, 0, 0, 1, 0, 20200224, 20200301
C3, 0, 0, 0, 0, 0, 1, 1, 20200224, 20200301
C4, 0, 0, 0, 0, 0, 0, 1, 20200224, 20200301
D1, 1, 1, 1, 1, 1, 0, 0, 20200302, 20200308
D2, 0, 0, 0, 0, 0, 1, 0, 20200302, 20200308
D3, 0, 0, 0, 0, 0, 1, 1, 20200302, 20200308
D4, 0, 0, 0, 0, 0, 0, 1, 20200302, 20200308
E1, 1, 1, 1, 1, 1, 0, 0, 20200309, 20200315
E2, 0, 0, 0, 0, 0, 1, 0, 20200309, 20200315
E3, 0, 0, 0, 0, 0, 1, 1, 20200309, 20200315
E4, 0, 0, 0, 0, 0, 0, 1, 20200309, 20200315
A1A, 1, 1, 1, 1, 1, 0, 0, 20200316, 20200527
A2A, 0, 0, 0, 0, 0, 1, 0, 20200316, 20200527
A3A, 0, 0, 0, 0, 0, 1, 1, 20200316, 20200527
A4A, 0, 0, 0, 0, 0, 0, 1, 20200316, 20200527
