service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
FX0818-fx0818mf-Weekday-02,1,1,1,1,1,0,0,20181119,20190809
FX0818-fx0818sa-Saturday-01,0,0,0,0,0,1,0,20181124,20190810
HR1118-mf1118hr-Weekday-01,1,1,1,1,1,0,0,20181119,20190809
HR1118-hr1118sa-Saturday-01,0,0,0,0,0,1,0,20181124,20190810
NS1018-NS1018WK-Weekday-03,1,1,1,1,1,0,0,20181119,20190809
NS1018-NS1018WK-Weekday-03-0000100,0,0,0,0,1,0,0,20181119,20190809
NS1018-NS1018sa-Saturday-99,0,0,0,0,0,1,0,20181124,20190810
NO1118-no1118su-Sunday-01,0,0,0,0,0,0,1,20181118,20190804
NO1118-no1118mf-Weekday-01,1,1,1,1,1,0,0,20181119,20190809
NO1118-no1118sa-Saturday-01,0,0,0,0,0,1,0,20181124,20190810
NW0818-SUNDAY-Sunday-31,0,0,0,0,0,0,1,20181118,20190804
NW0818-WEEK2-Weekday-12,1,1,1,1,1,0,0,20181119,20190809
NW0818-WEEK2-Weekday-12-1111000,1,1,1,1,0,0,0,20181119,20190809
NW0818-SATURDAY-Saturday-21,0,0,0,0,0,1,0,20181124,20190810
RV0818-WEEKDY-Weekday-13,1,1,1,1,1,0,0,20181119,20190809
RV0818-SATUR-Saturday-09,0,0,0,0,0,1,0,20181124,20190810
STH818-sth-Sunday-03,0,0,0,0,0,0,1,20181118,20190804
STH818-copt5rmb-Weekday-21,1,1,1,1,1,0,0,20181119,20190809
STH818-copt5rmb-Weekday-21-0111100,0,1,1,1,1,0,0,20181119,20190809
STH818-copt5rmb-Weekday-21-1111000,1,1,1,1,0,0,0,20181119,20190809
STH818-copt5rmb-Weekday-21-0000100,0,0,0,0,1,0,0,20181119,20190809
STH818-copt2RMB-Saturday-06,0,0,0,0,0,1,0,20181124,20190810
SW0818-su0818sw-Sunday-01,0,0,0,0,0,0,1,20181118,20190804
SW0818-mf0818sw-Weekday-00,1,1,1,1,1,0,0,20181119,20190809
SW0818-mf0818sw-Weekday-00-0111100,0,1,1,1,1,0,0,20181119,20190809
SW0818-mf0818sw-Weekday-00-1000000,1,0,0,0,0,0,0,20181119,20190809
SW0818-sa0818sw-Saturday-06,0,0,0,0,0,1,0,20181124,20190810
WES818-sun-Sunday-02,0,0,0,0,0,0,1,20181118,20190804
WES818-wk-Weekday-02,1,1,1,1,1,0,0,20181119,20190809
WES818-wk-Weekday-02-0111100,0,1,1,1,1,0,0,20181119,20190809
WES818-cptl-rmb-Saturday-04,0,0,0,0,0,1,0,20181124,20190810
BATAV-mf1210MV-Weekday-00,1,1,1,1,1,0,0,20181119,20190809
GLENVW-glenvw-Sunday-00,0,0,0,0,0,0,1,20181118,20190804
GLENVW-glenvw-Weekday-00,1,1,1,1,1,0,0,20181119,20190809
GLENVW-glenvw-Weekday-00-1111000,1,1,1,1,0,0,0,20181119,20190809
GLENVW-glenvw-Weekday-00-0000100,0,0,0,0,1,0,0,20181119,20190809
GLENVW-glenvw-Saturday-00,0,0,0,0,0,1,0,20181124,20190810
HIGHPK-472-Weekday-02,1,1,1,1,1,0,0,20181119,20190809
HIGHPK-472 Sat-Saturday-01,0,0,0,0,0,1,0,20181124,20190810
MCHENRY-mf1212mc-Weekday-02,1,1,1,1,1,0,0,20181119,20190809
L-NAPR-napr0618-Weekday-00,1,1,1,1,1,0,0,20181119,20190809
NILES-niles-Sunday-17,0,0,0,0,0,0,1,20181118,20190804
NILES-niles-Weekday-17,1,1,1,1,1,0,0,20181119,20190809
NILES-niles-Saturday-17,0,0,0,0,0,1,0,20181124,20190810
ROMEO-mf1210MV-Weekday-00,1,1,1,1,1,0,0,20181119,20190809
TROLLEY-905su-Sunday-04,0,0,0,0,0,0,1,20181118,20190804
TROLLEY-905mf-Weekday-06,1,1,1,1,1,0,0,20181119,20190809
TROLLEY-905sa-Saturday-03,0,0,0,0,0,1,0,20181124,20190810
WSTMNT-wstmnt-Weekday-00,1,1,1,1,1,0,0,20181119,20190809
