service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
FX0819-fx0819mf-Weekday-00,1,1,1,1,1,0,0,20190812,20191115
FX0819-fx0819sa-Saturday-00,0,0,0,0,0,1,0,20190817,20191116
HR0819-hr0819wk-Weekday-01,1,1,1,1,1,0,0,20190812,20191115
HR0819-hr0819sa-Saturday-01,0,0,0,0,0,1,0,20190817,20191116
NS0819-ns0819wk-Weekday-05,1,1,1,1,1,0,0,20190812,20191115
NS0819-ns0819wk-Weekday-05-0000100,0,0,0,0,1,0,0,20190812,20191115
NS0819-ns0819sa-Saturday-01,0,0,0,0,0,1,0,20190817,20191116
NO0819-no0819su-Sunday-01,0,0,0,0,0,0,1,20190811,20191110
NO0819-no0819mf-Weekday-01,1,1,1,1,1,0,0,20190812,20191115
NO0819-no0819sa-Saturday-01,0,0,0,0,0,1,0,20190817,20191116
NW0819-nw0819su-Sunday-04,0,0,0,0,0,0,1,20190811,20191110
NW0819-nw0819mf-Weekday-05,1,1,1,1,1,0,0,20190812,20191115
NW0819-nw0819mf-Weekday-05-1111000,1,1,1,1,0,0,0,20190812,20191115
NW0819-nw0819sa-Saturday-03,0,0,0,0,0,1,0,20190817,20191116
RV0819-rv0819mf-Weekday-02,1,1,1,1,1,0,0,20190812,20191115
RV0819-rv0819sa-Saturday-02,0,0,0,0,0,1,0,20190817,20191116
STH819-sun-Sunday-10,0,0,0,0,0,0,1,20190811,20191110
STH819-wk-Weekday-10,1,1,1,1,1,0,0,20190812,20191115
STH819-wk-Weekday-10-0111100,0,1,1,1,1,0,0,20190812,20191115
STH819-wk-Weekday-10-1111000,1,1,1,1,0,0,0,20190812,20191115
STH819-wk-Weekday-10-0000100,0,0,0,0,1,0,0,20190812,20191115
STH819-sat-Saturday-10,0,0,0,0,0,1,0,20190817,20191116
SW0819-su0819sw-Sunday-00,0,0,0,0,0,0,1,20190811,20191110
SW0819-mf0819sw-Weekday-01,1,1,1,1,1,0,0,20190812,20191115
SW0819-mf0819sw-Weekday-01-0111100,0,1,1,1,1,0,0,20190812,20191115
SW0819-sa0819sw-Saturday-00,0,0,0,0,0,1,0,20190817,20191116
WES819-rmb-Sunday-02,0,0,0,0,0,0,1,20190811,20191110
WES819-RMBcopt3-Weekday-20,1,1,1,1,1,0,0,20190812,20191115
WES819-RMBcopt3-Weekday-20-0111100,0,1,1,1,1,0,0,20190812,20191115
WES819-rmb-Saturday-02,0,0,0,0,0,1,0,20190817,20191116
BATAV-m2019MV-Weekday-19,1,1,1,1,1,0,0,20190812,20191115
GLENVW-glenvw-Sunday-00,0,0,0,0,0,0,1,20190811,20191110
GLENVW-glenvw-Weekday-00,1,1,1,1,1,0,0,20190812,20191115
GLENVW-glenvw-Weekday-00-1111000,1,1,1,1,0,0,0,20190812,20191115
GLENVW-glenvw-Weekday-00-0000100,0,0,0,0,1,0,0,20190812,20191115
GLENVW-glenvw-Saturday-00,0,0,0,0,0,1,0,20190817,20191116
HIGHPK-HighPk-Weekday-00,1,1,1,1,1,0,0,20190812,20191115
HIGHPK-HighPk-Saturday-00,0,0,0,0,0,1,0,20190817,20191116
MCHENRY-MFmchenr-Weekday-00,1,1,1,1,1,0,0,20190812,20191115
L-NAPR-napr0619-Weekday-00,1,1,1,1,1,0,0,20190812,20191115
NILES-niles-Sunday-17,0,0,0,0,0,0,1,20190811,20191110
NILES-niles-Weekday-17,1,1,1,1,1,0,0,20190812,20191115
NILES-niles-Saturday-17,0,0,0,0,0,1,0,20190817,20191116
ROMEO-MFromeo-Weekday-00,1,1,1,1,1,0,0,20190812,20191115
ACTIVE-905su-Sunday-01,0,0,0,0,0,0,1,20190811,20191110
ACTIVE-905mf-Weekday-01,1,1,1,1,1,0,0,20190812,20191115
ACTIVE-905sa-Saturday-01,0,0,0,0,0,1,0,20190817,20191116
WSTMNT-wstmnt19-Weekday-01,1,1,1,1,1,0,0,20190812,20191115
