stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,geo_node_id,stop_code
182n0005,"Washington/School",,41.7775918,-88.1473181,,32186,32186
183s0005,"Washington/School",,41.7774673,-88.147536,,32187,32187
183s0010,"Rt. 59/Naperville Garage",,41.7237658,-88.2300768,,32188,32188
184s0005,"Washington/School",,41.7774726,-88.1475296,,32189,32189
184s0010,"Rt. 59/Naperville Garage",,41.7237801,-88.2300035,,32190,32190
185s0005,"Washington/School",,41.777476,-88.1475473,,32191,32191
185s0010,"Rt. 59/Naperville Garage",,41.7237721,-88.2300051,,32192,32192
204n0285,"Oak Davis",,42.0469133,-87.6867965,,105,105
204n0290,"Oak Church",,42.0483556,-87.686757,,106,106
208e0005,"Milwaukee Ave & Golf Rd",,42.0534296,-87.8368271,,21664,21664
208e0010,"8361 Golf Rd",,42.0545578,-87.8362341,,21665,21665
208e0015,"8331 W Golf Rd",,42.0546053,-87.8340266,,21666,21666
208e0020,"8203 W Golf Rd",,42.054618,-87.8323271,,21667,21667
208e0025,"Golf Rd & Michael Manor",,42.0547348,-87.8288631,,21668,21668
208e0030,"Golf Rd & Washington Rd",,42.0548064,-87.8257626,,21669,21669
208e0035,"Golf Rd & Washington Rd",,42.0548351,-87.8246038,,21670,21670
208e0045,"Golf Rd & Ozanam Ave/ Julie Dr",,42.0549125,-87.8198481,,21672,21672
208e0055,"Golf Rd & Oleander Ave",,42.055046,-87.815496,,21674,21674
208e0060,"Golf Rd & Shermer Rd",,42.0551216,-87.8110768,,21675,21675
208e0085,"Golf Rd & Harlem Ave",,42.0551124,-87.8054051,,21680,21680
208e0100,"Golf Rd & Waukegan Rd",,42.0551124,-87.8008408,,21683,21683
208e0105,"6901 Golf Rd",,42.0551313,-87.7980626,,21684,21684
208e0120,"Golf Rd & Overlook Dr",,42.0551886,-87.7859681,,21687,21687
208e0145,"Old Orchard Rd./Mid-Block/CTA Sign",,42.062585,-87.7635595,,21692,21692
208e0147,"Old Orchard Rd./Woods Dr.",,42.0625499,-87.7611971,,21693,21693
208e0160,"Old Orchard Rd./Traffic Signal/Hampton Inn",,42.0624606,-87.7579228,,21696,21696
208e0165,"Old Orchard Rd./Lawler",,42.0624228,-87.7529311,,21697,21697
208e0170,"Old Orchard Rd./Lavergne",,42.0623988,-87.7518746,,21698,21698
208e0175,"Church St & Skokie Blvd",,42.0479591,-87.7465181,,21699,21699
208e0180,"Church St & Keating Ave",,42.0479608,-87.7459188,,21700,21700
208e0185,"Church St & Kilpatrick Ave",,42.0479808,-87.7447166,,21701,21701
208e0190,"Church St & Niles Center Rd",,42.0479705,-87.7425263,,21703,21703
208e0195,"Church St & Kenton Rd",,42.0479693,-87.7422758,,21704,21704
208e0200,"Church St & Kolmar Ave",,42.0479665,-87.7410863,,21705,21705
208e0205,"Church St & Kilbourn Ave",,42.0479711,-87.739862,,21706,21706
208e0210,"Church St & Kenneth Ave",,42.0479613,-87.7386931,,21707,21707
208e0215,"Church St & Kostner Ave",,42.0479711,-87.7374354,,21708,21708
208e0220,"Church St & Lowell Ave",,42.0479786,-87.7362633,,21709,21709
208e0225,"Church St & Kildare Ave",,42.0479681,-87.7350406,,21710,21710
208e0230,"Church St & Tripp Ave",,42.0479671,-87.7338441,,21711,21711
208e0235,"Church St & Keeler Ave",,42.0479803,-87.7326611,,21712,21712
208e0240,"Church St & Kedvale Ave",,42.0479813,-87.731392,,21713,21713
208e0245,"Church St & Karlov Ave",,42.0479906,-87.7301796,,21714,21714
208e0250,"Church St & Keystone Ave",,42.0479826,-87.7290096,,21715,21715
208e0255,"Church St & Crawford Ave",,42.0479866,-87.7278958,,21716,21716
208e0330,"Golf Rd & Harms Rd",,42.0553221,-87.7658921,,22410,22410
208e0335,"Golf Rd & Woods Dr",,42.0552993,-87.762655,,22411,22411
208e0340,"Golf Rd & Lockwood Ave",,42.0552951,-87.7591113,,22412,22412
208e0355,"Golf Rd & Leamington Ave",,42.0552781,-87.7550008,,22415,22415
208e0400,"Golf Rd & East Prairie Rd",,42.0528108,-87.7102041,,37329,37329
208w0005,"Milwaukee Rd & Golf Rd",,42.0542163,-87.8379341,,21731,21731
208w0015,"8330 West Golf Rd",,42.0548151,-87.8335389,,21733,21733
208w0025,"Golf Rd & Michael Manor",,42.0548866,-87.8284494,,21735,21735
208w0030,"Golf Rd & Washington Rd",,42.0549641,-87.8253566,,21736,21736
208w0045,"Golf Rd & Julie Dr/Ozanam Ave",,42.0550936,-87.8195376,,21739,21739
208w0055,"Golf Rd & Oleander Ave",,42.0551818,-87.8150096,,21741,21741
208w0060,"Golf Rd & Shermer Rd",,42.0552436,-87.8124633,,21742,21742
208w0080,"Golf Rd & Washington St",,42.0553318,-87.8071601,,21746,21746
208w0100,"Golf Rd & Waukegan Rd",,42.0553365,-87.8002644,,21750,21750
208w0105,"6900 Golf Rd",,42.0553673,-87.7977298,,21751,21751
208w0120,"Golf Rd & Overlook Dr",,42.0553083,-87.7855268,,21754,21754
208w0145,"Skokie Courthouse",,42.0627316,-87.7673171,,21759,21759
208w0153,"Old Orchard Rd./Woods Dr.",,42.0626943,-87.7607548,,21761,21761
208w0160,"Old Orchard Rd./Lockwood",,42.0626233,-87.7587518,,21763,21763
