route_id,service_id,trip_id,direction_id,block_id,bikes_allowed,direction_text,wheelchair_accessible,shape_id
715-0,BATAV-m2019MV-Weekday-19,8990600,0,1702581,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990601,0,1702581,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990602,0,1702580,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990603,0,1702584,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990604,0,1702581,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990605,0,1702580,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990606,0,1702584,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990607,0,1702581,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990608,1,1702580,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990609,1,1702581,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990610,1,1702584,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990611,1,1702581,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990612,1,1702584,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990613,1,1702580,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990614,1,1702584,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990615,1,1702581,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990616,1,1702580,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990617,0,1702580,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990618,0,1702584,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990619,0,1702580,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990620,1,1702580,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990621,1,1702584,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990622,0,1702584,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990623,1,1702584,1,South,1,
709-0,BATAV-m2019MV-Weekday-19,8990624,1,1702583,1,South,1,
709-0,BATAV-m2019MV-Weekday-19,8990625,1,1702583,1,South,1,
709-0,BATAV-m2019MV-Weekday-19,8990626,1,1702583,1,South,1,
709-0,BATAV-m2019MV-Weekday-19,8990627,0,1702582,1,North,1,
709-0,BATAV-m2019MV-Weekday-19,8990628,0,1702582,1,North,1,
709-0,BATAV-m2019MV-Weekday-19,8990629,0,1702582,1,North,1,
709-0,BATAV-m2019MV-Weekday-19,8990630,0,1702582,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990635,0,1702584,1,North,1,
715-0,BATAV-m2019MV-Weekday-19,8990636,1,1702581,1,South,1,
674-0,BATAV-m2019MV-Weekday-19,8990637,0,1702586,1,North,1,
674-0,BATAV-m2019MV-Weekday-19,8990638,0,1702586,1,North,1,
674-0,BATAV-m2019MV-Weekday-19,8990639,0,1702586,1,North,1,
674-0,BATAV-m2019MV-Weekday-19,8990640,1,1702585,1,South,1,
674-0,BATAV-m2019MV-Weekday-19,8990641,1,1702585,1,South,1,
674-0,BATAV-m2019MV-Weekday-19,8990642,1,1702585,1,South,1,
715-0,BATAV-m2019MV-Weekday-19,8990648,0,1702581,1,North,1,
711-0,BATAV-m2019MV-Weekday-19,8990649,1,1702588,1,South,1,
711-0,BATAV-m2019MV-Weekday-19,8990650,0,1702588,1,North,1,
711-0,BATAV-m2019MV-Weekday-19,8990651,0,1702588,1,North,1,
711-0,BATAV-m2019MV-Weekday-19,8990652,1,1702588,1,South,1,
711-0,BATAV-m2019MV-Weekday-19,8990653,1,1702587,1,South,1,
711-0,BATAV-m2019MV-Weekday-19,8990654,1,1702587,1,South,1,
711-0,BATAV-m2019MV-Weekday-19,8990655,1,1702588,1,South,1,
711-0,BATAV-m2019MV-Weekday-19,8990656,1,1702587,1,South,1,
