route_id,service_id,trip_id,direction_id,block_id,bikes_allowed,direction_text,wheelchair_accessible,shape_id
715-0,BATAV-Oct19MV-Weekday-00,9409484,0,1754315,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409485,0,1754315,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409486,0,1754314,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409487,0,1754318,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409488,0,1754315,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409489,0,1754314,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409490,0,1754318,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409491,0,1754315,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409492,1,1754314,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409493,1,1754315,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409494,1,1754318,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409495,1,1754315,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409496,1,1754318,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409497,1,1754314,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409498,1,1754318,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409499,1,1754315,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409500,1,1754314,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409501,0,1754314,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409502,0,1754318,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409503,0,1754314,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409504,1,1754314,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409505,1,1754318,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409506,0,1754318,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409507,1,1754318,1,South,1,
709-0,BATAV-Oct19MV-Weekday-00,9409508,1,1754317,1,South,1,
709-0,BATAV-Oct19MV-Weekday-00,9409509,1,1754317,1,South,1,
709-0,BATAV-Oct19MV-Weekday-00,9409510,1,1754317,1,South,1,
709-0,BATAV-Oct19MV-Weekday-00,9409511,0,1754316,1,North,1,
709-0,BATAV-Oct19MV-Weekday-00,9409512,0,1754316,1,North,1,
709-0,BATAV-Oct19MV-Weekday-00,9409513,0,1754316,1,North,1,
709-0,BATAV-Oct19MV-Weekday-00,9409514,0,1754316,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409519,0,1754318,1,North,1,
715-0,BATAV-Oct19MV-Weekday-00,9409520,1,1754315,1,South,1,
674-0,BATAV-Oct19MV-Weekday-00,9409521,0,1754320,1,North,1,
674-0,BATAV-Oct19MV-Weekday-00,9409522,0,1754320,1,North,1,
674-0,BATAV-Oct19MV-Weekday-00,9409523,0,1754320,1,North,1,
674-0,BATAV-Oct19MV-Weekday-00,9409524,1,1754319,1,South,1,
674-0,BATAV-Oct19MV-Weekday-00,9409525,1,1754319,1,South,1,
674-0,BATAV-Oct19MV-Weekday-00,9409526,1,1754319,1,South,1,
715-0,BATAV-Oct19MV-Weekday-00,9409532,0,1754315,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409533,1,1754322,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409534,0,1754322,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409535,0,1754322,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409536,1,1754322,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409537,1,1754321,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409538,1,1754321,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409539,1,1754322,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409540,1,1754321,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409541,0,1754321,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409542,0,1754321,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409543,0,1754321,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409544,0,1754322,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409545,1,1754321,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409546,0,1754322,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409547,1,1754321,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409548,1,1754322,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409549,0,1754321,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409550,1,1754321,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409551,0,1754321,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409552,1,1754322,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409553,1,1754322,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409554,1,1754321,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409555,0,1754321,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409556,1,1754322,1,South,1,
711-0,BATAV-Oct19MV-Weekday-00,9409557,0,1754322,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409558,0,1754322,1,North,1,
711-0,BATAV-Oct19MV-Weekday-00,9409578,0,1754321,1,North,1,
663-0,BATAV-Oct19MV-Weekday-00,9409693,0,1754335,1,North,1,
663-0,BATAV-Oct19MV-Weekday-00,9409694,0,1754335,1,North,1,
663-0,BATAV-Oct19MV-Weekday-00,9409700,0,1754335,1,North,1,
663-0,BATAV-Oct19MV-Weekday-00,9409701,0,1754335,1,North,1,
669-0,BATAV-Oct19MV-Weekday-00,9409702,0,1754336,0,North,1,
669-0,BATAV-Oct19MV-Weekday-00,9409703,0,1754336,0,North,1,
669-0,BATAV-Oct19MV-Weekday-00,9409704,0,1754336,0,North,1,
664-0,BATAV-Oct19MV-Weekday-00,9409713,0,1754337,1,North,1,
664-0,BATAV-Oct19MV-Weekday-00,9409714,0,1754337,1,North,1,
664-0,BATAV-Oct19MV-Weekday-00,9409715,0,1754337,1,North,1,
668-0,BATAV-Oct19MV-Weekday-00,9409716,0,1754338,0,North,1,
668-0,BATAV-Oct19MV-Weekday-00,9409717,0,1754338,0,North,1,
668-0,BATAV-Oct19MV-Weekday-00,9409718,0,1754338,0,North,1,
668-0,BATAV-Oct19MV-Weekday-00,9409719,0,1754338,0,North,1,
665-0,BATAV-Oct19MV-Weekday-00,9409729,0,1754339,1,North,1,
665-0,BATAV-Oct19MV-Weekday-00,9409730,0,1754339,1,North,1,
665-0,BATAV-Oct19MV-Weekday-00,9409731,0,1754339,1,North,1,
662-0,BATAV-Oct19MV-Weekday-00,9409738,0,1754340,1,North,1,
662-0,BATAV-Oct19MV-Weekday-00,9409739,0,1754340,1,North,1,
662-0,BATAV-Oct19MV-Weekday-00,9409740,0,1754340,1,North,1,
662-0,BATAV-Oct19MV-Weekday-00,9409741,0,1754340,1,North,1,
662-0,BATAV-Oct19MV-Weekday-00,9409742,0,1754340,1,North,1,
669-0,BATAV-Oct19MV-Weekday-00,9409744,1,1754342,0,South,1,
662-0,BATAV-Oct19MV-Weekday-00,9409747,1,1754341,1,South,1,
669-0,BATAV-Oct19MV-Weekday-00,9409748,1,1754342,0,South,1,
662-0,BATAV-Oct19MV-Weekday-00,9409749,1,1754341,1,South,1,
662-0,BATAV-Oct19MV-Weekday-00,9409750,1,1754341,1,South,1,
668-0,BATAV-Oct19MV-Weekday-00,9409752,1,1754343,0,South,1,
668-0,BATAV-Oct19MV-Weekday-00,9409753,1,1754343,0,South,1,
669-0,BATAV-Oct19MV-Weekday-00,9409754,1,1754342,0,South,1,
669-0,BATAV-Oct19MV-Weekday-00,9409761,1,1754342,0,South,1,
669-0,BATAV-Oct19MV-Weekday-00,9409762,1,1754342,0,South,1,
662-0,BATAV-Oct19MV-Weekday-00,9409765,1,1754341,1,South,1,
668-0,BATAV-Oct19MV-Weekday-00,9409768,1,1754343,0,South,1,
663-0,BATAV-Oct19MV-Weekday-00,9409773,1,1754344,1,South,1,
663-0,BATAV-Oct19MV-Weekday-00,9409774,1,1754344,1,South,1,
663-0,BATAV-Oct19MV-Weekday-00,9409775,1,1754344,1,South,1,
664-0,BATAV-Oct19MV-Weekday-00,9409779,1,1754345,1,South,1,
