"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25019","0","10","70","0","2017","1","","Nantucket County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1099,5118,5081,5251,75645627,54931930,1254896,1130,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",49,4.7,69,1.4,150,3.0,54,1.0,5163617,7.3,3482388,6.8,53032,4.4,58,5.4
"25019","0","10","70","0","2017","2","","Nantucket County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1110,6132,7364,9396,98599101,48203048,1721071,994,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,2.6,68,1.1,94,1.3,208,2.3,4416155,4.7,2509974,5.5,55067,3.3,29,3.0
"25019","0","10","70","0","2017","3","","Nantucket County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1127,10553,10559,8798,130513727,53454286,1669335,1007,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,2.8,62,0.6,99,0.9,71,0.8,831462,0.6,-289201,-0.5,-189966,-10.2,-1,-0.1
"25019","0","10","70","0","2017","4","","Nantucket County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1131,7605,6472,6123,110270945,23721149,371928,1260,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,2.0,13,0.2,10,0.2,33,0.5,2228179,2.1,698032,3.0,-37068,-9.1,22,1.8
"25019","1","10","71","0","2017","1","","Nantucket County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,53,52,53,968938,0,0,1415,"",0.44,0.52,0.52,0.51,0.47,0.00,0.00,0.91,"",0,0.0,1,1.9,2,4.0,2,3.9,4888,0.5,0,0.0,0,0.0,-39,-2.7
"25019","1","10","71","0","2017","2","","Nantucket County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,52,54,55,944506,0,0,1354,"",0.44,0.44,0.38,0.30,0.33,0.00,0.00,0.91,"",0,0.0,1,2.0,2,3.8,4,7.8,30636,3.4,0,0.0,0,0.0,-15,-1.1
"25019","1","10","71","0","2017","3","","Nantucket County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,53,54,53,1046263,0,0,1509,"",0.44,0.26,0.26,0.31,0.27,0.00,0.00,0.99,"",0,0.0,0,0.0,0,0.0,-3,-5.4,-110627,-9.6,0,0.0,0,0.0,-129,-7.9
"25019","1","10","71","0","2017","4","","Nantucket County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,54,45,44,927836,0,0,1497,"",0.44,0.37,0.36,0.37,0.31,0.00,0.00,0.83,"",0,0.0,2,3.8,-12,-21.1,-10,-18.5,-115374,-11.1,0,0.0,0,0.0,20,1.4
"25019","1","102","72","0","2017","1","","Nantucket County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,53,52,53,968938,0,0,1415,"",0.44,0.53,0.53,0.52,0.48,0.00,0.00,0.91,"",0,0.0,1,1.9,2,4.0,2,3.9,4888,0.5,0,0.0,0,0.0,-39,-2.7
"25019","1","102","72","0","2017","2","","Nantucket County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,52,54,55,944506,0,0,1354,"",0.44,0.44,0.38,0.31,0.34,0.00,0.00,0.91,"",0,0.0,1,2.0,2,3.8,4,7.8,30636,3.4,0,0.0,0,0.0,-15,-1.1
