"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25027","0","10","70","0","2017","1","","Worcester County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",24849,339696,339287,341826,4787061219,2479540744,68636909,1082,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",929,3.9,6442,1.9,6374,1.9,6187,1.8,463062157,10.7,150726934,6.5,3691761,5.7,86,8.6
"25027","0","10","70","0","2017","2","","Worcester County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25111,344656,348507,350753,4574729098,1184675970,28757097,1011,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",744,3.1,4722,1.4,5139,1.5,5884,1.7,159141537,3.6,22726011,2.0,-173594,-0.6,20,2.0
"25027","0","10","70","0","2017","3","","Worcester County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25467,343593,343986,349956,4538781736,779291116,17018185,1010,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",832,3.4,6546,1.9,8069,2.4,5390,1.6,55954941,1.2,-5167852,-0.7,105806,0.6,-7,-0.7
"25027","0","10","70","0","2017","4","","Worcester County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25490,351667,352978,353855,4935573978,725687811,12820901,1076,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",655,2.6,6507,1.9,5881,1.7,7580,2.2,225512486,4.8,34193227,4.9,-251674,-1.9,29,2.8
"25027","1","10","71","0","2017","1","","Worcester County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",120,2995,3006,3014,49470818,0,0,1266,"",0.78,0.44,0.45,0.45,0.38,0.00,0.00,0.85,"",1,0.8,43,1.5,75,2.6,75,2.6,1361354,2.8,0,0.0,0,0.0,8,0.6
"25027","1","10","71","0","2017","2","","Worcester County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",119,2990,3031,3061,49020790,0,0,1246,"",0.78,0.45,0.45,0.45,0.37,0.00,0.00,0.82,"",0,0.0,43,1.5,86,2.9,99,3.3,4884862,11.1,0,0.0,0,0.0,96,8.3
"25027","1","10","71","0","2017","3","","Worcester County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",120,3043,3053,3055,49125871,0,0,1239,"",0.78,0.45,0.45,0.45,0.37,0.00,0.00,0.81,"",1,0.8,84,2.8,58,1.9,68,2.3,-3202023,-6.1,0,0.0,0,0.0,-112,-8.3
"25027","1","10","71","0","2017","4","","Worcester County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",120,3039,3028,3027,51751531,0,0,1313,"",0.78,0.45,0.45,0.44,0.38,0.00,0.00,0.85,"",0,0.0,52,1.7,48,1.6,-16,-0.5,453358,0.9,0,0.0,0,0.0,-1,-0.1
"25027","1","102","72","0","2017","1","","Worcester County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",120,2995,3006,3014,49470818,0,0,1266,"",0.79,0.45,0.46,0.46,0.39,0.00,0.00,0.85,"",1,0.8,43,1.5,75,2.6,75,2.6,1361354,2.8,0,0.0,0,0.0,8,0.6
"25027","1","102","72","0","2017","2","","Worcester County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",119,2990,3031,3061,49020790,0,0,1246,"",0.78,0.45,0.46,0.46,0.38,0.00,0.00,0.82,"",0,0.0,43,1.5,86,2.9,99,3.3,4884862,11.1,0,0.0,0,0.0,96,8.3
