"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17031","0","10","70","0","2018","1","","Cook County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",137386,2534254,2539983,2566449,47018961408,18084261511,464786454,1420,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2060,1.5,15620,0.6,14979,0.6,23375,0.9,2104866258,4.7,518040464,2.9,-29919878,-6.0,54,4.0
"17031","0","10","70","0","2018","2","","Cook County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",138057,2569351,2594452,2625589,41188184540,5866575855,144697000,1220,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1159,0.8,15715,0.6,18105,0.7,25676,1.0,1710947858,4.3,49642439,0.9,-13759604,-8.7,41,3.5
"17031","0","10","70","0","2018","3","","Cook County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",137088,2599618,2595278,2613911,40746705334,3567278950,89646490,1204,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-429,-0.3,27610,1.1,10241,0.4,26300,1.0,1959431340,5.1,109998579,3.2,-5593565,-5.9,48,4.2
"17031","0","10","70","0","2018","4","","Cook County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",137571,2616739,2631418,2627127,45566272872,2898165497,73052871,1335,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1107,-0.8,22298,0.9,27272,1.0,20688,0.8,2141624464,4.9,92988438,3.3,-5038738,-6.5,51,4.0
"17031","1","10","71","0","2018","1","","Cook County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",277,37737,37606,37590,802694378,0,0,1640,"",0.34,0.76,0.77,0.76,0.65,0.00,0.00,0.86,"",-8,-2.8,-365,-1.0,-523,-1.4,-427,-1.1,12441425,1.6,0,0.0,0,0.0,44,2.8
"17031","1","10","71","0","2018","2","","Cook County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",274,37774,37622,37729,802140453,0,0,1636,"",0.34,0.77,0.76,0.75,0.68,0.00,0.00,0.89,"",-9,-3.2,-394,-1.0,-309,-0.8,-226,-0.6,17836971,2.3,0,0.0,0,0.0,49,3.1
"17031","1","10","71","0","2018","3","","Cook County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",273,37631,37600,37716,796296477,0,0,1627,"",0.34,0.75,0.76,0.76,0.68,0.00,0.00,0.90,"",-8,-2.8,-282,-0.7,-275,-0.7,-66,-0.2,14086582,1.8,0,0.0,0,0.0,38,2.4
"17031","1","10","71","0","2018","4","","Cook County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",272,37751,38438,38879,891186969,0,0,1787,"",0.34,0.76,0.77,0.78,0.69,0.00,0.00,0.90,"",-9,-3.2,-240,-0.6,309,0.8,-53,-0.1,75109009,9.2,0,0.0,0,0.0,150,9.2
"17031","1","101","72","0","2018","1","","Cook County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,9,9,9,233033,0,0,1992,"",0.62,0.01,0.01,0.01,0.01,0.00,0.00,1.07,"",0,0.0,0,0.0,-1,-10.0,1,12.5,-6714,-2.8,0,0.0,0,0.0,-57,-2.8
"17031","1","101","72","0","2018","2","","Cook County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,9,9,9,201705,0,0,1724,"",0.63,0.01,0.01,0.01,0.01,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,0,0.0,5766,2.9,0,0.0,0,0.0,49,2.9
"17031","1","101","72","0","2018","3","","Cook County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,9,9,9,241821,0,0,2067,"",0.63,0.01,0.01,0.01,0.01,0.00,0.00,1.16,"",0,0.0,0,0.0,0,0.0,0,0.0,6306,2.7,0,0.0,0,0.0,54,2.7
"17031","1","101","72","0","2018","4","","Cook County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,9,9,9,270300,0,0,2310,"",0.62,0.01,0.01,0.01,0.01,0.00,0.00,1.17,"",0,0.0,0,0.0,0,0.0,0,0.0,31074,13.0,0,0.0,0,0.0,265,13.0
"17031","1","1013","73","0","2018","1","","Cook County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,233033,0,0,1992,"",1.57,0.01,0.01,0.01,0.01,0.00,0.00,1.07,"",0,0.0,0,0.0,-1,-10.0,1,12.5,-6714,-2.8,0,0.0,0,0.0,-57,-2.8
"17031","1","1013","73","0","2018","2","","Cook County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,201705,0,0,1724,"",1.64,0.01,0.01,0.01,0.01,0.00,0.00,0.88,"",0,0.0,0,0.0,0,0.0,0,0.0,5766,2.9,0,0.0,0,0.0,49,2.9
"17031","1","1013","73","0","2018","3","","Cook County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,241821,0,0,2067,"",1.59,0.01,0.01,0.01,0.01,0.00,0.00,1.16,"",0,0.0,0,0.0,0,0.0,0,0.0,6306,2.7,0,0.0,0,0.0,54,2.7
"17031","1","1013","73","0","2018","4","","Cook County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,270300,0,0,2310,"",1.57,0.01,0.01,0.01,0.01,0.00,0.00,1.16,"",0,0.0,0,0.0,0,0.0,0,0.0,31074,13.0,0,0.0,0,0.0,265,13.0
"17031","1","102","72","0","2018","1","","Cook County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",276,37728,37597,37581,802461345,0,0,1640,"",0.34,0.78,0.78,0.78,0.67,0.00,0.00,0.85,"",-8,-2.8,-365,-1.0,-522,-1.4,-428,-1.1,12448139,1.6,0,0.0,0,0.0,44,2.8
"17031","1","102","72","0","2018","2","","Cook County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",273,37765,37613,37720,801938748,0,0,1636,"",0.34,0.78,0.78,0.77,0.69,0.00,0.00,0.89,"",-9,-3.2,-394,-1.0,-309,-0.8,-226,-0.6,17831205,2.3,0,0.0,0,0.0,49,3.1
"17031","1","102","72","0","2018","3","","Cook County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",272,37622,37591,37707,796054656,0,0,1627,"",0.34,0.76,0.77,0.77,0.69,0.00,0.00,0.90,"",-8,-2.9,-282,-0.7,-275,-0.7,-66,-0.2,14080276,1.8,0,0.0,0,0.0,38,2.4
"17031","1","102","72","0","2018","4","","Cook County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",271,37742,38429,38870,890916669,0,0,1787,"",0.34,0.78,0.79,0.79,0.70,0.00,0.00,0.89,"",-9,-3.2,-240,-0.6,309,0.8,-53,-0.1,75077935,9.2,0,0.0,0,0.0,150,9.2
"17031","1","1021","73","0","2018","1","","Cook County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",142,12825,12713,12721,196068152,0,0,1183,"",0.34,1.06,1.06,1.06,0.92,0.00,0.00,0.87,"",0,0.0,-119,-0.9,-277,-2.1,-233,-1.8,3241659,1.7,0,0.0,0,0.0,39,3.4
"17031","1","1021","73","0","2018","2","","Cook County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",142,12926,12762,12792,221629667,0,0,1329,"",0.34,1.08,1.07,1.07,0.98,0.00,0.00,0.92,"",0,0.0,-232,-1.8,-177,-1.4,-173,-1.3,7261173,3.4,0,0.0,0,0.0,63,5.0
"17031","1","1021","73","0","2018","3","","Cook County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",142,12721,12720,12736,189881021,0,0,1148,"",0.35,1.05,1.07,1.06,0.97,0.00,0.00,0.91,"",0,0.0,-244,-1.9,-172,-1.3,-95,-0.7,6570687,3.6,0,0.0,0,0.0,55,5.0
"17031","1","1021","73","0","2018","4","","Cook County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",142,12732,13403,13839,240903256,0,0,1391,"",0.35,1.07,1.10,1.12,0.97,0.00,0.00,0.89,"",0,0.0,-196,-1.5,313,2.4,20,0.1,10388870,4.5,0,0.0,0,0.0,56,4.2
"17031","1","1022","73","0","2018","1","","Cook County, Illinois","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,108,107,108,1524289,0,0,1089,"",1.16,0.93,0.93,0.93,0.51,0.00,0.00,0.54,"",0,0.0,4,3.8,1,0.9,-5,-4.4,22344,1.5,0,0.0,0,0.0,16,1.5
"17031","1","1022","73","0","2018","2","","Cook County, Illinois","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,104,103,104,1293237,0,0,960,"",1.16,0.90,0.89,0.88,0.52,0.00,0.00,0.59,"",0,0.0,-10,-8.8,-11,-9.6,-8,-7.1,-40185,-3.0,0,0.0,0,0.0,55,6.1
"17031","1","1022","73","0","2018","3","","Cook County, Illinois","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,102,102,103,1506674,0,0,1133,"",1.17,0.86,0.88,0.88,0.52,0.00,0.00,0.60,"",0,0.0,-9,-8.1,-10,-8.9,-8,-7.2,-44051,-2.8,0,0.0,0,0.0,62,5.8
