"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25011","0","10","70","0","2018","1","","Franklin County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2497,25941,25977,26172,275965615,172744290,4805871,816,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",75,3.1,-86,-0.3,-55,-0.2,-93,-0.4,4181100,1.5,2477371,1.5,525482,12.3,15,1.9
"25011","0","10","70","0","2018","2","","Franklin County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2521,26755,27160,27534,280671325,102959857,2747279,795,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",82,3.4,-98,-0.4,-49,-0.2,-146,-0.5,4237509,1.5,1559799,1.5,372761,15.7,15,1.9
"25011","0","10","70","0","2018","3","","Franklin County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2505,26919,26735,27396,284441817,66905674,1526519,810,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,1.3,-8,0.0,55,0.2,52,0.2,6608694,2.4,66794,0.1,177036,13.1,18,2.3
"25011","0","10","70","0","2018","4","","Franklin County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2516,27374,27216,27046,299774590,61573239,1028692,847,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",37,1.5,8,0.0,-18,-0.1,-165,-0.6,10984314,3.8,1056668,1.7,117940,12.9,32,3.9
"25011","1","10","71","0","2018","1","","Franklin County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,211,205,206,2943051,0,0,1092,"",2.08,0.42,0.41,0.41,0.41,0.00,0.00,0.99,"",0,0.0,13,6.6,5,2.5,8,4.0,225218,8.3,0,0.0,0,0.0,40,3.8
"25011","1","10","71","0","2018","2","","Franklin County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,208,205,206,3075457,0,0,1147,"",2.08,0.41,0.40,0.39,0.38,0.00,0.00,0.96,"",0,0.0,2,1.0,-3,-1.4,-3,-1.4,141040,4.8,0,0.0,0,0.0,60,5.5
"25011","1","10","71","0","2018","3","","Franklin County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,207,214,210,2917556,0,0,1067,"",2.11,0.40,0.42,0.40,0.36,0.00,0.00,0.88,"",0,0.0,-6,-2.8,6,2.9,1,0.5,49141,1.7,0,0.0,0,0.0,16,1.5
"25011","1","10","71","0","2018","4","","Franklin County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,198,205,206,3337189,0,0,1265,"",2.05,0.38,0.40,0.40,0.39,0.00,0.00,1.00,"",-1,-3.2,-10,-4.8,1,0.5,-1,-0.5,181523,5.8,0,0.0,0,0.0,89,7.6
"25011","1","102","72","0","2018","1","","Franklin County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,211,205,206,2943051,0,0,1092,"",2.08,0.43,0.42,0.42,0.42,0.00,0.00,0.99,"",0,0.0,13,6.6,5,2.5,8,4.0,225218,8.3,0,0.0,0,0.0,40,3.8
"25011","1","102","72","0","2018","2","","Franklin County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,208,205,206,3075457,0,0,1147,"",2.08,0.41,0.40,0.40,0.39,0.00,0.00,0.96,"",0,0.0,2,1.0,-3,-1.4,-3,-1.4,141040,4.8,0,0.0,0,0.0,60,5.5
