"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25017","0","10","70","0","2018","1","","Middlesex County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",55197,905535,908143,911461,21163680057,7964962865,270895826,1792,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",584,1.1,21020,2.4,25523,2.9,24217,2.7,1379472588,7.0,225645224,2.9,39481916,17.1,72,4.2
"25017","0","10","70","0","2018","2","","Middlesex County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",55560,920532,928132,936961,18945895865,2519842605,76799168,1570,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",706,1.3,24638,2.8,26162,2.9,24113,2.6,1082500885,6.1,34357370,1.4,9322524,13.8,49,3.2
"25017","0","10","70","0","2018","3","","Middlesex County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",55838,923266,916291,926407,18721986105,1685777226,48365683,1562,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",508,0.9,20834,2.3,19611,2.2,22088,2.4,1191822966,6.8,15977124,1.0,5931825,14.0,66,4.4
"25017","0","10","70","0","2018","4","","Middlesex County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",56283,933873,938308,940685,20216478026,1489285081,39574157,1659,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1076,1.9,23173,2.5,23900,2.6,25326,2.8,1070707719,5.6,75881428,5.4,6575022,19.9,47,2.9
"25017","1","10","71","0","2018","1","","Middlesex County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",187,11408,11299,11283,238003955,0,0,1616,"",0.57,0.65,0.65,0.65,0.43,0.00,0.00,0.67,"",-2,-1.1,-104,-0.9,-232,-2.0,-225,-2.0,-1964682,-0.8,0,0.0,0,0.0,13,0.8
"25017","1","10","71","0","2018","2","","Middlesex County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",187,11396,11382,11445,248479264,0,0,1676,"",0.57,0.65,0.65,0.64,0.46,0.00,0.00,0.71,"",-3,-1.6,-39,-0.3,-57,-0.5,-140,-1.2,5546525,2.3,0,0.0,0,0.0,49,3.0
"25017","1","10","71","0","2018","3","","Middlesex County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",188,11477,11464,11452,244459028,0,0,1640,"",0.57,0.64,0.65,0.65,0.45,0.00,0.00,0.70,"",-3,-1.6,-151,-1.3,-89,-0.8,-129,-1.1,3860674,1.6,0,0.0,0,0.0,43,2.7
"25017","1","10","71","0","2018","4","","Middlesex County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",189,11424,11463,11472,263918169,0,0,1773,"",0.58,0.65,0.65,0.64,0.46,0.00,0.00,0.71,"",0,0.0,-101,-0.9,-43,-0.4,-16,-0.1,17838868,7.2,0,0.0,0,0.0,128,7.8
"25017","1","102","72","0","2018","1","","Middlesex County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",187,11408,11299,11283,238003955,0,0,1616,"",0.57,0.66,0.66,0.66,0.44,0.00,0.00,0.67,"",-2,-1.1,-104,-0.9,-232,-2.0,-225,-2.0,-1964682,-0.8,0,0.0,0,0.0,13,0.8
"25017","1","102","72","0","2018","2","","Middlesex County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",187,11396,11382,11445,248479264,0,0,1676,"",0.57,0.66,0.66,0.65,0.47,0.00,0.00,0.71,"",-3,-1.6,-39,-0.3,-57,-0.5,-140,-1.2,5546525,2.3,0,0.0,0,0.0,49,3.0
