"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25021","0","10","70","0","2018","1","","Norfolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25263,350872,349433,350433,5843716533,2841003980,95838144,1283,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",39,0.2,4025,1.2,6561,1.9,4761,1.4,152006435,2.7,52043412,1.9,11629739,13.8,14,1.1
"25021","0","10","70","0","2018","2","","Norfolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25389,351621,356047,360548,5629954813,1063855289,33180805,1216,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",108,0.4,1687,0.5,2334,0.7,1638,0.5,199728908,3.7,11793271,1.1,3813665,13.0,37,3.1
"25021","0","10","70","0","2018","3","","Norfolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25342,353355,352431,353861,5395413928,668237476,19469948,1175,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-90,-0.4,1094,0.3,-257,-0.1,575,0.2,167043897,3.2,-3021082,-0.5,1375072,7.6,35,3.1
"25021","0","10","70","0","2018","4","","Norfolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25499,356339,356606,357093,6545515578,572117638,15084829,1412,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",206,0.8,1863,0.5,-197,-0.1,-149,0.0,265121499,4.2,4345315,0.8,1491383,11.0,56,4.1
"25021","1","10","71","0","2018","1","","Norfolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",60,1555,1514,1506,27425441,0,0,1383,"",0.40,0.23,0.22,0.22,0.18,0.00,0.00,0.80,"",-1,-1.6,14,0.9,-29,-1.9,-39,-2.5,19013,0.1,0,0.0,0,0.0,17,1.2
"25021","1","10","71","0","2018","2","","Norfolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",59,1509,1493,1504,29269202,0,0,1499,"",0.39,0.22,0.22,0.22,0.18,0.00,0.00,0.82,"",-2,-3.3,-24,-1.6,-65,-4.2,-71,-4.5,365138,1.3,0,0.0,0,0.0,69,4.8
"25021","1","10","71","0","2018","3","","Norfolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,1518,1497,1498,28058641,0,0,1435,"",0.39,0.22,0.22,0.22,0.18,0.00,0.00,0.82,"",-2,-3.3,-64,-4.0,-78,-5.0,-87,-5.5,479874,1.7,0,0.0,0,0.0,93,6.9
"25021","1","10","71","0","2018","4","","Norfolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",59,1482,1471,1468,31751823,0,0,1657,"",0.40,0.22,0.22,0.22,0.17,0.00,0.00,0.78,"",-1,-1.7,-103,-6.5,-77,-5.0,-79,-5.1,1232356,4.0,0,0.0,0,0.0,152,10.1
"25021","1","102","72","0","2018","1","","Norfolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",60,1555,1514,1506,27425441,0,0,1383,"",0.40,0.23,0.23,0.23,0.18,0.00,0.00,0.80,"",-1,-1.6,14,0.9,-29,-1.9,-39,-2.5,19013,0.1,0,0.0,0,0.0,17,1.2
"25021","1","102","72","0","2018","2","","Norfolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",59,1509,1493,1504,29269202,0,0,1499,"",0.39,0.23,0.22,0.22,0.18,0.00,0.00,0.82,"",-2,-3.3,-24,-1.6,-65,-4.2,-71,-4.5,365138,1.3,0,0.0,0,0.0,69,4.8
"25021","1","102","72","0","2018","3","","Norfolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",58,1518,1497,1498,28058641,0,0,1435,"",0.39,0.23,0.23,0.23,0.18,0.00,0.00,0.82,"",-2,-3.3,-64,-4.0,-78,-5.0,-87,-5.5,479874,1.7,0,0.0,0,0.0,93,6.9
"25021","1","102","72","0","2018","4","","Norfolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",59,1482,1471,1468,31751823,0,0,1657,"",0.40,0.22,0.22,0.22,0.17,0.00,0.00,0.78,"",-1,-1.7,-103,-6.5,-77,-5.0,-79,-5.1,1232356,4.0,0,0.0,0,0.0,152,10.1
"25021","1","1021","73","0","2018","1","","Norfolk County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",40,1252,1214,1204,18337290,0,0,1153,"",0.52,0.75,0.74,0.74,0.69,0.00,0.00,0.94,"",-1,-2.4,14,1.1,-30,-2.4,-47,-3.8,-211916,-1.1,0,0.0,0,0.0,6,0.5
"25021","1","1021","73","0","2018","2","","Norfolk County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",40,1204,1175,1188,20971496,0,0,1357,"",0.52,0.73,0.72,0.72,0.68,0.00,0.00,0.94,"",-1,-2.4,-28,-2.3,-75,-6.0,-65,-5.2,92100,0.4,0,0.0,0,0.0,67,5.2
"25021","1","1021","73","0","2018","3","","Norfolk County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",40,1195,1171,1178,18578006,0,0,1210,"",0.53,0.73,0.72,0.73,0.71,0.00,0.00,0.99,"",0,0.0,-58,-4.6,-75,-6.0,-70,-5.6,368872,2.0,0,0.0,0,0.0,89,7.9
"25021","1","1021","73","0","2018","4","","Norfolk County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",40,1173,1178,1176,22548662,0,0,1475,"",0.53,0.72,0.71,0.70,0.63,0.00,0.00,0.89,"",0,0.0,-75,-6.0,-62,-5.0,-64,-5.2,396474,1.8,0,0.0,0,0.0,104,7.6
"25021","1","1023","73","0","2018","1","","Norfolk County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,121,120,121,5035706,0,0,3210,"",0.98,3.89,3.94,4.00,4.70,0.00,0.00,1.19,"",0,0.0,-6,-4.7,0,0.0,0,0.0,42392,0.8,0,0.0,0,0.0,79,2.5
"25021","1","1023","73","0","2018","2","","Norfolk County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,121,119,119,4253472,0,0,2734,"",0.99,4.04,3.97,3.92,4.49,0.00,0.00,1.13,"",0,0.0,-2,-1.6,-3,-2.5,-8,-6.3,31745,0.8,0,0.0,0,0.0,115,4.4
"25021","1","1023","73","0","2018","3","","Norfolk County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,121,123,121,5064960,0,0,3202,"",1.00,4.02,4.14,4.13,4.92,0.00,0.00,1.20,"",0,0.0,-6,-4.7,-5,-3.9,-5,-4.0,88501,1.8,0,0.0,0,0.0,188,6.2
"25021","1","1023","73","0","2018","4","","Norfolk County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,118,118,118,4797115,0,0,3127,"",1.00,3.99,4.02,4.00,4.18,0.00,0.00,1.05,"",0,0.0,-7,-5.6,-6,-4.8,-6,-4.8,496520,11.5,0,0.0,0,0.0,466,17.5
"25021","1","1025","73","0","2018","1","","Norfolk County, Massachusetts","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,35,34,35,813733,0,0,1806,"",0.57,0.03,0.03,0.03,0.04,0.00,0.00,1.11,"",0,0.0,1,2.9,-1,-2.9,1,2.9,-80959,-9.0,0,0.0,0,0.0,-199,-9.9
"25021","1","1025","73","0","2018","2","","Norfolk County, Massachusetts","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,36,34,33,912966,0,0,2045,"",0.57,0.04,0.03,0.03,0.04,0.00,0.00,1.09,"",0,0.0,2,5.9,1,3.0,0,0.0,-89881,-9.0,0,0.0,0,0.0,-269,-11.6
"25021","1","1025","73","0","2018","3","","Norfolk County, Massachusetts","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,34,33,32,804321,0,0,1875,"",0.58,0.03,0.03,0.03,0.04,0.00,0.00,1.16,"",0,0.0,1,3.0,2,6.5,0,0.0,-27989,-3.4,0,0.0,0,0.0,-126,-6.3
"25021","1","1025","73","0","2018","4","","Norfolk County, Massachusetts","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,30,29,32,898606,0,0,2279,"",0.58,0.03,0.03,0.03,0.03,0.00,0.00,1.11,"",0,0.0,-3,-9.1,-4,-12.1,-1,-3.0,-15345,-1.7,0,0.0,0,0.0,149,7.0
"25021","1","1026","73","0","2018","1","","Norfolk County, Massachusetts","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,31,32,33,695171,0,0,1671,"",0.77,0.28,0.29,0.30,0.45,0.00,0.00,1.55,"",0,0.0,-1,-3.1,0,0.0,1,3.1,20704,3.1,0,0.0,0,0.0,50,3.1
"25021","1","1026","73","0","2018","2","","Norfolk County, Massachusetts","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,33,50,55,748164,0,0,1251,"",0.77,0.29,0.42,0.42,0.48,0.00,0.00,1.26,"",0,0.0,1,3.1,6,13.6,5,10.0,66263,9.7,0,0.0,0,0.0,2,0.2
"25021","1","1026","73","0","2018","3","","Norfolk County, Massachusetts","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,60,60,57,949220,0,0,1238,"",0.78,0.46,0.47,0.45,0.53,0.00,0.00,1.15,"",0,0.0,7,13.2,8,15.4,5,9.6,-16912,-1.8,0,0.0,0,0.0,-182,-12.8
"25021","1","1026","73","0","2018","4","","Norfolk County, Massachusetts","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,50,31,32,769897,0,0,1572,"",0.78,0.42,0.28,0.29,0.43,0.00,0.00,1.30,"",0,0.0,-1,-2.0,-1,-3.1,1,3.2,164230,27.1,0,0.0,0,0.0,346,28.2
"25021","1","1028","73","0","2018","1","","Norfolk County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,116,114,113,2543541,0,0,1711,"",0.22,0.03,0.03,0.03,0.03,0.00,0.00,0.86,"",0,0.0,6,5.5,2,1.8,6,5.6,248792,10.8,0,0.0,0,0.0,101,6.3
"25021","1","1028","73","0","2018","2","","Norfolk County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,115,115,109,2383104,0,0,1622,"",0.20,0.03,0.03,0.03,0.02,0.00,0.00,0.81,"",-1,-7.7,3,2.7,6,5.5,-3,-2.7,264911,12.5,0,0.0,0,0.0,154,10.5
"25021","1","1028","73","0","2018","3","","Norfolk County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,108,110,110,2662134,0,0,1873,"",0.19,0.03,0.03,0.03,0.03,0.00,0.00,0.92,"",-2,-15.4,-8,-6.9,-8,-6.8,-17,-13.4,67402,2.6,0,0.0,0,0.0,214,12.9
"25021","1","1028","73","0","2018","4","","Norfolk County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,111,115,110,2737543,0,0,1880,"",0.20,0.03,0.03,0.03,0.02,0.00,0.00,0.80,"",-1,-7.7,-17,-13.3,-4,-3.4,-9,-7.6,190477,7.5,0,0.0,0,0.0,274,17.1
"25021","1","48-49","74","0","2018","1","","Norfolk County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",40,1252,1214,1204,18337290,0,0,1153,"",0.54,0.82,0.81,0.80,0.74,0.00,0.00,0.92,"",-1,-2.4,14,1.1,-30,-2.4,-47,-3.8,-211916,-1.1,0,0.0,0,0.0,6,0.5
"25021","1","48-49","74","0","2018","2","","Norfolk County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",40,1204,1175,1188,20971496,0,0,1357,"",0.54,0.80,0.78,0.79,0.73,0.00,0.00,0.92,"",-1,-2.4,-28,-2.3,-75,-6.0,-65,-5.2,92100,0.4,0,0.0,0,0.0,67,5.2
"25021","1","48-49","74","0","2018","3","","Norfolk County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",40,1195,1171,1178,18578006,0,0,1210,"",0.55,0.80,0.79,0.79,0.77,0.00,0.00,0.97,"",0,0.0,-58,-4.6,-75,-6.0,-70,-5.6,368872,2.0,0,0.0,0,0.0,89,7.9
"25021","1","48-49","74","0","2018","4","","Norfolk County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",40,1173,1178,1176,22548662,0,0,1475,"",0.55,0.79,0.78,0.76,0.68,0.00,0.00,0.88,"",0,0.0,-75,-6.0,-62,-5.0,-64,-5.2,396474,1.8,0,0.0,0,0.0,104,7.6
"25021","1","491","75","0","2018","1","","Norfolk County, Massachusetts","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,1252,1214,1204,18337290,0,0,1153,"",0.54,0.83,0.82,0.82,0.78,0.00,0.00,0.95,"",0,0.0,15,1.2,-29,-2.3,-46,-3.7,-177797,-1.0,0,0.0,0,0.0,8,0.7
"25021","1","491","75","0","2018","2","","Norfolk County, Massachusetts","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,1204,1175,1188,20971496,0,0,1357,"",0.54,0.82,0.80,0.80,0.76,0.00,0.00,0.94,"",0,0.0,-28,-2.3,-75,-6.0,-65,-5.2,92100,0.4,0,0.0,0,0.0,67,5.2
"25021","1","491","75","0","2018","3","","Norfolk County, Massachusetts","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,1195,1171,1178,18578006,0,0,1210,"",0.55,0.81,0.81,0.81,0.81,0.00,0.00,1.00,"",0,0.0,-58,-4.6,-75,-6.0,-70,-5.6,368872,2.0,0,0.0,0,0.0,89,7.9
"25021","1","491","75","0","2018","4","","Norfolk County, Massachusetts","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,1173,1178,1176,22548662,0,0,1475,"",0.55,0.81,0.80,0.78,0.71,0.00,0.00,0.90,"",0,0.0,-75,-6.0,-62,-5.0,-64,-5.2,396474,1.8,0,0.0,0,0.0,104,7.6
"25021","1","4911","76","0","2018","1","","Norfolk County, Massachusetts","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",40,1252,1214,1204,18337290,0,0,1153,"",0.54,0.83,0.82,0.82,0.78,0.00,0.00,0.95,"",0,0.0,15,1.2,-29,-2.3,-46,-3.7,-177797,-1.0,0,0.0,0,0.0,8,0.7
"25021","1","4911","76","0","2018","2","","Norfolk County, Massachusetts","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",40,1204,1175,1188,20971496,0,0,1357,"",0.54,0.82,0.80,0.80,0.76,0.00,0.00,0.94,"",0,0.0,-28,-2.3,-75,-6.0,-65,-5.2,92100,0.4,0,0.0,0,0.0,67,5.2
"25021","1","4911","76","0","2018","3","","Norfolk County, Massachusetts","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",40,1195,1171,1178,18578006,0,0,1210,"",0.55,0.81,0.81,0.81,0.81,0.00,0.00,1.00,"",0,0.0,-58,-4.6,-75,-6.0,-70,-5.6,368872,2.0,0,0.0,0,0.0,89,7.9
"25021","1","4911","76","0","2018","4","","Norfolk County, Massachusetts","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",40,1173,1178,1176,22548662,0,0,1475,"",0.55,0.81,0.80,0.78,0.71,0.00,0.00,0.90,"",0,0.0,-75,-6.0,-62,-5.0,-64,-5.2,396474,1.8,0,0.0,0,0.0,104,7.6
"25021","1","49111","77","0","2018","1","","Norfolk County, Massachusetts","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",40,1252,1214,1204,18337290,0,0,1153,"",0.54,0.83,0.82,0.82,0.78,0.00,0.00,0.95,"",0,0.0,15,1.2,-29,-2.3,-46,-3.7,-177797,-1.0,0,0.0,0,0.0,8,0.7
"25021","1","49111","77","0","2018","2","","Norfolk County, Massachusetts","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",40,1204,1175,1188,20971496,0,0,1357,"",0.54,0.82,0.80,0.80,0.76,0.00,0.00,0.94,"",0,0.0,-28,-2.3,-75,-6.0,-65,-5.2,92100,0.4,0,0.0,0,0.0,67,5.2
"25021","1","49111","77","0","2018","3","","Norfolk County, Massachusetts","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",40,1195,1171,1178,18578006,0,0,1210,"",0.55,0.81,0.81,0.81,0.81,0.00,0.00,1.00,"",0,0.0,-58,-4.6,-75,-6.0,-70,-5.6,368872,2.0,0,0.0,0,0.0,89,7.9
"25021","1","49111","77","0","2018","4","","Norfolk County, Massachusetts","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",40,1173,1178,1176,22548662,0,0,1475,"",0.55,0.81,0.80,0.78,0.71,0.00,0.00,0.90,"",0,0.0,-75,-6.0,-62,-5.0,-64,-5.2,396474,1.8,0,0.0,0,0.0,104,7.6
"25021","1","491110","78","0","2018","1","","Norfolk County, Massachusetts","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",40,1252,1214,1204,18337290,0,0,1153,"",0.54,0.83,0.82,0.82,0.78,0.00,0.00,0.95,"",0,0.0,15,1.2,-29,-2.3,-46,-3.7,-177797,-1.0,0,0.0,0,0.0,8,0.7
"25021","1","491110","78","0","2018","2","","Norfolk County, Massachusetts","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",40,1204,1175,1188,20971496,0,0,1357,"",0.54,0.82,0.80,0.80,0.76,0.00,0.00,0.94,"",0,0.0,-28,-2.3,-75,-6.0,-65,-5.2,92100,0.4,0,0.0,0,0.0,67,5.2
"25021","1","491110","78","0","2018","3","","Norfolk County, Massachusetts","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",40,1195,1171,1178,18578006,0,0,1210,"",0.55,0.81,0.81,0.81,0.81,0.00,0.00,1.00,"",0,0.0,-58,-4.6,-75,-6.0,-70,-5.6,368872,2.0,0,0.0,0,0.0,89,7.9
"25021","1","491110","78","0","2018","4","","Norfolk County, Massachusetts","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",40,1173,1178,1176,22548662,0,0,1475,"",0.55,0.81,0.80,0.78,0.71,0.00,0.00,0.90,"",0,0.0,-75,-6.0,-62,-5.0,-64,-5.2,396474,1.8,0,0.0,0,0.0,104,7.6
"25021","1","52","74","0","2018","1","","Norfolk County, Massachusetts","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,121,120,121,5035706,0,0,3210,"",0.99,3.90,3.95,4.01,4.70,0.00,0.00,1.19,"",0,0.0,-6,-4.7,0,0.0,0,0.0,42392,0.8,0,0.0,0,0.0,79,2.5
"25021","1","52","74","0","2018","2","","Norfolk County, Massachusetts","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,121,119,119,4253472,0,0,2734,"",1.00,4.05,3.98,3.93,4.49,0.00,0.00,1.13,"",0,0.0,-2,-1.6,-3,-2.5,-8,-6.3,31745,0.8,0,0.0,0,0.0,115,4.4
"25021","1","52","74","0","2018","3","","Norfolk County, Massachusetts","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,121,123,121,5064960,0,0,3202,"",1.01,4.03,4.15,4.14,4.92,0.00,0.00,1.20,"",0,0.0,-6,-4.7,-5,-3.9,-5,-4.0,88501,1.8,0,0.0,0,0.0,188,6.2
"25021","1","52","74","0","2018","4","","Norfolk County, Massachusetts","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,118,118,118,4797115,0,0,3127,"",1.00,4.00,4.02,4.01,4.18,0.00,0.00,1.04,"",0,0.0,-7,-5.6,-6,-4.8,-6,-4.8,496520,11.5,0,0.0,0,0.0,466,17.5
"25021","1","524","75","0","2018","1","","Norfolk County, Massachusetts","Federal Government","NAICS 524 Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,121,120,121,5035706,0,0,3210,"",5.94,7.47,7.55,7.60,7.35,0.00,0.00,0.98,"",0,0.0,-6,-4.7,0,0.0,0,0.0,42392,0.8,0,0.0,0,0.0,79,2.5
"25021","1","524","75","0","2018","2","","Norfolk County, Massachusetts","Federal Government","NAICS 524 Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,121,119,119,4253472,0,0,2734,"",5.91,7.74,7.61,7.42,7.23,0.00,0.00,0.95,"",0,0.0,-2,-1.6,-3,-2.5,-8,-6.3,31745,0.8,0,0.0,0,0.0,115,4.4
"25021","1","524","75","0","2018","3","","Norfolk County, Massachusetts","Federal Government","NAICS 524 Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,121,123,121,5064960,0,0,3202,"",5.96,7.58,7.79,7.82,7.67,0.00,0.00,0.99,"",0,0.0,-6,-4.7,-5,-3.9,-5,-4.0,88501,1.8,0,0.0,0,0.0,188,6.2
"25021","1","524","75","0","2018","4","","Norfolk County, Massachusetts","Federal Government","NAICS 524 Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,118,118,118,4797115,0,0,3127,"",5.98,7.55,7.62,7.56,6.62,0.00,0.00,0.87,"",0,0.0,-7,-5.6,-6,-4.8,-6,-4.8,496520,11.5,0,0.0,0,0.0,466,17.5
"25021","1","5241","76","0","2018","1","","Norfolk County, Massachusetts","Federal Government","NAICS 5241 Insurance carriers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,121,120,121,5035706,0,0,3210,"",7.39,7.88,7.96,8.02,7.61,0.00,0.00,0.96,"",0,0.0,-6,-4.7,0,0.0,0,0.0,42392,0.8,0,0.0,0,0.0,79,2.5
