"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25007","0","10","70","0","2019","1","","Dukes County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1289,7060,6899,7030,100255774,62038766,1781330,1102,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.2,84,1.2,-57,-0.8,-21,-0.3,3673513,3.8,1759693,2.9,131025,7.9,40,3.8
"25007","0","10","70","0","2019","2","","Dukes County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1304,7726,8923,11018,117037615,46423379,1874404,976,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.4,56,0.7,0,0.0,-238,-2.1,3195500,2.8,91593,0.2,103173,5.8,33,3.5
"25007","0","10","70","0","2019","3","","Dukes County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1333,12572,12484,10331,149601475,54296512,2395511,976,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",30,2.3,97,0.8,110,0.9,204,2.0,6730406,4.7,1436396,2.7,183267,8.3,33,3.5
"25007","0","10","70","0","2019","4","","Dukes County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1317,8908,7961,7906,126098695,24686676,468457,1175,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,0.7,77,0.9,58,0.7,257,3.4,9729116,8.4,396435,1.6,24979,5.6,74,6.7
"25007","1","10","71","0","2019","1","","Dukes County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,45,46,46,578415,0,0,974,"",0.92,0.33,0.35,0.34,0.23,0.00,0.00,0.68,"",-1,-12.5,-2,-4.3,0,0.0,1,2.2,-51447,-8.2,0,0.0,0,0.0,-79,-7.5
"25007","1","10","71","0","2019","2","","Dukes County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,47,51,51,639043,0,0,990,"",0.79,0.32,0.30,0.24,0.19,0.00,0.00,0.68,"",-2,-25.0,2,4.4,7,15.9,11,27.5,-29430,-4.4,0,0.0,0,0.0,-206,-17.2
"25007","1","10","71","0","2019","3","","Dukes County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,47,47,45,702771,0,0,1167,"",0.88,0.19,0.20,0.23,0.17,0.00,0.00,0.82,"",-1,-12.5,6,14.6,4,9.3,3,7.1,30368,4.5,0,0.0,0,0.0,-65,-5.3
"25007","1","10","71","0","2019","4","","Dukes County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,48,46,46,762484,0,0,1257,"",0.90,0.28,0.31,0.31,0.22,0.00,0.00,0.73,"",-1,-12.5,7,17.1,-2,-4.2,0,0.0,19012,2.6,0,0.0,0,0.0,-14,-1.1
"25007","1","102","72","0","2019","1","","Dukes County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,45,46,46,578415,0,0,974,"",0.92,0.34,0.35,0.35,0.24,0.00,0.00,0.68,"",-1,-12.5,-2,-4.3,0,0.0,1,2.2,-51447,-8.2,0,0.0,0,0.0,-79,-7.5
"25007","1","102","72","0","2019","2","","Dukes County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,47,51,51,639043,0,0,990,"",0.79,0.33,0.31,0.25,0.20,0.00,0.00,0.68,"",-2,-25.0,2,4.4,7,15.9,11,27.5,-29430,-4.4,0,0.0,0,0.0,-206,-17.2
"25007","1","102","72","0","2019","3","","Dukes County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,47,47,45,702771,0,0,1167,"",0.88,0.20,0.20,0.23,0.17,0.00,0.00,0.82,"",-1,-12.5,6,14.6,4,9.3,3,7.1,30368,4.5,0,0.0,0,0.0,-65,-5.3
"25007","1","102","72","0","2019","4","","Dukes County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,48,46,46,762484,0,0,1257,"",0.90,0.29,0.31,0.31,0.22,0.00,0.00,0.73,"",-1,-12.5,7,17.1,-2,-4.2,0,0.0,19012,2.6,0,0.0,0,0.0,-14,-1.1
"25007","1","1021","73","0","2019","1","","Dukes County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,33,34,34,405659,0,0,927,"",1.56,1.01,1.07,1.05,0.92,0.00,0.00,0.88,"",0,0.0,-1,-2.9,1,3.0,2,6.2,-12373,-3.0,0,0.0,0,0.0,-47,-4.8
"25007","1","1021","73","0","2019","2","","Dukes County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,33,37,36,466122,0,0,1015,"",1.30,0.94,0.91,0.72,0.76,0.00,0.00,0.91,"",-1,-16.7,0,0.0,5,15.6,7,24.1,-32883,-6.6,0,0.0,0,0.0,-210,-17.1
"25007","1","1021","73","0","2019","3","","Dukes County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,33,32,30,465083,0,0,1130,"",1.28,0.57,0.56,0.64,0.68,0.00,0.00,1.15,"",-1,-16.7,3,10.0,0,0.0,-2,-6.2,-5156,-1.1,0,0.0,0,0.0,-24,-2.1
"25007","1","1021","73","0","2019","4","","Dukes County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,33,31,32,522154,0,0,1255,"",1.30,0.82,0.86,0.88,0.82,0.00,0.00,0.96,"",-1,-16.7,3,10.0,-4,-11.4,-2,-5.9,-24115,-4.4,0,0.0,0,0.0,-18,-1.4
