"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25013","0","10","70","0","2019","1","","Hampden County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",18881,207865,209492,210984,2753312094,1365523576,47248051,1011,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",450,2.4,3991,2.0,4401,2.1,4780,2.3,141757023,5.4,50424381,3.8,5168118,12.3,31,3.2
"25013","0","10","70","0","2019","2","","Hampden County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",18741,213894,214764,213923,2599483827,691520997,22438132,934,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",57,0.3,4431,2.1,4224,2.0,3133,1.5,99805513,4.0,18058131,2.7,2388051,11.9,20,2.2
"25013","0","10","70","0","2019","3","","Hampden County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",18683,210116,209177,214877,2603050886,439339227,12619185,947,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",43,0.2,3565,1.7,1423,0.7,1630,0.8,70384327,2.8,-3787859,-0.9,770186,6.5,16,1.7
"25013","0","10","70","0","2019","4","","Hampden County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",18595,214927,214780,215264,2800895589,390251350,9458325,1002,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-341,-1.8,601,0.3,691,0.3,727,0.3,70174409,2.6,-17255674,-4.2,416558,4.6,22,2.2
"25013","1","10","71","0","2019","1","","Hampden County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,3629,3664,3663,62837150,0,0,1324,"",0.62,0.91,0.91,0.91,0.93,0.00,0.00,1.01,"",0,0.0,-128,-3.4,-33,-0.9,-25,-0.7,-848107,-1.3,0,0.0,0,0.0,5,0.4
"25013","1","10","71","0","2019","2","","Hampden County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,3625,3633,3631,70106651,0,0,1486,"",0.63,0.89,0.89,0.90,0.95,0.00,0.00,1.07,"",0,0.0,-95,-2.6,-50,-1.4,-19,-0.5,214620,0.3,0,0.0,0,0.0,27,1.9
"25013","1","10","71","0","2019","3","","Hampden County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,3656,3660,3699,61774307,0,0,1294,"",0.62,0.90,0.91,0.90,0.84,0.00,0.00,0.93,"",0,0.0,44,1.2,112,3.2,147,4.1,537601,0.9,0,0.0,0,0.0,-25,-1.9
"25013","1","10","71","0","2019","4","","Hampden County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,3679,3954,4015,71865224,0,0,1424,"",0.63,0.90,0.97,0.98,0.93,0.00,0.00,0.98,"",0,0.0,80,2.2,70,1.8,-15,-0.4,-1089817,-1.5,0,0.0,0,0.0,-38,-2.6
"25013","1","102","72","0","2019","1","","Hampden County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",69,3629,3664,3663,62837150,0,0,1324,"",0.62,0.93,0.93,0.93,0.94,0.00,0.00,1.01,"",0,0.0,-128,-3.4,-33,-0.9,-25,-0.7,-848107,-1.3,0,0.0,0,0.0,5,0.4
"25013","1","102","72","0","2019","2","","Hampden County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",69,3625,3633,3631,70106651,0,0,1486,"",0.63,0.91,0.91,0.91,0.97,0.00,0.00,1.07,"",0,0.0,-95,-2.6,-50,-1.4,-19,-0.5,214620,0.3,0,0.0,0,0.0,27,1.9
