"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25015","0","10","70","0","2019","1","","Hampshire County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4911,64370,65309,65314,805190737,476848209,11727186,953,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",59,1.2,822,1.3,703,1.1,728,1.1,50438988,6.7,33149743,7.5,1530868,15.0,49,5.4
"25015","0","10","70","0","2019","2","","Hampshire County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4910,66013,69065,67673,853131212,344624190,5915298,971,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",37,0.8,122,0.2,2808,4.2,-578,-0.8,39783161,4.9,16953624,5.2,359690,6.5,34,3.6
"25015","0","10","70","0","2019","3","","Hampshire County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4892,66497,65936,66478,820839255,260691577,3539512,952,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,0.0,276,0.4,240,0.4,729,1.1,44707609,5.8,13985010,5.7,129478,3.8,46,5.1
"25015","0","10","70","0","2019","4","","Hampshire County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4893,66774,67056,66411,890795116,261991241,2913129,1027,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-29,-0.6,513,0.8,259,0.4,463,0.7,39060095,4.6,1840777,0.7,-11511,-0.4,39,3.9
"25015","1","10","71","0","2019","1","","Hampshire County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",41,1417,1423,1417,25264425,0,0,1370,"",1.41,1.15,1.14,1.14,1.27,0.00,0.00,1.11,"",1,2.5,-14,-1.0,4,0.3,-11,-0.8,-1331819,-5.0,0,0.0,0,0.0,-65,-4.5
"25015","1","10","71","0","2019","2","","Hampshire County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,1406,1400,1418,27586872,0,0,1507,"",1.39,1.12,1.07,1.11,1.14,0.00,0.00,1.04,"",0,0.0,-19,-1.3,-26,-1.8,-5,-0.4,240908,0.9,0,0.0,0,0.0,30,2.0
"25015","1","10","71","0","2019","3","","Hampshire County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,1396,1428,1411,25794811,0,0,1406,"",1.37,1.09,1.12,1.11,1.12,0.00,0.00,1.01,"",0,0.0,-56,-3.9,-10,-0.7,-16,-1.1,-617436,-2.3,0,0.0,0,0.0,-6,-0.4
"25015","1","10","71","0","2019","4","","Hampshire County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,1416,1442,1409,29531636,0,0,1597,"",1.39,1.12,1.14,1.12,1.20,0.00,0.00,1.07,"",0,0.0,-10,-0.7,20,1.4,-29,-2.0,34756,0.1,0,0.0,0,0.0,9,0.6
"25015","1","102","72","0","2019","1","","Hampshire County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",41,1417,1423,1417,25264425,0,0,1370,"",1.41,1.17,1.16,1.16,1.30,0.00,0.00,1.11,"",1,2.5,-14,-1.0,4,0.3,-11,-0.8,-1331819,-5.0,0,0.0,0,0.0,-65,-4.5
"25015","1","102","72","0","2019","2","","Hampshire County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",40,1406,1400,1418,27586872,0,0,1507,"",1.40,1.14,1.09,1.13,1.17,0.00,0.00,1.04,"",0,0.0,-19,-1.3,-26,-1.8,-5,-0.4,240908,0.9,0,0.0,0,0.0,30,2.0
"25015","1","102","72","0","2019","3","","Hampshire County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",40,1396,1428,1411,25794811,0,0,1406,"",1.38,1.11,1.15,1.13,1.14,0.00,0.00,1.01,"",0,0.0,-56,-3.9,-10,-0.7,-16,-1.1,-617436,-2.3,0,0.0,0,0.0,-6,-0.4
"25015","1","102","72","0","2019","4","","Hampshire County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",40,1416,1442,1409,29531636,0,0,1597,"",1.39,1.14,1.16,1.14,1.22,0.00,0.00,1.07,"",0,0.0,-10,-0.7,20,1.4,-29,-2.0,34756,0.1,0,0.0,0,0.0,9,0.6
"25015","1","1021","73","0","2019","1","","Hampshire County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",22,297,303,300,3736545,0,0,958,"",1.50,1.00,1.01,1.00,1.05,0.00,0.00,1.05,"",0,0.0,-5,-1.7,5,1.7,3,1.0,74110,2.0,0,0.0,0,0.0,16,1.7
"25015","1","1021","73","0","2019","2","","Hampshire County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",22,301,299,302,4129570,0,0,1057,"",1.51,1.00,0.95,0.99,0.93,0.00,0.00,0.95,"",0,0.0,2,0.7,-3,-1.0,1,0.3,-2042,0.0,0,0.0,0,0.0,0,0.0
"25015","1","1021","73","0","2019","3","","Hampshire County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",22,297,306,300,3688073,0,0,943,"",1.53,0.97,1.02,1.00,0.98,0.00,0.00,0.98,"",0,0.0,-3,-1.0,0,0.0,-8,-2.6,-76575,-2.0,0,0.0,0,0.0,-8,-0.8
"25015","1","1021","73","0","2019","4","","Hampshire County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",22,297,299,294,4391054,0,0,1139,"",1.54,0.99,0.98,0.96,0.97,0.00,0.00,1.00,"",0,0.0,-13,-4.2,-1,-0.3,-14,-4.5,-59824,-1.3,0,0.0,0,0.0,20,1.8
"25015","1","1023","73","0","2019","1","","Hampshire County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,23,24,23,422274,0,0,1392,"",5.20,4.29,4.46,4.28,3.50,0.00,0.00,0.80,"",0,0.0,-1,-4.2,2,9.1,2,9.5,-60863,-12.6,0,0.0,0,0.0,-272,-16.3
"25015","1","1023","73","0","2019","2","","Hampshire County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,23,24,23,431444,0,0,1422,"",5.29,4.26,4.30,4.17,3.12,0.00,0.00,0.73,"",0,0.0,2,9.5,2,9.1,2,9.5,35951,9.1,0,0.0,0,0.0,-4,-0.3
"25015","1","1023","73","0","2019","3","","Hampshire County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,22,22,23,516950,0,0,1781,"",5.32,4.02,4.11,4.35,3.45,0.00,0.00,0.83,"",0,0.0,1,4.8,1,4.8,3,15.0,58409,12.7,0,0.0,0,0.0,74,4.3
"25015","1","1023","73","0","2019","4","","Hampshire County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,23,23,22,516265,0,0,1752,"",5.41,4.33,4.29,4.15,3.44,0.00,0.00,0.81,"",0,0.0,1,4.5,0,0.0,0,0.0,35909,7.5,0,0.0,0,0.0,98,5.9
"25015","1","1024","73","0","2019","1","","Hampshire County, Massachusetts","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,5,6,6,65538,0,0,890,"",1.41,0.17,0.20,0.20,0.12,0.00,0.00,0.64,"",0,0.0,2,66.7,4,200.0,4,200.0,25861,65.2,0,0.0,0,0.0,-418,-32.0
"25015","1","1024","73","0","2019","2","","Hampshire County, Massachusetts","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,66578,0,0,854,"",1.42,0.20,0.19,0.19,0.11,0.00,0.00,0.56,"",0,0.0,4,200.0,4,200.0,1,20.0,28194,73.5,0,0.0,0,0.0,-130,-13.2
"25015","1","1024","73","0","2019","3","","Hampshire County, Massachusetts","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,5,92311,0,0,1253,"",1.43,0.19,0.20,0.16,0.14,0.00,0.00,0.78,"",0,0.0,1,20.0,1,20.0,0,0.0,20493,28.5,0,0.0,0,0.0,148,13.4
