"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25025","0","10","70","0","2019","1","","Suffolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",31589,683758,692551,694804,20256777572,5849858694,199124636,2257,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1335,4.4,21893,3.3,24069,3.6,24254,3.6,612186490,3.1,325037350,5.9,26766532,15.5,-9,-0.4
"25025","0","10","70","0","2019","2","","Suffolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",31928,700377,698335,707615,16533052058,1965532008,50542802,1811,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1299,4.2,24655,3.6,21661,3.2,22044,3.2,1434102273,9.5,59692766,3.1,4206372,9.1,101,5.9
"25025","0","10","70","0","2019","3","","Suffolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",31908,707377,705549,707505,16334365572,1472963284,35256464,1778,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1137,3.7,22156,3.2,24267,3.6,23369,3.4,1183652001,7.8,58581104,4.1,3191261,10.0,73,4.3
"25025","0","10","70","0","2019","4","","Suffolk County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",31969,711782,714617,712429,19797678163,1356165265,29125504,2136,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",694,2.2,23086,3.4,23813,3.4,21180,3.1,1340303692,7.3,10065802,0.7,1997198,7.4,79,3.8
"25025","1","10","71","0","2019","1","","Suffolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",132,14074,14079,14078,310354098,0,0,1696,"",0.71,1.08,1.06,1.06,0.62,0.00,0.00,0.58,"",-3,-2.2,-115,-0.8,-30,-0.2,13,0.1,-15395267,-4.7,0,0.0,0,0.0,-78,-4.4
"25025","1","10","71","0","2019","2","","Suffolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",132,14068,14084,14180,333236577,0,0,1817,"",0.71,1.06,1.07,1.06,0.71,0.00,0.00,0.67,"",-2,-1.5,15,0.1,57,0.4,-3,0.0,11292272,3.5,0,0.0,0,0.0,59,3.4
"25025","1","10","71","0","2019","3","","Suffolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",133,14359,14335,14294,334962754,0,0,1798,"",0.70,1.05,1.05,1.05,0.73,0.00,0.00,0.69,"",1,0.8,167,1.2,233,1.7,269,1.9,10632832,3.3,0,0.0,0,0.0,29,1.6
"25025","1","10","71","0","2019","4","","Suffolk County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",133,14350,14408,14404,366073063,0,0,1957,"",0.70,1.06,1.07,1.06,0.67,0.00,0.00,0.63,"",1,0.8,270,1.9,308,2.2,278,2.0,10100912,2.8,0,0.0,0,0.0,15,0.8
"25025","1","102","72","0","2019","1","","Suffolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",132,14074,14079,14078,310354098,0,0,1696,"",0.71,1.10,1.08,1.08,0.63,0.00,0.00,0.58,"",-3,-2.2,-115,-0.8,-30,-0.2,13,0.1,-15395267,-4.7,0,0.0,0,0.0,-78,-4.4
"25025","1","102","72","0","2019","2","","Suffolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",132,14068,14084,14180,333236577,0,0,1817,"",0.71,1.08,1.09,1.08,0.73,0.00,0.00,0.67,"",-2,-1.5,15,0.1,57,0.4,-3,0.0,11292272,3.5,0,0.0,0,0.0,59,3.4
"25025","1","102","72","0","2019","3","","Suffolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",133,14359,14335,14294,334962754,0,0,1798,"",0.70,1.07,1.07,1.07,0.74,0.00,0.00,0.69,"",1,0.8,167,1.2,233,1.7,269,1.9,10632832,3.3,0,0.0,0,0.0,29,1.6
"25025","1","102","72","0","2019","4","","Suffolk County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",133,14350,14408,14404,366073063,0,0,1957,"",0.71,1.08,1.09,1.08,0.68,0.00,0.00,0.63,"",1,0.8,270,1.9,308,2.2,278,2.0,10100912,2.8,0,0.0,0,0.0,15,0.8
"25025","1","1021","73","0","2019","1","","Suffolk County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",38,3058,3055,3064,51634314,0,0,1298,"",0.40,0.97,0.96,0.96,0.58,0.00,0.00,0.60,"",0,0.0,-138,-4.3,-85,-2.7,-69,-2.2,286625,0.6,0,0.0,0,0.0,47,3.8
"25025","1","1021","73","0","2019","2","","Suffolk County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",38,3084,3057,3052,57581177,0,0,1445,"",0.40,0.97,0.96,0.95,0.67,0.00,0.00,0.70,"",0,0.0,-60,-1.9,-51,-1.6,-58,-1.9,-504812,-0.9,0,0.0,0,0.0,13,0.9
"25025","1","1021","73","0","2019","3","","Suffolk County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",38,3082,3067,3042,49518826,0,0,1243,"",0.41,0.95,0.96,0.95,0.66,0.00,0.00,0.69,"",0,0.0,-60,-1.9,-12,-0.4,-39,-1.3,-442058,-0.9,0,0.0,0,0.0,4,0.3
