"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25000","0","10","50","0","2020","1","","Massachusetts -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",261253,3586920,3594041,3567092,74727890987,29635486912,964865527,1604,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",738,0.3,40841,1.2,37315,1.0,-4720,-0.1,2628221543,3.6,765504366,2.7,-59685899,-5.8,45,2.9
"25000","0","10","50","0","2020","2","","Massachusetts -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",263057,2977390,3057605,3178775,62697930580,9234196306,245770100,1570,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1191,0.5,-638650,-17.7,-599825,-16.4,-529636,-14.3,-2839361618,-4.3,-2078910226,-18.4,-109865145,-30.9,193,14.0
"25000","1","10","51","0","2020","1","","Massachusetts -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",976,45804,45921,46209,903803329,0,0,1512,"",0.64,0.66,0.67,0.67,0.50,0.00,0.00,0.75,"",2,0.2,666,1.5,669,1.5,983,2.2,18025576,2.0,0,0.0,0,0.0,5,0.3
"25000","1","10","51","0","2020","2","","Massachusetts -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",976,46085,45688,46033,1045777689,0,0,1751,"",0.64,0.69,0.68,0.68,0.52,0.00,0.00,0.76,"",5,0.5,860,1.9,408,0.9,540,1.2,83368729,8.7,0,0.0,0,0.0,118,7.2
"25000","1","102","52","0","2020","1","","Massachusetts -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",976,45804,45921,46209,903803329,0,0,1512,"",0.64,0.68,0.68,0.68,0.51,0.00,0.00,0.75,"",2,0.2,666,1.5,669,1.5,983,2.2,18025576,2.0,0,0.0,0,0.0,5,0.3
"25000","1","102","52","0","2020","2","","Massachusetts -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",976,46085,45688,46033,1045777689,0,0,1751,"",0.64,0.70,0.69,0.69,0.53,0.00,0.00,0.76,"",5,0.5,860,1.9,408,0.9,540,1.2,83368729,8.7,0,0.0,0,0.0,118,7.2
"25000","1","1021","53","0","2020","1","","Massachusetts -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",540,16675,16568,16576,262739577,0,0,1217,"",0.71,1.02,1.03,1.03,0.83,0.00,0.00,0.81,"",-2,-0.4,-74,-0.4,-265,-1.6,-270,-1.6,-6330036,-2.4,0,0.0,0,0.0,-14,-1.1
"25000","1","1021","53","0","2020","2","","Massachusetts -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",540,16548,16453,16437,307410801,0,0,1435,"",0.71,1.07,1.05,1.04,0.87,0.00,0.00,0.83,"",-1,-0.2,-248,-1.5,-322,-1.9,-290,-1.7,12334375,4.2,0,0.0,0,0.0,81,6.0
"25000","1","1022","53","0","2020","1","","Massachusetts -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",3,36,36,37,732570,0,0,1551,"",0.95,0.22,0.22,0.23,0.18,0.00,0.00,0.80,"",0,0.0,2,5.9,1,2.9,2,5.7,-39661,-5.1,0,0.0,0,0.0,-163,-9.5
"25000","1","1022","53","0","2020","2","","Massachusetts -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",3,37,36,33,771612,0,0,1680,"",0.94,0.24,0.23,0.21,0.17,0.00,0.00,0.74,"",0,0.0,2,5.7,1,2.9,-2,-5.7,66130,9.4,0,0.0,0,0.0,129,8.3
