"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25003","0","10","70","0","2020","1","","Berkshire County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5218,58645,59033,58019,725389591,369845863,11250837,953,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-51,-1.0,-991,-1.7,-544,-0.9,-1828,-3.1,11811702,1.7,2025748,0.6,-776565,-6.5,33,3.6
"25003","0","10","70","0","2020","2","","Berkshire County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5260,47209,49623,51916,678230584,159300801,4627868,1052,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.1,-12867,-21.4,-11728,-19.1,-11688,-18.4,-48513130,-6.7,-33256517,-17.3,-1708434,-27.0,146,16.1
"25003","1","10","71","0","2020","1","","Berkshire County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",36,382,372,406,5902688,0,0,1174,"",1.18,0.34,0.33,0.36,0.34,0.00,0.00,0.98,"",0,0.0,14,3.8,-7,-1.8,22,5.7,24533,0.4,0,0.0,0,0.0,-25,-2.1
"25003","1","10","71","0","2020","2","","Berkshire County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",36,402,393,393,6785040,0,0,1318,"",1.17,0.38,0.36,0.35,0.31,0.00,0.00,0.86,"",0,0.0,15,3.9,1,0.3,6,1.6,-25227,-0.4,0,0.0,0,0.0,-30,-2.2
"25003","1","102","72","0","2020","1","","Berkshire County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",36,382,372,406,5902688,0,0,1174,"",1.18,0.34,0.33,0.37,0.34,0.00,0.00,0.98,"",0,0.0,14,3.8,-7,-1.8,22,5.7,24533,0.4,0,0.0,0,0.0,-25,-2.1
"25003","1","102","72","0","2020","2","","Berkshire County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",36,402,393,393,6785040,0,0,1318,"",1.17,0.39,0.37,0.36,0.32,0.00,0.00,0.86,"",0,0.0,15,3.9,1,0.3,6,1.6,-25227,-0.4,0,0.0,0,0.0,-30,-2.2
"25003","1","1021","73","0","2020","1","","Berkshire County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,267,258,263,3516752,0,0,1030,"",1.78,1.00,0.97,1.00,1.15,0.00,0.00,1.16,"",0,0.0,7,2.7,-9,-3.4,-7,-2.6,-95747,-2.7,0,0.0,0,0.0,-16,-1.5
"25003","1","1021","73","0","2020","2","","Berkshire County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,262,260,260,4033345,0,0,1190,"",1.77,1.06,1.02,1.01,1.06,0.00,0.00,1.03,"",0,0.0,-9,-3.3,-19,-6.8,-12,-4.4,-107614,-2.6,0,0.0,0,0.0,27,2.3
"25003","1","1025","73","0","2020","1","","Berkshire County, Massachusetts","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,13,283215,0,0,1676,"",1.45,0.08,0.08,0.08,0.11,0.00,0.00,1.40,"",0,0.0,3,30.0,3,30.0,1,8.3,58043,25.8,0,0.0,0,0.0,52,3.2
"25003","1","1025","73","0","2020","2","","Berkshire County, Massachusetts","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,12,335213,0,0,2036,"",1.44,0.08,0.08,0.07,0.10,0.00,0.00,1.31,"",0,0.0,1,8.3,0,0.0,-1,-7.7,31192,10.3,0,0.0,0,0.0,190,10.3
"25003","1","1028","73","0","2020","1","","Berkshire County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,102,101,130,2102721,0,0,1457,"",0.63,0.16,0.16,0.21,0.20,0.00,0.00,1.09,"",0,0.0,4,4.1,-1,-1.0,28,27.5,62237,3.1,0,0.0,0,0.0,-102,-6.5
"25003","1","1028","73","0","2020","2","","Berkshire County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,127,120,121,2416482,0,0,1515,"",0.63,0.22,0.20,0.20,0.18,0.00,0.00,0.89,"",0,0.0,23,22.1,20,20.0,19,18.6,51195,2.2,0,0.0,0,0.0,-269,-15.1
"25003","1","48-49","74","0","2020","1","","Berkshire County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",27,267,258,263,3516752,0,0,1030,"",1.83,1.09,1.06,1.10,1.24,0.00,0.00,1.15,"",0,0.0,7,2.7,-9,-3.4,-7,-2.6,-95747,-2.7,0,0.0,0,0.0,-16,-1.5
"25003","1","48-49","74","0","2020","2","","Berkshire County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",27,262,260,260,4033345,0,0,1190,"",1.82,1.16,1.12,1.10,1.13,0.00,0.00,1.01,"",0,0.0,-9,-3.3,-19,-6.8,-12,-4.4,-107614,-2.6,0,0.0,0,0.0,27,2.3
"25003","1","491","75","0","2020","1","","Berkshire County, Massachusetts","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",27,267,258,263,3516752,0,0,1030,"",1.84,1.12,1.09,1.12,1.30,0.00,0.00,1.17,"",0,0.0,7,2.7,-9,-3.4,-7,-2.6,-95747,-2.7,0,0.0,0,0.0,-16,-1.5
"25003","1","491","75","0","2020","2","","Berkshire County, Massachusetts","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",27,262,260,260,4033345,0,0,1190,"",1.83,1.19,1.14,1.12,1.18,0.00,0.00,1.03,"",0,0.0,-9,-3.3,-19,-6.8,-12,-4.4,-107614,-2.6,0,0.0,0,0.0,27,2.3
"25003","1","4911","76","0","2020","1","","Berkshire County, Massachusetts","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",27,267,258,263,3516752,0,0,1030,"",1.84,1.12,1.09,1.12,1.30,0.00,0.00,1.17,"",0,0.0,7,2.7,-9,-3.4,-7,-2.6,-95747,-2.7,0,0.0,0,0.0,-16,-1.5
"25003","1","4911","76","0","2020","2","","Berkshire County, Massachusetts","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",27,262,260,260,4033345,0,0,1190,"",1.83,1.19,1.14,1.12,1.18,0.00,0.00,1.03,"",0,0.0,-9,-3.3,-19,-6.8,-12,-4.4,-107614,-2.6,0,0.0,0,0.0,27,2.3
"25003","1","49111","77","0","2020","1","","Berkshire County, Massachusetts","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",27,267,258,263,3516752,0,0,1030,"",1.84,1.12,1.09,1.12,1.30,0.00,0.00,1.17,"",0,0.0,7,2.7,-9,-3.4,-7,-2.6,-95747,-2.7,0,0.0,0,0.0,-16,-1.5
