"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25009","0","10","70","0","2020","1","","Essex County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",27366,322236,321805,319499,5175957363,2474430615,79346486,1240,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",424,1.6,1641,0.5,664,0.2,-3573,-1.1,36509816,0.7,39877464,1.6,-5392547,-6.4,11,0.9
"25009","0","10","70","0","2020","2","","Essex County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",27578,260795,271493,283502,4633348335,798036278,22293823,1311,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",408,1.5,-65784,-20.1,-59272,-17.9,-51203,-15.3,-322646993,-6.5,-208687808,-20.7,-10117674,-31.2,158,13.7
"25009","1","10","71","0","2020","1","","Essex County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,3490,3486,3500,57013415,0,0,1256,"",0.36,0.56,0.56,0.56,0.46,0.00,0.00,0.81,"",-3,-5.0,39,1.1,16,0.5,64,1.9,1352388,2.4,0,0.0,0,0.0,16,1.3
"25009","1","10","71","0","2020","2","","Essex County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,3514,3470,3484,66928917,0,0,1475,"",0.35,0.60,0.58,0.58,0.45,0.00,0.00,0.77,"",-2,-3.4,40,1.2,21,0.6,34,1.0,7483821,12.6,0,0.0,0,0.0,153,11.6
"25009","1","102","72","0","2020","1","","Essex County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",57,3490,3486,3500,57013415,0,0,1256,"",0.36,0.57,0.57,0.57,0.46,0.00,0.00,0.81,"",-3,-5.0,39,1.1,16,0.5,64,1.9,1352388,2.4,0,0.0,0,0.0,16,1.3
"25009","1","102","72","0","2020","2","","Essex County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",57,3514,3470,3484,66928917,0,0,1475,"",0.35,0.61,0.59,0.59,0.46,0.00,0.00,0.77,"",-2,-3.4,40,1.2,21,0.6,34,1.0,7483821,12.6,0,0.0,0,0.0,153,11.6
"25009","1","1021","73","0","2020","1","","Essex County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",37,1140,1139,1137,16992001,0,0,1148,"",0.47,0.78,0.79,0.79,0.78,0.00,0.00,0.99,"",0,0.0,4,0.4,-8,-0.7,-23,-2.0,-753696,-4.2,0,0.0,0,0.0,-41,-3.4
"25009","1","1021","73","0","2020","2","","Essex County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",37,1130,1113,1128,20151952,0,0,1380,"",0.46,0.83,0.80,0.80,0.78,0.00,0.00,0.96,"",0,0.0,-21,-1.8,-53,-4.5,-27,-2.3,1055969,5.5,0,0.0,0,0.0,111,8.7
"25009","1","1024","73","0","2020","1","","Essex County, Massachusetts","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,180,182,182,4602540,0,0,1952,"",0.26,1.21,1.23,1.23,1.46,0.00,0.00,1.19,"",0,0.0,2,1.1,5,2.8,4,2.2,323514,7.6,0,0.0,0,0.0,99,5.3
"25009","1","1024","73","0","2020","2","","Essex County, Massachusetts","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,180,183,183,5370395,0,0,2270,"",0.26,1.29,1.28,1.26,1.51,0.00,0.00,1.19,"",0,0.0,1,0.6,4,2.2,1,0.5,929976,20.9,0,0.0,0,0.0,372,19.6
"25009","1","1026","73","0","2020","1","","Essex County, Massachusetts","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,23,23,23,397252,0,0,1329,"",0.50,0.24,0.24,0.24,0.33,0.00,0.00,1.39,"",0,0.0,-1,-4.2,-1,-4.2,-1,-4.2,-56670,-12.5,0,0.0,0,0.0,-126,-8.7
"25009","1","1026","73","0","2020","2","","Essex County, Massachusetts","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,23,23,24,479911,0,0,1582,"",0.50,0.26,0.25,0.24,0.35,0.00,0.00,1.40,"",0,0.0,-2,-8.0,-4,-14.8,-9,-27.3,35076,7.9,0,0.0,0,0.0,374,31.0
"25009","1","1028","73","0","2020","1","","Essex County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,2147,2142,2158,35021622,0,0,1254,"",0.26,0.63,0.63,0.63,0.46,0.00,0.00,0.72,"",-3,-15.0,34,1.6,20,0.9,84,4.1,1839240,5.5,0,0.0,0,0.0,40,3.3
"25009","1","1028","73","0","2020","2","","Essex County, Massachusetts","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,2181,2151,2149,40926659,0,0,1457,"",0.26,0.67,0.65,0.64,0.45,0.00,0.00,0.69,"",-2,-10.5,62,2.9,74,3.6,69,3.3,5462800,15.4,0,0.0,0,0.0,153,11.7
"25009","1","48-49","74","0","2020","1","","Essex County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",37,1140,1139,1137,16992001,0,0,1148,"",0.48,0.85,0.86,0.86,0.84,0.00,0.00,0.98,"",0,0.0,4,0.4,-8,-0.7,-23,-2.0,-753696,-4.2,0,0.0,0,0.0,-41,-3.4
"25009","1","48-49","74","0","2020","2","","Essex County, Massachusetts","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",37,1130,1113,1128,20151952,0,0,1380,"",0.48,0.91,0.87,0.87,0.83,0.00,0.00,0.94,"",0,0.0,-21,-1.8,-53,-4.5,-27,-2.3,1055969,5.5,0,0.0,0,0.0,111,8.7
"25009","1","488","75","0","2020","1","","Essex County, Massachusetts","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,128518,0,0,2472,"",2.33,0.16,0.16,0.16,0.15,0.00,0.00,0.91,"",0,0.0,2,100.0,2,100.0,2,100.0,68437,113.9,0,0.0,0,0.0,161,7.0
"25009","1","488","75","0","2020","2","","Essex County, Massachusetts","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,143563,0,0,2761,"",2.37,0.17,0.17,0.16,0.15,0.00,0.00,0.92,"",0,0.0,2,100.0,1,33.3,0,0.0,20389,16.6,0,0.0,0,0.0,-397,-12.6
"25009","1","4881","76","0","2020","1","","Essex County, Massachusetts","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,128518,0,0,2472,"",2.33,0.16,0.16,0.16,0.15,0.00,0.00,0.91,"",0,0.0,2,100.0,2,100.0,2,100.0,68437,113.9,0,0.0,0,0.0,161,7.0
"25009","1","4881","76","0","2020","2","","Essex County, Massachusetts","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,143563,0,0,2761,"",2.37,0.17,0.17,0.16,0.15,0.00,0.00,0.92,"",0,0.0,2,100.0,1,33.3,0,0.0,20389,16.6,0,0.0,0,0.0,-397,-12.6
