"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"25023","0","10","70","0","2020","1","","Plymouth County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16389,192017,190918,189947,2666111997,1443493605,47709577,1074,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-0.1,256,0.1,-269,-0.1,-2342,-1.2,31714770,1.2,19746418,1.4,-3371773,-6.6,17,1.6
"25023","0","10","70","0","2020","2","","Plymouth County, Massachusetts","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16493,149095,157075,167745,2423456243,560348413,15547861,1180,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-0.1,-47265,-24.1,-43480,-21.7,-35935,-17.6,-270464909,-10.0,-120362530,-17.7,-7149917,-31.5,145,14.0
"25023","1","10","71","0","2020","1","","Plymouth County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",64,2952,2941,2948,51384291,0,0,1341,"",0.67,0.80,0.80,0.80,0.80,0.00,0.00,1.00,"",0,0.0,49,1.7,34,1.2,23,0.8,1961074,4.0,0,0.0,0,0.0,35,2.7
"25023","1","10","71","0","2020","2","","Plymouth County, Massachusetts","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",63,2927,2874,2916,59225590,0,0,1568,"",0.65,0.87,0.83,0.81,0.76,0.00,0.00,0.91,"",-1,-1.6,7,0.2,-45,-1.5,-16,-0.5,2982900,5.3,0,0.0,0,0.0,88,5.9
"25023","1","102","72","0","2020","1","","Plymouth County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",64,2952,2941,2948,51384291,0,0,1341,"",0.67,0.81,0.82,0.81,0.81,0.00,0.00,1.00,"",0,0.0,49,1.7,34,1.2,23,0.8,1961074,4.0,0,0.0,0,0.0,35,2.7
"25023","1","102","72","0","2020","2","","Plymouth County, Massachusetts","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",63,2927,2874,2916,59225590,0,0,1568,"",0.66,0.89,0.85,0.83,0.78,0.00,0.00,0.91,"",-1,-1.6,7,0.2,-45,-1.5,-16,-0.5,2982900,5.3,0,0.0,0,0.0,88,5.9
"25023","1","1021","73","0","2020","1","","Plymouth County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",47,1220,1196,1199,17502964,0,0,1117,"",0.99,1.40,1.40,1.40,1.56,0.00,0.00,1.11,"",0,0.0,-14,-1.1,-51,-4.1,-55,-4.4,-158391,-0.9,0,0.0,0,0.0,26,2.4
"25023","1","1021","73","0","2020","2","","Plymouth County, Massachusetts","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",47,1193,1181,1168,20863098,0,0,1359,"",0.98,1.54,1.47,1.40,1.53,0.00,0.00,1.05,"",0,0.0,-51,-4.1,-47,-3.8,-47,-3.9,1128463,5.7,0,0.0,0,0.0,124,10.0
"25023","1","1023","73","0","2020","1","","Plymouth County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,128324,0,0,1410,"",0.82,0.45,0.46,0.46,0.31,0.00,0.00,0.69,"",0,0.0,1,16.7,0,0.0,0,0.0,8098,6.7,0,0.0,0,0.0,23,1.7
"25023","1","1023","73","0","2020","2","","Plymouth County, Massachusetts","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,160293,0,0,1761,"",0.82,0.51,0.49,0.47,0.34,0.00,0.00,0.70,"",0,0.0,0,0.0,0,0.0,0,0.0,31539,24.5,0,0.0,0,0.0,346,24.5
