,VARIABLE,SOURCE,DESCRIPTION,NOTE
0,YEAR,Chicago Ridehail,Unique Identifier,All of the varaibles represent the average weekday condtion for a census tract OD Pair within a given month of a given year. 
1,MONTH,Chicago Ridehail,Unique Identifier,
2,ORIGIN,Chicago Ridehail,Unique Identifier,
3,DESTINATION,Chicago Ridehail,Unique Identifier,
4,Trip Seconds,Chicago Ridehail,Trip duration of trips in seconds,
5,Trip Miles,Chicago Ridehail,Trip length of trips in miles,
6,Fare,Chicago Ridehail,Base fare of trips,
7,Tip,Chicago Ridehail,The amount tipped by the passenger for the trip,
8,Additional Charges,Chicago Ridehail,Taxes and surge mutliplier… need to verify,
9,Trip Total,Chicago Ridehail,The total cost of the trip ,
10,PRIVATE_TRIPS,Chicago Ridehail,The  number of non-shared ride-hail trips ,
11,SHARED_TRIPS,Chicago Ridehail,The number of shared ride-hail tours,
12,SCALED_SUP_PRIVATE_TRIPS,Chicago Ridehail,The total number of suppressed private trips,
13,SCALED_SUP_SHARED_TRIPS,Chicago Ridehail,The total number of suppressed shared trips,
14,ALL_TRIPS,Chicago Ridehail,The total number of ride-hail trips,
15,CENSUS_TRACT,ACS,ignore,
16,TOTAL_POP,ACS,Total population in the origin census tract,
17,TOTAL_MALE,ACS,Total male population in the origin census tract,
18,TOTAL_FEMALE,ACS,Total female population in the origin census tract,
19,AGE_5U,ACS,Total population under age 5 in origin census tract,
20,AGE_5_9,ACS,Total popluation between age 5 and 9 in origin census tract,
21,AGE+10_14,ACS,Total population between age 10 and 14 in origin census tract,
22,AGE_15_19,ACS,Total popluation between age 15 and 19 in origin census tract,
23,AGE_20_24,ACS,Total popluation between age 20 and 24 in origin census tract,
24,AGE_25_34,ACS,Total popluation between age 25 and 34 in origin census tract,
25,AGE_35_44,ACS,Total popluation between age 35 and 44 in origin census tract,
26,AGE_45_54,ACS,Total popluation between age 45 and 54 in origin census tract,
27,AGE_55_59,ACS,Total popluation between age 55 and 59 in origin census tract,
28,AGE_60_64,ACS,Total popluation between age 60 and 64 in origin census tract,
29,AGE_65_74,ACS,Total popluation between age 65 and 74 in origin census tract,
30,AGE_75_84,ACS,Total popluation between age 75 and 84 in origin census tract,
31,AGE_85P,ACS,Total popluation over age 85  in origin census tract,
32,MEDIAN_AGE,ACS,Median age of population in origin census tract,
33,TOTAL_HHLDS,ACS,Total number of households in origin census tract,
34,AVG_HHLD_SIZE,ACS,Average household size in origin census tract,
35,AVG_FAMILY_SIZE,ACS,Average family size in origin census tract,
36,TOTAL_POP_18_24,ACS,Total population between age 18 and 24 in origin census tract,
37,TOTAL_POP_18_24_NO_HIGH_SCHOOL,ACS,Total population between age 18 and 24 without a high school diploma in origin census tract,
38,TOTAL_POP_18_24_HIGH_SCHOOL,ACS,Total population between age 18 and 24 with a high school diploma in origin census tract,
39,TOTAL_POP_18_24_SOME_COLLEGE,ACS,Total population between age 18 and 24 with a some college in origin census tract,
40,TOTAL_POP_18_24_SOME_BACHELORS_HIGHER,ACS,Total population between age 18 and 24 with bachelors degree or higher in origin census tract,
41,TOTAL_POP_25P,ACS,Total population over age 25 in origin census tract,
42,TOTAL_POP_25P_LESS_THAN_9TH,ACS,Total population over age 25 with less than 9th grade education in origin census tract,
43,TOTAL_POP_25P_9TH_TO_12TH,ACS,Total population over age 25 with 9th grade to 12th grade education in origin census tract,
44,TOTAL_POP_25P_HIGH_SCHOOL,ACS,Total population over age 25 with high school diploma in origin census tract,
45,TOTAL_POP_25P_SOME_COLLEGE,ACS,Total population over age 25 with some college in origin census tract,
46,TOTAL_POP_25P_ASSOCIATES,ACS,Total population over age 25 with an associates degree in origin census tract,
47,TOTAL_POP_25P_BACHELORS,ACS,Total population over age 25 with a bachelors degree in origin census tract,
48,TOTAL_POP_25P_GRADUATE,ACS,Total population over age 25 with a graduate degree in origin census tract,
49,TOTAL_POP_25P_HIGH_SCHOOL_HIGHER,ACS,Total population over age 25 with a high school or higher education in origin census tract,
50,TOTAL_POP_25P_BACHELORS_HIGHER,ACS,Total population over age 25 with a bachelors degree or higher education in origin census tract,
51,TOTAL_HHLDS_LESS_10K,ACS,Total households with an income of less than $10k in the origin census tract,
52,TOTAL_HHLDS_10K_15K,ACS,Total households with an income between $10k and $15k in the origin census tract,
53,TOTAL_HHLDS_15K_25K,ACS,Total households with an income between $15k and $25k in the origin census tract,
54,TOTAL_HHLDS_25K_35K,ACS,Total households with an income between $25k and $35k in the origin census tract,
