,Mean,Min,Max
Trip Seconds,1289.4104487384386,0.0,51900.0
Trip Miles,6.327948523748607,0.0,207.3
Fare,10.939209579810177,0.0,447.5
Tip,0.3984025915531054,0.0,100.0
Additional Charges,2.3758906211568744,0.0,18.04
Trip Total,13.713502792522467,0.67,499.6
PRIVATE_TRIPS,0.7515240722543408,0.0,204.69767441860463
SHARED_TRIPS,0.4326328068111318,0.0,45.30232558139535
Trips Pooled,1.838840691879013,1.0,278.6046511627907
TOTAL_POP_ORIGIN,3868.8267558205907,0.0,19889.0
TOTAL_MALE_ORIGIN,1896.650060857848,0.0,9249.0
TOTAL_FEMALE_ORIGIN,1972.1766949627424,0.0,10649.0
AGE_5U_ORIGIN,227.51926730799806,0.0,1041.0
AGE_5_9_ORIGIN,184.56438160868012,0.0,1038.0
AGE_10_14_ORIGIN,170.72454460867232,0.0,936.0
AGE_15_19_ORIGIN,197.09580615146436,0.0,2644.0
AGE_20_24_ORIGIN,319.68874273159213,0.0,2632.0
AGE_25_34_ORIGIN,949.8942819686146,0.0,6351.0
AGE_35_44_ORIGIN,561.5031771184916,0.0,3786.0
AGE_45_54_ORIGIN,442.1030061431241,0.0,2788.0
AGE_55_59_ORIGIN,206.42735240994472,0.0,1243.0
AGE_60_64_ORIGIN,183.525069002635,0.0,840.0
AGE_65_74_ORIGIN,250.84003899072405,0.0,1239.0
AGE_75_84_ORIGIN,126.57072020767252,0.0,859.0
AGE_85P_ORIGIN,48.37036757097693,0.0,774.0
MEDIAN_AGE_ORIGIN,34.0496901071362,0.0,66.8
TOTAL_HHLDS_ORIGIN,1679.1363033353227,0.0,11517.0
AVG_HHLD_SIZE_ORIGIN,2.3678518873753096,0.0,4.5
AVG_FAMILY_SIZE_ORIGIN,3.1643014118489097,0.0,5.18
TOTAL_POP_18_24_ORIGIN,421.485886713181,0.0,4465.0
TOTAL_POP_18_24_NO_HIGH_SCHOOL_ORIGIN,38.61798082261045,0.0,1958.0
TOTAL_POP_18_24_HIGH_SCHOOL_ORIGIN,90.01810227767338,0.0,1249.0
TOTAL_POP_18_24_SOME_COLLEGE_ORIGIN,177.38537092011333,0.0,2971.0
TOTAL_POP_18_24_SOME_BACHELORS_HIGHER_ORIGIN,115.46443269278384,0.0,766.0
TOTAL_POP_25P_ORIGIN,2769.2340134121837,0.0,16430.0
TOTAL_POP_25P_LESS_THAN_9TH_ORIGIN,165.55482158355508,0.0,1903.0
TOTAL_POP_25P_9TH_TO_12TH_ORIGIN,159.79604150322794,0.0,2469.0
TOTAL_POP_25P_HIGH_SCHOOL_ORIGIN,464.07667828221884,0.0,2412.0
TOTAL_POP_25P_SOME_COLLEGE_ORIGIN,407.8413200028148,0.0,2204.0
TOTAL_POP_25P_ASSOCIATES_ORIGIN,132.55248240074437,0.0,631.0
TOTAL_POP_25P_BACHELORS_ORIGIN,818.6877549318314,0.0,5397.0
TOTAL_POP_25P_GRADUATE_ORIGIN,620.7249147077911,0.0,6964.0
TOTAL_POP_25P_HIGH_SCHOOL_HIGHER_ORIGIN,2443.8831503254005,0.0,16015.0
TOTAL_POP_25P_BACHELORS_HIGHER_ORIGIN,1439.4126696396224,0.0,12361.0
TOTAL_HHLDS_LESS_10K_ORIGIN,9.599646581401371,0.0,50.4
TOTAL_HHLDS_10K_15K_ORIGIN,4.885152900454757,0.0,26.7
TOTAL_HHLDS_15K_25K_ORIGIN,9.590732926563495,0.0,41.0
TOTAL_HHLDS_25K_35K_ORIGIN,8.113971111424707,0.0,29.8
TOTAL_HHLDS_35K_50K_ORIGIN,10.373561630619573,0.0,34.8
TOTAL_HHLDS_50K_75K_ORIGIN,14.849563569727842,0.0,37.2
TOTAL_HHLDS_75K_100K_ORIGIN,10.718614161243673,0.0,27.7
TOTAL_HHLDS_100K_150K_ORIGIN,13.646812325865003,0.0,33.4
TOTAL_HHLDS_150K_200K_ORIGIN,6.848945608454922,0.0,20.8
TOTAL_HHLDS_200KP_ORIGIN,10.378560184116516,0.0,55.7
HHLDS_MEDIAN_INCOME_ORIGIN,67891.78085571087,0.0,250000.0
HHLDS_MEAN_INCOME_ORIGIN,67891.78085571087,0.0,250000.0
TOTAL_POP_DESTINATION,3898.637417542177,0.0,19889.0
TOTAL_MALE_DESTINATION,1913.4923373844417,0.0,9249.0
TOTAL_FEMALE_DESTINATION,1985.1450801577353,0.0,10649.0
AGE_5U_DESTINATION,225.8794701848671,0.0,1041.0
AGE_5_9_DESTINATION,180.21674907019113,0.0,1038.0
AGE_10_14_DESTINATION,165.34807431173292,0.0,936.0
AGE_15_19_DESTINATION,196.95419371821905,0.0,2644.0
AGE_20_24_DESTINATION,323.72077585285695,0.0,2632.0
AGE_25_34_DESTINATION,976.9331462855862,0.0,6351.0
AGE_35_44_DESTINATION,566.268811851512,0.0,3786.0
AGE_45_54_DESTINATION,443.88281019909766,0.0,2788.0
AGE_55_59_DESTINATION,206.43401680041492,0.0,1243.0
AGE_60_64_DESTINATION,184.1313721555146,0.0,840.0
AGE_65_74_DESTINATION,252.8918593831855,0.0,1239.0
AGE_75_84_DESTINATION,127.57320404189939,0.0,935.0
AGE_85P_DESTINATION,48.40293368709944,0.0,774.0
MEDIAN_AGE_DESTINATION,34.030320370303706,0.0,66.8
TOTAL_HHLDS_DESTINATION,1714.0230920999477,0.0,11517.0
AVG_HHLD_SIZE_DESTINATION,2.33628932628936,0.0,4.5
AVG_FAMILY_SIZE_DESTINATION,3.131325932219077,0.0,5.18
TOTAL_POP_18_24_DESTINATION,428.6581874004707,0.0,4465.0
TOTAL_POP_18_24_NO_HIGH_SCHOOL_DESTINATION,38.375443402201306,0.0,1958.0
TOTAL_POP_18_24_HIGH_SCHOOL_DESTINATION,89.61210745384838,0.0,1249.0
TOTAL_POP_18_24_SOME_COLLEGE_DESTINATION,180.4764231223334,0.0,2971.0
TOTAL_POP_18_24_SOME_BACHELORS_HIGHER_DESTINATION,120.19421342208761,0.0,766.0
TOTAL_POP_25P_DESTINATION,2806.51815440431,0.0,16430.0
TOTAL_POP_25P_LESS_THAN_9TH_DESTINATION,157.05667859497865,0.0,1903.0
TOTAL_POP_25P_9TH_TO_12TH_DESTINATION,155.5943622436347,0.0,2469.0
TOTAL_POP_25P_HIGH_SCHOOL_DESTINATION,449.76071397853946,0.0,2412.0
TOTAL_POP_25P_SOME_COLLEGE_DESTINATION,404.1102009221202,0.0,2204.0
TOTAL_POP_25P_ASSOCIATES_DESTINATION,131.28396376156235,0.0,631.0
TOTAL_POP_25P_BACHELORS_DESTINATION,851.3536401333399,0.0,5397.0
TOTAL_POP_25P_GRADUATE_DESTINATION,657.3585947701346,0.0,6964.0
TOTAL_POP_25P_HIGH_SCHOOL_HIGHER_DESTINATION,2493.8671135656964,0.0,16015.0
TOTAL_POP_25P_BACHELORS_HIGHER_DESTINATION,1508.7122349034746,0.0,12361.0
TOTAL_HHLDS_LESS_10K_DESTINATION,9.47383242849924,0.0,50.4
TOTAL_HHLDS_10K_15K_DESTINATION,4.799714606663464,0.0,26.7
TOTAL_HHLDS_15K_25K_DESTINATION,9.331902153083908,0.0,41.0
TOTAL_HHLDS_25K_35K_DESTINATION,7.885145211784201,0.0,29.8
TOTAL_HHLDS_35K_50K_DESTINATION,10.104063922890429,0.0,34.8
TOTAL_HHLDS_50K_75K_DESTINATION,14.659591561731807,0.0,39.8
TOTAL_HHLDS_75K_100K_DESTINATION,10.741291072532292,0.0,27.7
TOTAL_HHLDS_100K_150K_DESTINATION,13.882128252379475,0.0,33.4
TOTAL_HHLDS_150K_200K_DESTINATION,7.053295576267365,0.0,20.8
TOTAL_HHLDS_200KP_DESTINATION,10.923236751367225,0.0,55.7
HHLDS_MEDIAN_INCOME_DESTINATION,69595.52439917535,0.0,228229.0
HHLDS_MEAN_INCOME_DESTINATION,69595.52439917535,0.0,228229.0
TOTAL_EMP_LEHD_OD,10.016116839016526,1.005594410544089,2369.180431241875
29U_EMP_LEHD_OD,2.6218623811572703,0.0,672.7426606539958
30_54_EMP_LEHD_OD,5.714981906173776,0.0,1636.1021059552336
55P_EMP_LEHD_OD,1.6792725517138976,0.0,278.5496517207128
1250U_EMP_LEHD_OD,1.5799939622612325,0.0,234.30349765677286
1251_3333_EMP_LEHD_OD,2.534676060434794,0.0,176.98461625575976
3333P_EMP_LEHD_OD,5.901446816347569,0.0,2078.563646594633
TOTAL_EMP_RAC_ORIGIN,2135.2165868362617,51.285314937748566,20193.341358136156
29U_EMP_RAC_ORIGIN,572.8665924491102,14.078321747617252,4746.405617768159
30_54_EMP_RAC_ORIGIN,1182.3901402418028,22.12307703196997,10800.08396924365
55P_EMP_RAC_ORIGIN,379.9598541461072,15.083916158161342,4646.851771124285
1250U_EMP_RAC_ORIGIN,407.0980122717085,19.106293800337703,5129.53708818546
1251_3333__RAC_ORIGIN,594.1272961563594,18.10069938979361,7446.426610079066
3333P_EMP_RAC_ORIGIN,1133.9912784090322,14.078321747617252,7783.300737611253
FOOD_SERVICE_EMP_RAC_ORIGIN,204.56128583965614,9.050349694896806,1667.2755326820838
TOTAL_EMP_RAC_DESTINATION,2165.1485239038816,51.285314937748566,20193.341358136156
29U_EMP_RAC_DESTINATION,582.2589594589273,14.078321747617252,4746.405617768159
30_54_EMP_RAC_DESTINATION,1199.959247768752,22.12307703196997,10800.08396924365
55P_EMP_RAC_DESTINATION,382.93031667695817,15.083916158161342,4646.851771124285
1250U_EMP_RAC_DESTINATION,403.7757171078389,19.106293800337703,5129.53708818546
1251_3333_EMP_RAC_DESTINATION,584.2220427376182,18.10069938979361,7446.426610079066
3333P_EMP_RAC_DESTINATION,1177.150764058992,14.078321747617252,7783.300737611253
FOOD_SERVICE_EMP_RAC_DESTINATION,203.8299057321573,9.050349694896806,1667.2755326820838
TOTAL_EMP_WAC_ORIGIN,5540.0632268745385,2.011188821088179,333141.36108033033
29U_EMP_WAC_ORIGIN,1226.5717418761421,0.0,60868.62967023372
30_54_EMP_WAC_ORIGIN,3189.349377362737,1.005594410544089,205758.69471906836
55P_EMP_WAC_ORIGIN,1124.142107633556,0.0,66514.03669102826
1250U_EMP_WAC_ORIGIN,861.6406082166731,0.0,31459.01553946131
1251_3333__WAC_ORIGIN,1348.588188718292,0.0,52796.723336796356
333P_EMP_WAC_ORIGIN,3329.8344299370606,0.0,248885.62220407266
FOOD_SERVICE_EMP_WAC_ORIGIN,465.192682474557,0.0,8034.699340247277
TOTAL_EMP_WAC_DESTINATION,6290.539376170258,2.011188821088179,333141.36108033033
