,Mean,Min,Max
YEAR,2019,2018,2020
Trip Seconds,168.5863087,0,4667.8
Trip Miles,0.843985753,0,40.47
Fare,1.551281142,0,66.5
Tip,0.060213603,0,20.2
Additional Charges,0.341524393,0,10.552
Trip Total,1.953019151,0,74.346
PRIVATE_TRIPS,0.701162216,0,828.9659911
SHARED_TRIPS,0.242225857,0,118.2785399
SCALED_SUP_PRIVATE_TRIPS,0.025316453,0,7.008854436
SCALED_SUP_SHARED_TRIPS,0.010353426,0,2.379889731
ALL_TRIPS,0.943388073,0,848.3251334
CENSUS_TRACT,17031405356,17031010100,17031980100
TOTAL_POP,3412.041199,0,20087
TOTAL_MALE,1659.541979,0,9249
TOTAL_FEMALE,1752.49922,0,11373
AGE_5U,215.9539638,0,1041
AGE_5_9,192.8589263,0,1069
AGE_10_14,193.8659488,0,830
AGE_15_19,196.6894507,0,1601
AGE_20_24,253.5599251,0,2632
AGE_25_34,674.9890762,0,6382
AGE_35_44,477.5546192,0,3786
AGE_45_54,408.088015,0,3263
AGE_55_59,196.5237203,0,1509
AGE_60_64,177.7373596,0,1010
AGE_65_74,245.5819288,0,1291
AGE_75_84,126.8792135,0,859
AGE_85P,51.75905119,0,807
MEDIAN_AGE,35.53035714,15.9,67.4
TOTAL_HHLDS,1340.884207,0,12017
AVG_HHLD_SIZE,2.610372807,1.33,4.5
AVG_FAMILY_SIZE,3.407653509,2.13,5.21
TOTAL_POP_18_24,338.3339576,0,3311
TOTAL_POP_18_24_NO_HIGH_SCHOOL,42.65387016,0,1958
TOTAL_POP_18_24_HIGH_SCHOOL,86.74578652,0,967
TOTAL_POP_18_24_SOME_COLLEGE,141.4533396,0,2415
TOTAL_POP_18_24_SOME_BACHELORS_HIGHER,67.4809613,0,842
TOTAL_POP_25P,2359.112984,0,17171
TOTAL_POP_25P_LESS_THAN_9TH,177.590824,0,2013
TOTAL_POP_25P_9TH_TO_12TH,174.553839,0,2578
TOTAL_POP_25P_HIGH_SCHOOL,533.6195381,0,2696
TOTAL_POP_25P_SOME_COLLEGE,410.2805868,0,2204
TOTAL_POP_25P_ASSOCIATES,136.7838639,0,677
TOTAL_POP_25P_BACHELORS,546.0947253,0,5397
TOTAL_POP_25P_GRADUATE,380.1896067,0,7894
TOTAL_POP_25P_HIGH_SCHOOL_HIGHER,2006.968321,0,16591
TOTAL_POP_25P_BACHELORS_HIGHER,926.2843321,0,13216
TOTAL_HHLDS_LESS_10K,10.16707393,0,50.4
TOTAL_HHLDS_10K_15K,5.461779449,0,26.7
TOTAL_HHLDS_15K_25K,11.5081297,0,41.1
TOTAL_HHLDS_25K_35K,9.45549812,0,29.8
TOTAL_HHLDS_35K_50K,11.69754073,0,40.3
TOTAL_HHLDS_50K_75K,15.0820802,0,41
TOTAL_HHLDS_75K_100K,10.66704261,0,27.9
TOTAL_HHLDS_100K_150K,12.57462406,0,33.5
TOTAL_HHLDS_150K_200K,5.91818609,0,25.7
TOTAL_HHLDS_200KP,7.472619048,0,49.6
HHLDS_MEDIAN_INCOME,60090.34954,9787,194167
HHLDS_MEAN_INCOME,82646.07331,18015,287699
HHLDS_0_VEH,358.8004057,0,3620
HHLDS_1_VEH,592.4960986,0,7860
HHLDS_2_VEH,294.3974719,0,1692
HHLDS_3P_VEH,95.19023096,0,602
