,Pickup Census Tract,Dropoff Census Tract,MONTH,DAY,Trip Seconds,Trip Miles,Fare,Tip,Additional Charges,Trip Total,PRIVATE_TRIPS,SHARED_TRIPS,Trips Pooled,TOD,TOTAL_POP_ORIGIN,TOTAL_MALE_ORIGIN,TOTAL_FEMALE_ORIGIN,AGE_5U_ORIGIN,AGE_5_9_ORIGIN,AGE_10_14_ORIGIN,AGE_15_19_ORIGIN,AGE_20_24_ORIGIN,AGE_25_34_ORIGIN,AGE_35_44_ORIGIN,AGE_45_54_ORIGIN,AGE_55_59_ORIGIN,AGE_60_64_ORIGIN,AGE_65_74_ORIGIN,AGE_75_84_ORIGIN,AGE_85P_ORIGIN,MEDIAN_AGE_ORIGIN,TOTAL_HHLDS_ORIGIN,AVG_HHLD_SIZE_ORIGIN,AVG_FAMILY_SIZE_ORIGIN,TOTAL_POP_18_24_ORIGIN,TOTAL_POP_18_24_NO_HIGH_SCHOOL_ORIGIN,TOTAL_POP_18_24_HIGH_SCHOOL_ORIGIN,TOTAL_POP_18_24_SOME_COLLEGE_ORIGIN,TOTAL_POP_18_24_SOME_BACHELORS_HIGHER_ORIGIN,TOTAL_POP_25P_ORIGIN,TOTAL_POP_25P_LESS_THAN_9TH_ORIGIN,TOTAL_POP_25P_9TH_TO_12TH_ORIGIN,TOTAL_POP_25P_HIGH_SCHOOL_ORIGIN,TOTAL_POP_25P_SOME_COLLEGE_ORIGIN,TOTAL_POP_25P_ASSOCIATES_ORIGIN,TOTAL_POP_25P_BACHELORS_ORIGIN,TOTAL_POP_25P_GRADUATE_ORIGIN,TOTAL_POP_25P_HIGH_SCHOOL_HIGHER_ORIGIN,TOTAL_POP_25P_BACHELORS_HIGHER_ORIGIN,TOTAL_HHLDS_LESS_10K_ORIGIN,TOTAL_HHLDS_10K_15K_ORIGIN,TOTAL_HHLDS_15K_25K_ORIGIN,TOTAL_HHLDS_25K_35K_ORIGIN,TOTAL_HHLDS_35K_50K_ORIGIN,TOTAL_HHLDS_50K_75K_ORIGIN,TOTAL_HHLDS_75K_100K_ORIGIN,TOTAL_HHLDS_100K_150K_ORIGIN,TOTAL_HHLDS_150K_200K_ORIGIN,TOTAL_HHLDS_200KP_ORIGIN,HHLDS_MEDIAN_INCOME_ORIGIN,HHLDS_MEAN_INCOME_ORIGIN,TOTAL_POP_DESTINATION,TOTAL_MALE_DESTINATION,TOTAL_FEMALE_DESTINATION,AGE_5U_DESTINATION,AGE_5_9_DESTINATION,AGE_10_14_DESTINATION,AGE_15_19_DESTINATION,AGE_20_24_DESTINATION,AGE_25_34_DESTINATION,AGE_35_44_DESTINATION,AGE_45_54_DESTINATION,AGE_55_59_DESTINATION,AGE_60_64_DESTINATION,AGE_65_74_DESTINATION,AGE_75_84_DESTINATION,AGE_85P_DESTINATION,MEDIAN_AGE_DESTINATION,CENSUS_TRACT_DESTINATION,TOTAL_HHLDS_DESTINATION,AVG_HHLD_SIZE_DESTINATION,AVG_FAMILY_SIZE_DESTINATION,TOTAL_POP_18_24_DESTINATION,TOTAL_POP_18_24_NO_HIGH_SCHOOL_DESTINATION,TOTAL_POP_18_24_HIGH_SCHOOL_DESTINATION,TOTAL_POP_18_24_SOME_COLLEGE_DESTINATION,TOTAL_POP_18_24_SOME_BACHELORS_HIGHER_DESTINATION,TOTAL_POP_25P_DESTINATION,TOTAL_POP_25P_LESS_THAN_9TH_DESTINATION,TOTAL_POP_25P_9TH_TO_12TH_DESTINATION,TOTAL_POP_25P_HIGH_SCHOOL_DESTINATION,TOTAL_POP_25P_SOME_COLLEGE_DESTINATION,TOTAL_POP_25P_ASSOCIATES_DESTINATION,TOTAL_POP_25P_BACHELORS_DESTINATION,TOTAL_POP_25P_GRADUATE_DESTINATION,TOTAL_POP_25P_HIGH_SCHOOL_HIGHER_DESTINATION,TOTAL_POP_25P_BACHELORS_HIGHER_DESTINATION,TOTAL_HHLDS_LESS_10K_DESTINATION,TOTAL_HHLDS_10K_15K_DESTINATION,TOTAL_HHLDS_15K_25K_DESTINATION,TOTAL_HHLDS_25K_35K_DESTINATION,TOTAL_HHLDS_35K_50K_DESTINATION,TOTAL_HHLDS_50K_75K_DESTINATION,TOTAL_HHLDS_75K_100K_DESTINATION,TOTAL_HHLDS_100K_150K_DESTINATION,TOTAL_HHLDS_150K_200K_DESTINATION,TOTAL_HHLDS_200KP_DESTINATION,HHLDS_MEDIAN_INCOME_DESTINATION,HHLDS_MEAN_INCOME_DESTINATION,ORIGIN_CENSUS_TRACT,DESTINATION_CENSUS_TRACT,TOTAL_EMP_LEHD_OD,29U_EMP_LEHD_OD,30_54_EMP_LEHD_OD,55P_EMP_LEHD_OD,1250U_EMP_LEHD_OD,1251_3333_EMP_LEHD_OD,3333P_EMP_LEHD_OD,TOTAL_EMP_RAC_ORIGIN,29U_EMP_RAC_ORIGIN,30_54_EMP_RAC_ORIGIN,55P_EMP_RAC_ORIGIN,1250U_EMP_RAC_ORIGIN,1251_3333__RAC_ORIGIN,3333P_EMP_RAC_ORIGIN,FOOD_SERVICE_EMP_RAC_ORIGIN,TOTAL_EMP_RAC_DESTINATION,29U_EMP_RAC_DESTINATION,30_54_EMP_RAC_DESTINATION,55P_EMP_RAC_DESTINATION,1250U_EMP_RAC_DESTINATION,1251_3333_EMP_RAC_DESTINATION,3333P_EMP_RAC_DESTINATION,FOOD_SERVICE_EMP_RAC_DESTINATION,TOTAL_EMP_WAC_ORIGIN,29U_EMP_WAC_ORIGIN,30_54_EMP_WAC_ORIGIN,55P_EMP_WAC_ORIGIN,1250U_EMP_WAC_ORIGIN,1251_3333__WAC_ORIGIN,333P_EMP_WAC_ORIGIN,FOOD_SERVICE_EMP_WAC_ORIGIN,TOTAL_EMP_WAC_DESTINATION,29U_EMP_WAC_DESTINATION,30_54_EMP_WAC_DESTINATION,55P_EMP_WAC_DESTINATION,1250U_EMP_WAC_DESTINATION,1251_3333__WAC_DESTINATION,3333P_EMP_WAC_DESTINATION,FOOD_SERVICE_EMP_WAC_DESTINATION
0,17031010100,17031010100,1.545454545,14.68181818,357.0886364,1.089393939,4.126893939,0.606060606,2.35125,7.084204545,1.272727273,0.409090909,1.772727273,1,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,17031010100,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,10100,10100,25.13986026,2.011188821,14.07832175,9.050349695,8.044755284,14.07832175,3.016783232,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315
1,17031010100,17031010201,1.482758621,15.31034483,285.9022989,1.06954023,3.735632184,0.068965517,2.387068966,6.191666667,0.896551724,0.655172414,1.862068966,1,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,7039,3701,3338,480,507,479,430,259,1225,1390,956,395,454,220,208,36,36.3,17031010201,2688,2.55,3.49,395,147,94,104,50,4884,526,448,1202,894,309,947,558,3910,1505,17.6,2.5,12.6,15.1,6.7,22.4,8,12.3,1.2,1.6,39549,39549,10100,10201,15.08391616,2.011188821,9.050349695,4.022377642,4.022377642,8.044755284,3.016783232,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,3878.577641,994.532872,2135.882528,748.1622414,971.4042006,1411.854552,1495.318888,457.5454568,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315,1205.707698,282.5720294,629.502101,293.6335679,506.8195829,519.8923103,178.9958051,33.18461555
2,17031010100,17031010202,1.384615385,16,230.3076923,0.576923077,2.884615385,0.076923077,2.153846154,5.115384615,0.461538462,0.692307692,1.307692308,1,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,2852,1390,1462,245,122,123,174,178,526,289,295,290,228,266,83,33,35.7,17031010202,1102,2.3,3.54,305,111,117,51,26,2010,222,186,396,403,134,425,244,1602,669,12,2.5,18.2,13.6,15.2,17.9,8.1,8.8,2.5,1.1,38370,38370,10100,10202,6.033566463,2.011188821,3.016783232,1.005594411,0,6.033566463,0,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,5422.165062,1208.724481,2948.402812,1265.037768,1323.362244,1730.627981,2368.174837,435.4223798,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315,5710.770657,1572.749658,2903.151063,1234.869936,1616.995812,2210.296514,1883.478331,348.9412605
3,17031010100,17031010300,1.5,14.33333333,206.625,0.7,3.333333333,0.25,2.125,5.708333333,0.916666667,0.333333333,1.416666667,1,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,6650,3294,3356,351,342,150,267,315,1053,1190,954,407,374,719,291,237,41.6,17031010300,3037,1.87,2.84,448,184,32,78,154,5225,281,321,1371,975,217,1029,1031,4623,2060,10.9,6.8,7.9,18.7,14.7,13.1,14.2,5,3.3,5.3,38866,38866,10100,10300,7.039160874,0,2.011188821,5.027972053,0,6.033566463,1.005594411,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,18448.63506,4114.892328,9960.412636,4373.330091,4553.331491,6415.692339,7479.611226,1570.738469,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315,6953.685349,1191.629376,3950.980439,1811.075533,1711.521687,2680.914699,2561.248964,203.1300709
4,17031010100,17031010400,1.588235294,10.76470588,365.4313725,1.462745098,4.950980392,0.490196078,1.647058824,7.088235294,0.529411765,0.588235294,1.294117647,1,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,5153,2405,2748,84,232,148,1178,907,839,534,461,163,266,254,51,36,25.2,17031010400,1938,1.86,2.98,1981,0,488,1265,228,2604,50,36,294,367,152,1070,635,2518,1705,15.2,4.7,12.4,9.2,16.8,15.3,9.3,11.8,3.8,1.4,39152,39152,10100,10400,2.011188821,1.005594411,0,1.005594411,1.005594411,1.005594411,0,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,16317.7805,3894.667152,8445.987454,3977.125894,4023.383237,5395.014013,6899.383251,1415.87693,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315,17294.21267,3218.907708,9510.911935,4564.393029,3526.619598,5732.893735,8034.69934,1123.248957
5,17031010100,17031010501,1.411764706,15.11764706,254.3431373,1.046078431,4.019607843,0.529411765,1.877941176,6.426960784,0.647058824,0.529411765,1.470588235,1,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,4147,2042,2105,228,128,20,67,304,1203,748,595,185,186,227,175,81,37.7,17031010501,2425,1.7,2.79,318,40,16,95,167,3400,34,100,585,661,167,1058,795,3266,1853,12.2,8,19.8,10.8,15.7,13.9,9.3,3.5,4.3,2.5,34455,34455,10100,10501,5.027972053,0,3.016783232,2.011188821,1.005594411,4.022377642,0,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,2229.402808,622.4629401,1261.015391,345.9244772,477.657345,833.6377663,918.1076968,278.5496517,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315,146.8167839,33.18461555,84.46993049,29.16223791,29.16223791,52.29090935,65.36363669,53.29650376
6,17031010100,17031010502,1.4,9.6,439.25,1.895,5.375,0.7,2.545,8.62,0.9,0.3,1.2,1,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,2802,1475,1327,81,63,114,76,592,695,560,340,91,70,84,14,22,31.3,17031010502,1508,1.83,2.7,650,55,59,375,161,1876,7,99,193,442,94,644,397,1770,1041,9.7,8.6,15.2,13.3,21.3,15.4,4.8,6.8,4.6,0.5,37500,37500,10100,10502,3.016783232,1.005594411,0,2.011188821,1.005594411,2.011188821,0,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,1653.197211,461.5678344,963.3594453,228.2699312,371.0643375,577.2111917,704.9216818,210.1692318,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315,195.0853156,99.55384664,65.36363669,30.16783232,95.531469,64.35804227,35.19580437,147.8223783
7,17031010100,17031010503,1.833333333,14.83333333,358.3333333,1.483333333,5,0.5,2.55,8.05,1.166666667,0,1.166666667,1,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,1713,808,905,55,42,0,13,440,286,55,104,24,129,365,128,72,37.1,17031010503,968,1.76,2.54,453,0,50,389,14,1163,135,65,270,215,42,203,233,963,436,29.3,10.8,16,6,9.1,14,3,5,1.8,5,20357,20357,10100,10503,,,,,,,,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,773.3021017,233.2979032,403.2433586,136.7608398,167.9342666,257.4321691,347.935666,90.50349695,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315,292.6279735,86.48111931,149.8335672,56.31328699,93.52028018,132.7384622,66.3692311,49.27412612
8,17031010100,17031010600,1.789473684,14.73684211,422.3596491,1.645614035,5.263157895,0.421052632,2.369298246,8.053508772,0.947368421,0.263157895,1.210526316,1,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,6271,3199,3072,289,294,185,248,729,1608,938,840,436,212,339,95,58,33,17031010600,2875,2.12,3.03,904,123,147,463,171,4526,239,124,664,830,253,1435,981,4163,2416,13.3,9.9,9.8,5.4,14.3,16.9,5.5,12.1,6.3,6.5,47549,47549,10100,10600,5.027972053,1.005594411,2.011188821,2.011188821,0,5.027972053,0,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,11490.92733,2702.032181,6117.030799,2671.864349,2893.095119,4059.584635,4538.247575,1156.433572,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315,4918.362262,1602.91749,2227.391619,1088.053152,1886.495114,1943.813996,1088.053152,555.0881146
9,17031010100,17031010701,1.666666667,10.22222222,422.8888889,1.366666667,5.416666667,0.333333333,2.261111111,8.011111111,0.888888889,0.222222222,1.222222222,1,4522,2301,2221,384,253,240,51,431,845,761,552,543,210,192,18,42,35.3,2316,1.89,3,466,0,133,163,170,3163,26,314,533,729,78,916,567,2823,1483,20.5,4.8,13.1,10.4,8.5,12.3,10.4,13.8,3.8,2.5,37985,37985,3766,1895,1871,314,371,115,75,228,759,602,558,154,246,186,146,12,36.1,17031010701,1459,2.58,3.35,228,54,19,112,43,2663,269,82,636,399,57,670,550,2312,1220,7.4,2.5,11.8,9.6,14,18.8,13.5,10.8,7,4.7,55529,55529,10100,10701,1.005594411,0,1.005594411,0,0,0,1.005594411,20193.34136,4746.405618,10800.08397,4646.851771,5129.537088,7446.42661,7617.37766,1667.275533,5411.103523,1329.395811,3014.772043,1066.93567,1287.160845,1817.1091,2306.833578,536.9874152,9079.511933,1994.093716,4582.493729,2502.924488,2668.847566,3633.212605,2777.451762,713.9720315,3187.734281,992.5216832,1505.374833,689.8377656,1176.54546,1264.032174,747.156647,588.2727302
