,GEOID,CTA_STOPS,METRA_STOPS,PACE_STOPS,TRANSIT_STOPS
0,17031010100,2.0,0.0,0.0,2.0
1,17031010201,4.0,0.0,7.0,11.0
2,17031010202,20.0,0.0,8.0,28.0
3,17031010300,17.0,0.0,0.0,17.0
4,17031010400,11.0,0.0,0.0,11.0
5,17031010501,9.0,0.0,0.0,9.0
6,17031010502,5.0,0.0,0.0,5.0
7,17031010503,8.0,0.0,0.0,8.0
8,17031010600,13.0,0.0,0.0,13.0
9,17031010701,7.0,1.0,0.0,8.0
10,17031010702,13.0,0.0,0.0,13.0
11,17031020100,7.0,0.0,6.0,13.0
12,17031020200,23.0,0.0,18.0,41.0
13,17031020301,15.0,0.0,5.0,20.0
14,17031020302,15.0,0.0,4.0,19.0
15,17031020400,12.0,0.0,2.0,14.0
16,17031020500,11.0,0.0,0.0,11.0
17,17031020601,12.0,0.0,0.0,12.0
18,17031020602,6.0,0.0,0.0,6.0
19,17031020701,22.0,0.0,0.0,22.0
20,17031020702,17.0,0.0,0.0,17.0
21,17031020801,14.0,0.0,0.0,14.0
22,17031020802,17.0,0.0,0.0,17.0
23,17031020901,10.0,0.0,0.0,10.0
24,17031020902,5.0,0.0,0.0,5.0
25,17031030101,6.0,0.0,0.0,6.0
26,17031030102,7.0,0.0,0.0,7.0
27,17031030103,3.0,0.0,0.0,3.0
28,17031030104,4.0,0.0,0.0,4.0
29,17031030200,13.0,0.0,0.0,13.0
30,17031030300,6.0,0.0,0.0,6.0
31,17031030400,10.0,0.0,0.0,10.0
32,17031030500,18.0,0.0,0.0,18.0
33,17031030601,4.0,0.0,0.0,4.0
34,17031030603,3.0,0.0,0.0,3.0
35,17031030604,4.0,0.0,0.0,4.0
36,17031030701,4.0,0.0,0.0,4.0
37,17031030702,2.0,0.0,0.0,2.0
38,17031030703,12.0,0.0,0.0,12.0
39,17031030706,9.0,0.0,0.0,9.0
40,17031030800,9.0,0.0,0.0,9.0
41,17031030900,18.0,0.0,0.0,18.0
42,17031031000,9.0,0.0,0.0,9.0
43,17031031100,12.0,0.0,0.0,12.0
44,17031031200,16.0,0.0,0.0,16.0
45,17031031300,21.0,0.0,0.0,21.0
46,17031031400,32.0,0.0,0.0,32.0
47,17031031501,4.0,0.0,0.0,4.0
48,17031031502,9.0,0.0,0.0,9.0
49,17031031700,12.0,0.0,0.0,12.0
50,17031031800,6.0,0.0,0.0,6.0
51,17031031900,7.0,0.0,0.0,7.0
52,17031032100,24.0,0.0,0.0,24.0
53,17031040100,18.0,0.0,0.0,18.0
54,17031040201,25.0,0.0,0.0,25.0
55,17031040202,18.0,0.0,0.0,18.0
56,17031040300,9.0,0.0,0.0,9.0
57,17031040401,7.0,0.0,0.0,7.0
58,17031040402,15.0,0.0,0.0,15.0
59,17031040600,14.0,0.0,0.0,14.0
60,17031040700,11.0,0.0,0.0,11.0
61,17031040800,4.0,0.0,0.0,4.0
62,17031040900,10.0,0.0,0.0,10.0
63,17031050100,13.0,0.0,0.0,13.0
64,17031050200,14.0,0.0,0.0,14.0
65,17031050300,6.0,0.0,0.0,6.0
66,17031050500,15.0,0.0,0.0,15.0
67,17031050600,11.0,0.0,0.0,11.0
68,17031050700,4.0,0.0,0.0,4.0
69,17031050800,4.0,0.0,0.0,4.0
70,17031050900,3.0,0.0,0.0,3.0
71,17031051000,3.0,0.0,0.0,3.0
72,17031051100,5.0,0.0,0.0,5.0
73,17031051200,4.0,0.0,0.0,4.0
74,17031051300,9.0,0.0,0.0,9.0
75,17031051400,6.0,0.0,0.0,6.0
76,17031060100,7.0,0.0,0.0,7.0
77,17031060200,4.0,0.0,0.0,4.0
78,17031060300,6.0,0.0,0.0,6.0
79,17031060400,7.0,0.0,0.0,7.0
80,17031060500,6.0,0.0,0.0,6.0
81,17031060800,10.0,0.0,0.0,10.0
82,17031060900,21.0,0.0,0.0,21.0
83,17031061000,5.0,0.0,0.0,5.0
84,17031061100,4.0,0.0,0.0,4.0
85,17031061200,3.0,0.0,0.0,3.0
86,17031061500,4.0,0.0,0.0,4.0
87,17031061800,6.0,0.0,0.0,6.0
88,17031061901,5.0,0.0,0.0,5.0
89,17031061902,10.0,0.0,0.0,10.0
90,17031062000,7.0,0.0,0.0,7.0
91,17031062100,9.0,0.0,0.0,9.0
92,17031062200,1.0,0.0,0.0,1.0
93,17031062300,3.0,0.0,0.0,3.0
