route_id,route_short_name,route_long_name,route_desc,route_type
"100133","240","","Bellevue\Renton",3
"100124","232","","Bellevue/Redmond",3
"100261","68","","Northgate to UW Campus via 25 NE",3
"100265","71","","View Ridge",3
"102554","241","","Eastgate Factoria BTC Fall 11",3
"100183","309","","Kenmore - S Lk Union - First Hill",3
"100053","16","","Meridian",3
"100132","24","","Magnolia via W Government Wy",3
"100221","41","","Lake City/Northgate/CBD",3
"100275","8","","Cap.Hill/Denny Wy",3
"100146","255","","Seattle/Kirkland/Kingsgate (Tunnel)",3
"100072","181","","Green River CC/Auburn/Federal Way",3
"100224","44","","ballard/montlake",3
"100186","311","","Seattle/Woodinville",3
"100017","119","","Dockton",3
"100249","60","","Beacon Hill/Broadway dist Shuttle",3
"100001","1","","kinnear",3
"100003","101","","Renton Transit Center to CBD",3
"100263","7","","Route 7",3
"100134","242","","North Seattle to Overlake",3
"100230","50","","Seward Park/Alki",3
"100156","265","","Redmond/Seattle Express",3
"100039","14","","Mt Baker",3
"100045","150","","Kent-Southcenter to C.B.D. & Tunnel",3
"100348","99","","Waterfront",3
"102572","29","","Ballard - West Queen Anne (old 2express",3
"100126","234","","Bellevue/Kirkland/Kenmore",3
"100111","22","","West Seattle/White Center",3
"100140","25","","Laurelhurst-Lakeview",3
"100088","197","","Twin Lakes P&R/Federal Way/Univ Dist",3
"100019","120","","Burien to Seattle via Ambaum & Delridge",3
"100228","48","","Loyal Heights/Mt Baker TC",3
"100238","55","","W. Sea. Admiral Dist",3
"100100","209","","Issaquah/North Bend Shuttle",3
"100068","177","","Federal Way P&R Via I-5 --Tunnel",3
"100269","75","","UW - NTC - Ballard",3
"100020","121","","Normandy Park express",3
"100184","31","","Magnolia to University",3
"100137","246","","Bellevue/Somerset/Factoria - old",3
"100040","140","","Renton to Burien",3
"100030","131","","Normandy Park",3
"100476","244","","Kenmore Kingsgate Overlake",3
"100073","182","","Federal Way-NE Tacoma",3
"100174","30","","Sandpoint/U-Dist",3
"100160","269","","Issaquah Plateau",3
"100057","164","","GGreen River Coll-Kent P&R Via Lk. Merid",3
"100009","11","","Madison",3
"100193","32","","Seattle Center to U-District",3
"100173","3","","Route 3",3
"100005","106","","Renton-Downtown Seattle",3
"100108","216","","Sammamish/CBD",3
"100021","122","","Des moines express",3
"100219","4","","Route 4",3
"100101","21","","35  Av SW/Arbor Heights",3
"100077","186","","Auburn/Enumclaw Shuttle",3
"100169","28","","Broadview",3
"100177","303","","Shoreline - NTC - First Hill",3
"100006","107","","Rainier Beach/Renton Shuttle",3
"100127","235","","BTC To Kingsgate Fall 2011",3
"100018","12","","interlaken park",3
"100004","105","","Renton Hub - Renton Highlands",3
