route_id,service_id,trip_id
"100194","GTFPathDay","21731018"
"100161","GTFPathDay","21731027"
"100161","GTFPathDay","21731032"
"100161","GTFPathDay","21731062"
"100161","GTFPathDay","21731071"
"100194","GTFPathDay","21731084"
"100161","GTFPathDay","21731085"
"100194","GTFPathDay","21730979"
"100194","GTFPathDay","21730994"
"100194","GTFPathDay","21730997"
"100194","GTFPathDay","21731019"
"100161","GTFPathDay","21731023"
"100161","GTFPathDay","21731028"
"100161","GTFPathDay","21731033"
"100161","GTFPathDay","21731063"
"100161","GTFPathDay","21731067"
"100194","GTFPathDay","21730977"
"100194","GTFPathDay","21730992"
"100194","GTFPathDay","21730995"
"100194","GTFPathDay","21731005"
"100194","GTFPathDay","21731016"
"100161","GTFPathDay","21731025"
"100161","GTFPathDay","21731030"
"100194","GTFPathDay","21731056"
"100161","GTFPathDay","21731065"
"100161","GTFPathDay","21731069"
"100194","GTFPathDay","21730976"
"100194","GTFPathDay","21730980"
"100194","GTFPathDay","21731003"
"100194","GTFPathDay","21731004"
"100161","GTFPathDay","21731024"
"100161","GTFPathDay","21731029"
"100161","GTFPathDay","21731034"
"100194","GTFPathDay","21731057"
"100161","GTFPathDay","21731064"
"100161","GTFPathDay","21731068"
"100023","GTFPathDay","21730839"
"100023","GTFPathDay","21730793"
"100023","GTFPathDay","21730844"
"100023","GTFPathDay","21730868"
"100132","GTFPathDay","21730880"
"100132","GTFPathDay","21730909"
"100132","GTFPathDay","21730916"
"100023","GTFPathDay","21730792"
"100023","GTFPathDay","21730841"
"100023","GTFPathDay","21730848"
"100132","GTFPathDay","21730877"
"100132","GTFPathDay","21730884"
"100132","GTFPathDay","21730913"
"100030","GTFPathDay","21767777"
"100169","GTFPathDay","21382005"
"100169","GTFPathDay","21382014"
"100169","GTFPathDay","21382267"
"100031","GTFPathDay","21759787"
"100031","GTFPathDay","21767752"
"100031","GTFPathDay","21767761"
"100169","GTFPathDay","21382010"
"100031","GTFPathDay","21759754"
"100031","GTFPathDay","21767757"
"100169","GTFPathDay","21382009"
"100169","GTFPathDay","21382263"
"100169","GTFPathDay","21382271"
"100021","GTFPathDay","21381314"
"100020","GTFPathDay","21381789"
"100169","GTFPathDay","21382011"
"100169","GTFPathDay","21382264"
"100031","GTFPathDay","21759784"
"100030","GTFPathDay","21767719"
"100031","GTFPathDay","21767749"
"100031","GTFPathDay","21767758"
"100169","GTFPathDay","21382008"
"100169","GTFPathDay","21382262"
"100169","GTFPathDay","21382270"
"100031","GTFPathDay","21759782"
"100031","GTFPathDay","21759790"
"100031","GTFPathDay","21767755"
