stop_id,stop_name,stop_desc,stop_lat,stop_lon
"60","1ST AVE & UNION ST","", 47.607330,-122.338760
"70","1ST AVE & SENECA ST","", 47.605740,-122.337318
"130","1ST AVE S & S JACKSON ST","", 47.599548,-122.334091
"150","1ST AVE & YESLER WAY","", 47.602207,-122.334076
"170","1ST AVE & MARION ST","", 47.604321,-122.335785
"180","1ST AVE & SENECA ST","", 47.606079,-122.337379
"185","SENECA ST & 2ND AVE","", 47.606941,-122.335403
"190","1ST AVE & UNIVERSITY ST","", 47.607189,-122.338409
"200","1ST AVE & PINE ST","", 47.609798,-122.340782
"220","1ST AVE & LENORA ST","", 47.612099,-122.344200
"230","1ST AVE & BELL ST","", 47.613663,-122.346848
"250","2ND AVE & BELL ST","", 47.613705,-122.345253
"259","BLANCHARD ST & 4TH AVE","", 47.614525,-122.342598
"260","2ND AVE & LENORA ST","", 47.612164,-122.342628
"280","2ND AVE & STEWART ST","", 47.610703,-122.340332
"300","2ND AVE & PIKE ST","", 47.608646,-122.338432
"320","2ND AVE & SENECA ST","", 47.606213,-122.336205
"340","2ND AVE & MARION ST","", 47.604465,-122.334625
"360","2ND AVE & CHERRY ST","", 47.603020,-122.333298
"361","2ND AVE & JAMES ST","", 47.602478,-122.332809
"390","2 AVE EXT S & S JACKSON ST","", 47.599266,-122.329857
"400","3RD AVE & BELL ST","", 47.614445,-122.344513
"420","3RD AVE & VIRGINIA ST","", 47.612373,-122.341019
"430","3RD AVE & PINE ST","", 47.610970,-122.339050
"431","3RD AVE & PIKE ST","", 47.609791,-122.337959
"450","3RD AVE & UNION ST","", 47.608250,-122.336548
"455","UNIVERSITY STREET","", 47.607246,-122.335754
"99455","UNIVERSITY STREET","", 47.607246,-122.335754
"456","UNIVERSITY STREET","", 47.607609,-122.336082
"468","3RD AVE & SENECA ST","", 47.606503,-122.334938
"480","3RD AVE & MARION ST","", 47.604996,-122.333572
"482","COLUMBIA ST & 2ND AVE","", 47.603806,-122.333847
"490","3RD AVE & COLUMBIA ST","", 47.603794,-122.332466
"500","3RD AVE & JAMES ST","", 47.602234,-122.331047
"501","PIONEER SQUARE","", 47.602139,-122.331055
"99501","PIONEER SQUARE","", 47.602139,-122.331055
"502","PIONEER SQUARE","", 47.602608,-122.331497
"515","3RD AVE S & S MAIN ST","", 47.600239,-122.330376
"531","3RD AVE & JAMES ST","", 47.602642,-122.331184
"532","PIONEER SQUARE","", 47.603199,-122.331581
"99532","PIONEER SQUARE","", 47.603199,-122.331581
"533","PIONEER SQUARE","", 47.602581,-122.331017
"538","3RD AVE & COLUMBIA ST","", 47.604191,-122.332588
"548","3RD AVE & MADISON ST","", 47.605541,-122.333832
"558","3RD AVE & SENECA ST","", 47.607052,-122.335213
"565","UNIVERSITY STREET","", 47.608246,-122.336166
"99565","UNIVERSITY STREET","", 47.608246,-122.336166
"566","UNIVERSITY STREET","", 47.607723,-122.335686
"570","3RD AVE & UNION ST","", 47.608688,-122.336700
"578","3RD AVE & PIKE ST","", 47.610291,-122.338173
"590","3RD AVE & PINE ST","", 47.611137,-122.338966
"600","3RD AVE & VIRGINIA ST","", 47.612663,-122.341194
"605","3RD AVE & BELL ST","", 47.615036,-122.345200
"619","4TH AVE S & S JACKSON ST","", 47.599560,-122.328979
"620","4TH AVE S & S JACKSON ST","", 47.598812,-122.328903
"621","INT'L DISTRICT","", 47.598450,-122.327820
"99621","INT'L DISTRICT","", 47.598450,-122.327820
"622","INT'L DISTRICT","", 47.597939,-122.327820
"623","INT'L DISTRICT","", 47.597660,-122.328217
"99623","INT'L DISTRICT","", 47.597660,-122.328217
"624","INT'L DISTRICT","", 47.598381,-122.328186
"625","S WASHINGTON ST & 4TH AVE S","", 47.600803,-122.329048
"628","4TH AVE S & S WASHINGTON ST","", 47.601223,-122.328888
"640","4TH AVE & JAMES ST","", 47.603127,-122.330086
"648","4TH AVE & CHERRY ST","", 47.604321,-122.331169
"660","4TH AVE & MADISON ST","", 47.606075,-122.332779
"670","4TH AVE & SENECA ST","", 47.607498,-122.334076
"675","SENECA ST & 5TH AVE","", 47.608070,-122.333092
"682","4TH AVE & UNIVERSITY ST","", 47.608822,-122.335297
"700","4TH AVE & PIKE ST","", 47.610809,-122.337112
"720","4TH AVE & STEWART ST","", 47.612621,-122.339134
"730","4TH AVE & LENORA ST","", 47.614029,-122.341522
"740","4TH AVE & BELL ST","", 47.615337,-122.343719
"760","5TH AVE & PINE ST","", 47.611668,-122.336601
"790","5TH AVE & SENECA ST","", 47.608177,-122.333405
"810","5TH AVE & MARION ST","", 47.605831,-122.331261
"820","5TH AVE & JEFFERSON ST","", 47.603092,-122.328751
"840","5TH AVE S & S JACKSON ST","", 47.599880,-122.327560
"843","5TH AVE S & S JACKSON ST","", 47.598984,-122.327766
"910","STEWART ST & YALE AVE","", 47.618114,-122.331345
"940","STEWART ST & 9TH AVE","", 47.615704,-122.334457
"950","STEWART ST & 7TH AVE","", 47.614361,-122.336205
"970","STEWART ST & 4TH AVE","", 47.612129,-122.339073
"992","HOWELL ST & 9TH AVE","", 47.614635,-122.333260
"1020","HOWELL ST & YALE AVE","", 47.617626,-122.329407
"1030","OLIVE WAY & 4TH AVE","", 47.612099,-122.338570
"1040","OLIVE WAY & 6TH AVE","", 47.613026,-122.336334
"1050","OLIVE WAY & 8TH AVE","", 47.613937,-122.334160
"1070","OLIVE WAY & TERRY AVE","", 47.614914,-122.331848
"1082","CONVENTION PLACE","", 47.614113,-122.331726
"1083","CONVENTION PLACE","", 47.614220,-122.331795
"1084","CONVENTION PLACE","", 47.614277,-122.331863
"1085","PINE ST & 9TH AVE","", 47.613377,-122.332603
"1086","CONVENTION PLACE","", 47.614281,-122.331902
"1108","WESTLAKE STATION","", 47.611393,-122.337509
"91108","WESTLAKE STATION","", 47.611393,-122.337509
"1109","WESTLAKE STATION","", 47.611725,-122.336716
"1110","PINE ST & 5TH AVE","", 47.611767,-122.336456
"1111","PINE ST & 3RD AVE","", 47.610844,-122.338554
"1120","PINE ST & 4TH AVE","", 47.611103,-122.338028
"1121","WESTLAKE STATION","", 47.611801,-122.335823
"91121","WESTLAKE STATION","", 47.611801,-122.335823
"1122","WESTLAKE STATION","", 47.611286,-122.337067
"1130","PINE ST & 2ND AVE","", 47.610165,-122.340279
"1180","PIKE ST & 4TH AVE","", 47.610134,-122.336685
"1190","PIKE ST & 6TH AVE","", 47.611034,-122.334526
"1192","CONVENTION PLACE","", 47.613941,-122.331520
"1193","CONVENTION PLACE","", 47.613785,-122.331879
"1209","CONVENTION PL & UNION ST","", 47.611034,-122.331863
"1215","UNION ST & 6TH AVE","", 47.610077,-122.333923
"1230","UNION ST & 4TH AVE","", 47.609131,-122.336182
"1250","SENECA ST & 4TH AVE","", 47.607422,-122.334610
"1260","SENECA ST & 6TH AVE","", 47.608742,-122.331482
"1270","SPRING ST & 4TH AVE","", 47.606876,-122.333206
"1280","SPRING ST & 6TH AVE","", 47.607815,-122.330948
"1300","MADISON ST & 8TH AVE","", 47.608028,-122.328079
"1310","YESLER WAY & POST AVE","", 47.601658,-122.334908
"1315","YESLER WAY & 1ST AVE S","", 47.601658,-122.333656
"1340","YESLER WAY & PREFONTAINE PL S","", 47.601646,-122.329857
"1350","YESLER WAY & 6TH AVE S","", 47.601639,-122.325966
"1360","YESLER WAY & 5TH AVE","", 47.601788,-122.327400
"1370","YESLER WAY & 3RD AVE","", 47.601780,-122.329803
"1400","MADISON ST & 5TH AVE","", 47.606636,-122.331779
"1415","MADISON ST & 4TH AVE","", 47.605984,-122.333366
"1420","MADISON ST & 2ND AVE","", 47.605328,-122.334923
"1425","MADISON ST & 1ST AVE","", 47.604778,-122.336220
"1451","S MAIN ST & 3RD AVE S","", 47.599972,-122.329826
"1466","S JACKSON ST & 2ND AVE S","", 47.599136,-122.331223
"1471","S JACKSON ST & 5TH AVE S","", 47.599125,-122.328041
"1480","S JACKSON ST & MAYNARD AVE S","", 47.599117,-122.324570
"1490","S JACKSON ST & 8TH AVE S","", 47.599117,-122.322044
"1495","8TH AVE S & S KING ST","", 47.598515,-122.322548
"1500","S JACKSON ST & 8TH AVE S","", 47.599255,-122.322327
"1510","S JACKSON ST & MAYNARD AVE S","", 47.599262,-122.325455
"1530","S JACKSON ST & 5TH AVE S","", 47.599266,-122.328384
"1535","S JACKSON ST & OCCIDENTAL AVE S","", 47.599270,-122.332436
"1540","JAMES ST & 5TH AVE","", 47.603817,-122.329102
"1550","JAMES ST & 4TH AVE","", 47.603172,-122.330635
"1560","JAMES ST & 3RD AVE","", 47.602783,-122.331192
"1570","JAMES ST & 5TH AVE","", 47.603786,-122.328789
"1580","MARION ST & 2ND AVE","", 47.604534,-122.334076
"1590","MARION ST & 4TH AVE","", 47.605461,-122.331863
"1600","6TH AVE & MARION ST","", 47.606571,-122.330170
"1610","PREFONTAINE PL S & YESLER WAY","", 47.601730,-122.330116
"1619","WESTLAKE AVE & VIRGINIA ST","", 47.614864,-122.337860
"1630","WESTLAKE AVE & OLIVE WAY","", 47.613281,-122.337547
"1690","3RD AVE & VINE ST","", 47.616871,-122.348297
"1710","TERRACE ST & 5TH AVE","", 47.602112,-122.328064
"1788","ALASKAN WAY & PIKE ST","", 47.607868,-122.342850
"1790","ALASKAN WAY & UNIVERSITY ST","", 47.605881,-122.340508
"1810","ALASKAN WAY & CLAY ST","", 47.614166,-122.353737
"1811","ALASKAN WAY & WALL ST","", 47.612663,-122.351059
"1833","ALASKAN WAY & BELL ST","", 47.611183,-122.348488
"1878","ALASKAN WAY & MADISON ST","", 47.603931,-122.338684
"1880","ALASKAN WAY & MADISON ST","", 47.603394,-122.338203
"1881","ALASKAN WAY & MARION ST","", 47.602840,-122.337708
"1888","VASHON PASS FERRY & PIER 50","", 47.601521,-122.337929
"1889","VASHON PASS FERRY & PIER 50","", 47.601635,-122.338051
"1890","MARION ST & 1ST AVE","", 47.604145,-122.335022
"1907","WATER TAXI ROUTE & WATER TAXI ROUTE","", 47.601204,-122.338997
"1908","WATER TAXI ROUTE & WATER TAXI ROUTE","", 47.601067,-122.338951
"1920","LENORA ST & 4TH AVE","", 47.613972,-122.341293
"2010","10TH AVE W & W FULTON ST","", 47.645351,-122.370277
"2020","10TH AVE W & W BOTHWELL ST","", 47.643486,-122.370308
"2030","10TH AVE W & W HALLADAY ST","", 47.641792,-122.370171
"2050","10TH AVE W & W MCGRAW ST","", 47.639458,-122.370415
"2060","10TH AVE W & W CROCKETT ST","", 47.637589,-122.370438
"2070","10TH AVE W & W HOWE ST","", 47.635769,-122.370453
"2080","10TH AVE W & W BLAINE ST","", 47.634563,-122.370468
"2090","10TH AVE W & W GALER ST","", 47.632374,-122.370506
"2100","OLYMPIC WAY W & W LEE ST","", 47.630848,-122.369949
"2110","OLYMPIC WAY W & 9TH AVE W","", 47.629498,-122.368652
"2120","OLYMPIC WAY W & 7TH AVE W","", 47.627605,-122.366096
"2130","OLYMPIC WAY W & 5TH AVE W","", 47.626690,-122.363350
"2140","W OLYMPIC PL & 3RD AVE W","", 47.626659,-122.360306
"2150","W ROY ST & 2ND AVE W","", 47.625648,-122.358765
"2180","QUEEN ANNE AVE N & W HARRISON ST","", 47.621834,-122.356834
"2200","QUEEN ANNE AVE N & W JOHN ST","", 47.619213,-122.356850
"2210","1ST AVE & BAY ST","", 47.617958,-122.354469
"2212","BROAD ST & 2ND AVE","", 47.617786,-122.351250
"2218","BROAD ST & 2ND AVE","", 47.617680,-122.351662
"2220","3RD AVE & CEDAR ST","", 47.616871,-122.348625
"2235","DENNY WAY & WARREN PL","", 47.618530,-122.354225
"2240","DENNY WAY & BROAD ST","", 47.618515,-122.351128
"2245","DENNY WAY & 5TH AVE N","", 47.618504,-122.347878
