route_id,service_id,trip_id
"100161","GTFPathDay","21731048"
"100161","GTFPathDay","21731049"
"100161","GTFPathDay","21731062"
"100161","GTFPathDay","21731082"
"100194","GTFPathDay","21730969"
"100194","GTFPathDay","21730975"
"100194","GTFPathDay","21731012"
"100161","GTFPathDay","21731023"
"100161","GTFPathDay","21731051"
"100161","GTFPathDay","21731083"
"100194","GTFPathDay","21730971"
"100194","GTFPathDay","21730977"
"100194","GTFPathDay","21730988"
"100194","GTFPathDay","21730992"
"100161","GTFPathDay","21731050"
"100161","GTFPathDay","21731080"
"100194","GTFPathDay","21730970"
"100194","GTFPathDay","21730976"
"100194","GTFPathDay","21730991"
"100161","GTFPathDay","21731024"
"100161","GTFPathDay","21731045"
"100161","GTFPathDay","21731077"
"100023","GTFPathDay","21730837"
"100132","GTFPathDay","21730869"
"100132","GTFPathDay","21730903"
"100023","GTFPathDay","21730956"
"100023","GTFPathDay","21730825"
"100023","GTFPathDay","21730839"
"100132","GTFPathDay","21730942"
"100023","GTFPathDay","21730955"
"100023","GTFPathDay","21730826"
"100023","GTFPathDay","21730832"
"100132","GTFPathDay","21730906"
"100023","GTFPathDay","21730787"
"100023","GTFPathDay","21730868"
"100132","GTFPathDay","21730871"
"100132","GTFPathDay","21730904"
"100023","GTFPathDay","21730951"
"100023","GTFPathDay","21730811"
"100023","GTFPathDay","21730836"
"100132","GTFPathDay","21730873"
"100132","GTFPathDay","21730877"
"100132","GTFPathDay","21730930"
"100151","GTFPathDay","21600782"
"100151","GTFPathDay","21600787"
"100151","GTFPathDay","21600816"
"100030","GTFPathDay","21759797"
"100030","GTFPathDay","21767777"
"100169","GTFPathDay","21382071"
"100169","GTFPathDay","21382000"
"100169","GTFPathDay","21381998"
"100169","GTFPathDay","21382005"
"100169","GTFPathDay","21382259"
"100031","GTFPathDay","21759779"
"100031","GTFPathDay","21767742"
"100169","GTFPathDay","21382001"
"100169","GTFPathDay","21381994"
"100228","GTFPathDay","21809982"
"100020","GTFPathDay","21381301"
"100020","GTFPathDay","21381716"
"100020","GTFPathDay","21381720"
"100022","GTFPathDay","21381732"
"100020","GTFPathDay","21381304"
"100020","GTFPathDay","21381310"
"100021","GTFPathDay","21381314"
"100020","GTFPathDay","21381717"
"100020","GTFPathDay","21381718"
"100022","GTFPathDay","21381731"
"100022","GTFPathDay","21381733"
"100020","GTFPathDay","21381306"
"100022","GTFPathDay","21381734"
"100021","GTFPathDay","21381305"
"100020","GTFPathDay","21381719"
"100020","GTFPathDay","21381789"
"100169","GTFPathDay","21382073"
"100169","GTFPathDay","21381996"
"100169","GTFPathDay","21382257"
"100031","GTFPathDay","21759795"
"100031","GTFPathDay","21767749"
"100169","GTFPathDay","21382026"
"100169","GTFPathDay","21382248"
"100031","GTFPathDay","21759782"
"100031","GTFPathDay","21759793"
"100031","GTFPathDay","21767746"
"100031","GTFPathDay","21759783"
"100031","GTFPathDay","21767747"
"100151","GTFPathDay","21600780"
"100151","GTFPathDay","21600786"
"100169","GTFPathDay","21753684"
"100151","GTFPathDay","21600783"
"100151","GTFPathDay","21600817"
"100030","GTFPathDay","21759798"
"100030","GTFPathDay","21767774"
"100151","GTFPathDay","21600873"
"100030","GTFPathDay","21759806"
"100030","GTFPathDay","21767775"
"100169","GTFPathDay","21381991"
"100169","GTFPathDay","21382260"
"100031","GTFPathDay","21759780"
"100031","GTFPathDay","21767743"
"100169","GTFPathDay","21381999"
"102581","GTFPathDay","22043733"
"102576","GTFPathDay","22043812"
"100093","GTFPathDay","21820154"
"102574","GTFPathDay","22356777"
"102576","GTFPathDay","22489283"
"102581","GTFPathDay","22489285"
"102576","GTFPathDay","22489284"
"102581","GTFPathDay","22489286"
"100459","GTFPathDay","21581812"
"100238","GTFPathDay","22585352"
"100238","GTFPathDay","22585353"
"100289","GTFPathDay","21381754"
"100059","GTFPathDay","21380558"
"100289","GTFPathDay","21381787"
"100289","GTFPathDay","21381922"
"100289","GTFPathDay","21381751"
"100289","GTFPathDay","21381768"
"100289","GTFPathDay","21381788"
"100289","GTFPathDay","21381753"
"100289","GTFPathDay","21381770"
"100289","GTFPathDay","21381958"
"100289","GTFPathDay","21381755"
"100289","GTFPathDay","21381771"
"100023","GTFPathDay","21730788"
"100132","GTFPathDay","21730905"
"100194","GTFPathDay","21730974"
"100023","GTFPathDay","21730952"
"100023","GTFPathDay","21730957"
"100023","GTFPathDay","21730813"
"100023","GTFPathDay","21730827"
"100081","GTFPathDay","21730874"
"100132","GTFPathDay","21730907"
"100023","GTFPathDay","21730789"
"100081","GTFPathDay","21730876"
"100023","GTFPathDay","21731099"
"100023","GTFPathDay","21730838"
"100081","GTFPathDay","21730875"
"100021","GTFPathDay","21381307"
"100021","GTFPathDay","21381309"
"100012","GTFPathDay","21381813"
"100151","GTFPathDay","21600777"
"100151","GTFPathDay","21600845"
"100151","GTFPathDay","21600858"
"100030","GTFPathDay","21759802"
"100030","GTFPathDay","21767770"
"100169","GTFPathDay","21382072"
"100151","GTFPathDay","21600784"
"100151","GTFPathDay","21600818"
"100151","GTFPathDay","21600840"
"100030","GTFPathDay","21759800"
"100169","GTFPathDay","21381990"
"100169","GTFPathDay","21382004"
"100169","GTFPathDay","21382258"
"100031","GTFPathDay","21759778"
"100031","GTFPathDay","21767741"
"100031","GTFPathDay","21767751"
"100289","GTFPathDay","21381752"
"100289","GTFPathDay","21381769"
"100289","GTFPathDay","21381927"
"100012","GTFPathDay","21381815"
"100012","GTFPathDay","21381816"
"100012","GTFPathDay","21381817"
"100348","GTFPathDay","21381965"
"100348","GTFPathDay","21381968"
"100348","GTFPathDay","21382219"
"100348","GTFPathDay","21382222"
"100348","GTFPathDay","21381963"
"100348","GTFPathDay","21381966"
"100348","GTFPathDay","21382220"
"100348","GTFPathDay","21382223"
"100348","GTFPathDay","21382373"
"100348","GTFPathDay","21382374"
"100348","GTFPathDay","21381964"
"100348","GTFPathDay","21381967"
"100348","GTFPathDay","21381969"
"100348","GTFPathDay","21382218"
"100348","GTFPathDay","21382221"
"100348","GTFPathDay","21382224"
"100012","GTFPathDay","21381814"
"100228","GTFPathDay","21809603"
"100228","GTFPathDay","21809616"
"100228","GTFPathDay","21795792"
"100228","GTFPathDay","21795794"
"100228","GTFPathDay","21795793"
"100275","GTFPathDay","21380946"
"100275","GTFPathDay","21381889"
"100275","GTFPathDay","21381891"
"100275","GTFPathDay","21381904"
"100275","GTFPathDay","21380731"
"100275","GTFPathDay","21380737"
"100275","GTFPathDay","21381893"
"100275","GTFPathDay","21380734"
"100275","GTFPathDay","21381791"
"100275","GTFPathDay","21381892"
"100275","GTFPathDay","21380944"
"100151","GTFPathDay","21600788"
"100151","GTFPathDay","21600857"
"100030","GTFPathDay","21759801"
"100030","GTFPathDay","21767778"
"100169","GTFPathDay","21381993"
"100169","GTFPathDay","21382247"
"100031","GTFPathDay","21759792"
"100031","GTFPathDay","21767745"
"100169","GTFPathDay","21382002"
"100151","GTFPathDay","21600789"
"100030","GTFPathDay","21767779"
"100151","GTFPathDay","21600779"
"100151","GTFPathDay","21600860"
"100030","GTFPathDay","21759804"
"100030","GTFPathDay","21767772"
"100169","GTFPathDay","21382003"
"100151","GTFPathDay","21600785"
"100151","GTFPathDay","21600856"
"100030","GTFPathDay","21759799"
"100030","GTFPathDay","21767776"
"100169","GTFPathDay","21381995"
"100169","GTFPathDay","21382256"
"100031","GTFPathDay","21759794"
"100031","GTFPathDay","21767748"
"100151","GTFPathDay","21600781"
"100169","GTFPathDay","21753683"
"100030","GTFPathDay","21759805"
"100030","GTFPathDay","21767773"
"100169","GTFPathDay","21381997"
"100169","GTFPathDay","21424870"
"100031","GTFPathDay","21759796"
"100169","GTFPathDay","21382025"
"100151","GTFPathDay","21600778"
"100151","GTFPathDay","21600859"
"100030","GTFPathDay","21759803"
"100212","GTFPathDay","21382960"
"100140","GTFPathDay","21382966"
"100140","GTFPathDay","21382975"
"100140","GTFPathDay","21382977"
"100019","GTFPathDay","21381391"
"100019","GTFPathDay","21381401"
"100019","GTFPathDay","21381457"
"100019","GTFPathDay","21381466"
"100019","GTFPathDay","21381392"
"100019","GTFPathDay","21381403"
"100019","GTFPathDay","21381458"
"100019","GTFPathDay","21381468"
"100019","GTFPathDay","21381398"
"100019","GTFPathDay","21381456"
"100019","GTFPathDay","21381409"
"100019","GTFPathDay","21381393"
"100019","GTFPathDay","21381405"
"100019","GTFPathDay","21381460"
"100030","GTFPathDay","21767771"
"100169","GTFPathDay","21381992"
"100169","GTFPathDay","21382261"
"100031","GTFPathDay","21759781"
"100031","GTFPathDay","21767744"
"100151","GTFPathDay","21600843"
"100151","GTFPathDay","21600844"
"100021","GTFPathDay","21381313"
"100021","GTFPathDay","21381311"
"100020","GTFPathDay","21381721"
"100020","GTFPathDay","21381911"
"100020","GTFPathDay","21382334"
"100020","GTFPathDay","21381747"
"100020","GTFPathDay","21381910"
"100019","GTFPathDay","22596259"
"100019","GTFPathDay","22596260"
"100024","GTFPathDay","21538632"
"100024","GTFPathDay","21538634"
"100024","GTFPathDay","21538638"
"100024","GTFPathDay","21538642"
"100024","GTFPathDay","21538671"
"100024","GTFPathDay","21538673"
"100024","GTFPathDay","21538677"
"100024","GTFPathDay","21538681"
"100024","GTFPathDay","21538633"
"100024","GTFPathDay","21538636"
"100024","GTFPathDay","21538640"
"100024","GTFPathDay","21538672"
"100024","GTFPathDay","21538675"
"100024","GTFPathDay","21538679"
"100024","GTFPathDay","21538635"
"100024","GTFPathDay","21538639"
"100024","GTFPathDay","21538643"
"100024","GTFPathDay","21538674"
"100024","GTFPathDay","21538678"
"100024","GTFPathDay","21538637"
"100024","GTFPathDay","21538641"
"100024","GTFPathDay","21538676"
"100024","GTFPathDay","21538680"
"100009","GTFPathDay","21542690"
"100009","GTFPathDay","21542692"
"100009","GTFPathDay","21542694"
"100009","GTFPathDay","21542696"
"100009","GTFPathDay","21542698"
"100009","GTFPathDay","21542926"
"100009","GTFPathDay","21542928"
"100009","GTFPathDay","21542930"
"100009","GTFPathDay","21542932"
"100009","GTFPathDay","21542691"
"100009","GTFPathDay","21542693"
"100009","GTFPathDay","21542695"
"100009","GTFPathDay","21542697"
"100009","GTFPathDay","21542725"
"100009","GTFPathDay","21542927"
"100009","GTFPathDay","21542929"
"100009","GTFPathDay","21542931"
"100009","GTFPathDay","21542699"
"100009","GTFPathDay","21542933"
"100009","GTFPathDay","21542957"
"100009","GTFPathDay","21542959"
"100009","GTFPathDay","21542961"
"100009","GTFPathDay","21542964"
"100009","GTFPathDay","21542934"
"100009","GTFPathDay","21542958"
"100009","GTFPathDay","21542960"
"100009","GTFPathDay","21542962"
"100009","GTFPathDay","21542963"
"100019","GTFPathDay","21381394"
"100019","GTFPathDay","21381461"
"100019","GTFPathDay","21382385"
"100019","GTFPathDay","21381395"
"100019","GTFPathDay","21381407"
"100019","GTFPathDay","21381462"
"100019","GTFPathDay","21381715"
"100019","GTFPathDay","21381408"
"100019","GTFPathDay","21381396"
"100019","GTFPathDay","21381463"
"100019","GTFPathDay","21382387"
"100019","GTFPathDay","21381397"
"100019","GTFPathDay","21381410"
"100019","GTFPathDay","21381464"
"100019","GTFPathDay","21381459"
"100019","GTFPathDay","21381469"
"100019","GTFPathDay","21382386"
"100019","GTFPathDay","21381399"
"100019","GTFPathDay","21381465"
"100019","GTFPathDay","21381400"
"100019","GTFPathDay","21381402"
"100019","GTFPathDay","21381467"
"100019","GTFPathDay","21381404"
"100020","GTFPathDay","21381308"
"100019","GTFPathDay","21381406"
"100173","GTFPathDay","18151805"
"100002","GTFPathDay","21666938"
"100002","GTFPathDay","21666942"
"100002","GTFPathDay","21666946"
"100002","GTFPathDay","21666950"
"100002","GTFPathDay","21667006"
