stop_no,stop_id,orig_stop_id,stop_name,stop_desc,stop_pnrtype,stop_used,stop_usedFG,stop_lat,stop_lon
         1,Z00000001>,TLSBWD-  76              ,Zone - 53057    38                      ,Zone - 53057    38                      , 0, 0, 0,   48.403313, -121.896835
         2,Z00000002>,TLSBWD-  76              ,Zone - 53057    39                      ,Zone - 53057    39                      , 0, 0, 0,   48.387852, -122.213448
         3,Z00000003>,TLSBWD-  76              ,Zone - 53057    92                      ,Zone - 53057    92                      , 0, 0, 0,   48.346149, -122.238228
         4,Z00000004>,TLSBWD-  76              ,Zone - 53057    95                      ,Zone - 53057    95                      , 0, 0, 0,   48.345539, -122.335220
         5,Z00000005>,TLSBWD-  76              ,Zone - 53057    97                      ,Zone - 53057    97                      , 0, 0, 0,   48.331779, -122.412163
         6,Z00000006>,TLSBWD-  76              ,Zone - 53057    94                      ,Zone - 53057    94                      , 0, 0, 0,   48.319332, -122.313240
         7,Z00000007>,TLSBWD-  76              ,Zone - 53061   668                      ,Zone - 53061   668                      , 0, 0, 0,   48.141281, -121.437149
         8,Z00000008>,TLSBWD-  76              ,Zone - 53061   661                      ,Zone - 53061   661                      , 0, 0, 0,   48.243668, -122.124893
         9,Z00000009>,TLSBWD-  76              ,Zone - 53061   665                      ,Zone - 53061   665                      , 0, 0, 0,   48.196793, -121.972115
        10,Z00000010>,TLSBWD-  76              ,Zone - 53061   660                      ,Zone - 53061   660                      , 0, 0, 0,   48.244728, -122.286491
        11,Z00000011>,TLSBWD-  76              ,Zone - 53061   659                      ,Zone - 53061   659                      , 0, 0, 0,   48.261677, -122.364563
        12,Z00000012>,TLSBWD-  76              ,Zone - 53061   657                      ,Zone - 53061   657                      , 0, 0, 0,   48.197704, -122.329559
        13,Z00000013>,TLSBWD-  76              ,Zone - 53061   662                      ,Zone - 53061   662                      , 0, 0, 0,   48.181900, -122.161591
        14,Z00000014>,TLSBWD-  76              ,Zone - 53061   664                      ,Zone - 53061   664                      , 0, 0, 0,   48.146343, -122.046181
        15,Z00000015>,TLSBWD-  76              ,Zone - 53061   663                      ,Zone - 53061   663                      , 0, 0, 0,   48.176655, -122.109879
        16,Z00000016>,TLSBWD-  76              ,Zone - 53061   655                      ,Zone - 53061   655                      , 0, 0, 0,   48.175610, -122.237457
        17,Z00000017>,TLSBWD-  76              ,Zone - 53061   658                      ,Zone - 53061   658                      , 0, 0, 0,   48.145401, -122.325668
        18,Z00000018>,TLSBWD-  76              ,Zone - 53061   656                      ,Zone - 53061   656                      , 0, 0, 0,   48.140160, -122.240509
        19,Z00000019>,TLSBWD-  76              ,Zone - 53061   641                      ,Zone - 53061   641                      , 0, 0, 0,   48.122475, -122.113968
        20,Z00000020>,TLSBWD-  76              ,Zone - 53061   646                      ,Zone - 53061   646                      , 0, 0, 0,   48.131641, -122.164406
        21,Z00000021>,TLSBWD-  76              ,Zone - 53061   667                      ,Zone - 53061   667                      , 0, 0, 0,   48.043297, -121.724792
        22,Z00000022>,TLSBWD-  76              ,Zone - 53061   653                      ,Zone - 53061   653                      , 0, 0, 0,   48.090057, -122.304672
        23,Z00000023>,TLSBWD-  76              ,Zone - 53061   654                      ,Zone - 53061   654                      , 0, 0, 0,   48.073910, -122.235992
        24,Z00000024>,TLSBWD-  76              ,Zone - 53061   647                      ,Zone - 53061   647                      , 0, 0, 0,   48.105103, -122.162926
        25,Z00000025>,TLSBWD-  76              ,Zone - 53061   642                      ,Zone - 53061   642                      , 0, 0, 0,   48.093807, -122.088783
        26,Z00000026>,TLSBWD-  76              ,Zone - 53061   666                      ,Zone - 53061   666                      , 0, 0, 0,   48.045940, -122.008934
        27,Z00000027>,TLSBWD-  76              ,Zone - 53061   648                      ,Zone - 53061   648                      , 0, 0, 0,   48.082550, -122.173729
        28,Z00000028>,TLSBWD-  76              ,Zone - 53061   669                      ,Zone - 53061   669                      , 0, 0, 0,   47.937366, -121.558746
        29,Z00000029>,TLSBWD-  76              ,Zone - 53061   649                      ,Zone - 53061   649                      , 0, 0, 0,   48.083305, -122.151199
        30,Z00000030>,TLSBWD-  76              ,Zone - 53061   643                      ,Zone - 53061   643                      , 0, 0, 0,   48.072624, -122.126442
        31,Z00000031>,TLSBWD-  76              ,Zone - 53061   650                      ,Zone - 53061   650                      , 0, 0, 0,   48.068054, -122.162491
        32,Z00000032>,TLSBWD-  76              ,Zone - 53061   644                      ,Zone - 53061   644                      , 0, 0, 0,   48.053116, -122.103340
        33,Z00000033>,TLSBWD-  76              ,Zone - 53061   652                      ,Zone - 53061   652                      , 0, 0, 0,   48.051640, -122.154694
        34,Z00000034>,TLSBWD-  76              ,Zone - 53061   651                      ,Zone - 53061   651                      , 0, 0, 0,   48.049229, -122.170837
        35,Z00000035>,TLSBWD-  76              ,Zone - 53061   636                      ,Zone - 53061   636                      , 0, 0, 0,   48.028103, -122.074211
        36,Z00000036>,TLSBWD-  76              ,Zone - 53061   615                      ,Zone - 53061   615                      , 0, 0, 0,   47.984741, -122.175133
        37,Z00000037>,TLSBWD-  76              ,Zone - 53061   645                      ,Zone - 53061   645                      , 0, 0, 0,   48.010090, -122.117447
        38,Z00000038>,TLSBWD-  76              ,Zone - 53061   639                      ,Zone - 53061   639                      , 0, 0, 0,   48.008381, -122.055740
        39,Z00000039>,TLSBWD-  76              ,Zone - 53061   638                      ,Zone - 53061   638                      , 0, 0, 0,   48.020039, -122.066216
        40,Z00000040>,TLSBWD-  76              ,Zone - 53061b                           ,Zone - 53061b                           , 0, 0, 0,   48.012867, -122.318993
        41,Z00000041>,TLSBWD-  76              ,Zone - 53061   531                      ,Zone - 53061   531                      , 0, 0, 0,   48.003902, -122.210068
        42,Z00000042>,TLSBWD-  76              ,Zone - 53061   637                      ,Zone - 53061   637                      , 0, 0, 0,   47.997761, -122.093658
        43,Z00000043>,TLSBWD-  76              ,Zone - 53061   532                      ,Zone - 53061   532                      , 0, 0, 0,   48.004669, -122.189247
        44,Z00000044>,TLSBWD-  76              ,Zone - 53061   633                      ,Zone - 53061   633                      , 0, 0, 0,   47.990002, -122.118256
        45,Z00000045>,TLSBWD-  76              ,Zone - 53061   533                      ,Zone - 53061   533                      , 0, 0, 0,   47.994869, -122.199699
