route_no,route_id,orig_route_id,route_short_name,route_long_name,route_desc,route_type,route_used
         1,100133    ,100133                   ,240                                     ,                                        ,Bellevue\Renton                         , 3, 1
         2,100124    ,100124                   ,232                                     ,                                        ,Bellevue/Redmond                        , 3, 1
         3,100064    ,100064                   ,173                                     ,                                        ,Federal Way to E Marginal Wy & Boeing   , 3, 0
         4,100261    ,100261                   ,68                                      ,                                        ,Northgate to UW Campus via 25 NE        , 3, 1
         5,100265    ,100265                   ,71                                      ,                                        ,View Ridge                              , 3, 1
         6,102554    ,102554                   ,241                                     ,                                        ,Eastgate Factoria BTC Fall 11           , 3, 1
         7,100183    ,100183                   ,309                                     ,                                        ,Kenmore - S Lk Union - First Hill       , 3, 1
         8,100053    ,100053                   ,16                                      ,                                        ,Meridian                                , 3, 1
         9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 1
        10,100221    ,100221                   ,41                                      ,                                        ,Lake City/Northgate/CBD                 , 3, 1
        11,100275    ,100275                   ,8                                       ,                                        ,Cap.Hill/Denny Wy                       , 3, 1
        12,100146    ,100146                   ,255                                     ,                                        ,Seattle/Kirkland/Kingsgate (Tunnel)     , 3, 1
        13,100102    ,100102                   ,210                                     ,                                        ,Issaquah                                , 3, 0
        14,100072    ,100072                   ,181                                     ,                                        ,Green River CC/Auburn/Federal Way       , 3, 1
        15,100224    ,100224                   ,44                                      ,                                        ,ballard/montlake                        , 3, 1
        16,100186    ,100186                   ,311                                     ,                                        ,Seattle/Woodinville                     , 3, 1
        17,100135    ,100135                   ,243                                     ,                                        ,Jackson Park to Wilburton P&R           , 3, 0
        18,100017    ,100017                   ,119                                     ,                                        ,Dockton                                 , 3, 1
        19,100249    ,100249                   ,60                                      ,                                        ,Beacon Hill/Broadway dist Shuttle       , 3, 1
        20,100001    ,100001                   ,1                                       ,                                        ,kinnear                                 , 3, 1
        21,100277    ,100277                   ,82                                      ,                                        ,Queen Anne/Greenwood Owl trips          , 3, 0
        22,100003    ,100003                   ,101                                     ,                                        ,Renton Transit Center to CBD            , 3, 1
        23,100263    ,100263                   ,7                                       ,                                        ,Route 7                                 , 3, 1
        24,100134    ,100134                   ,242                                     ,                                        ,North Seattle to Overlake               , 3, 1
        25,100143    ,100143                   ,252                                     ,                                        ,Seattle/Kingsgate Via SR-520/I-405      , 3, 0
        26,100180    ,100180                   ,306                                     ,                                        ,Kenmore tunnel route                    , 3, 0
        27,100129    ,100129                   ,237                                     ,                                        ,Bellevue/Woodinville                    , 3, 0
